Pick,Player,Team,Pos.,Salary,Team
1,Travis Kelce ,KC , TE,$49 ,Go Ask Tonyan
2,Bijan Robinson ,Atl , RB,$49 ,Go Ask Tonyan
3,Christian McCaffrey ,SF , RB ,$63 ,Phillip OchoOcho
4,Cooper Kupp ,Sea , WR,$39 ,San gronkowski 69ers
5,Derrick Henry ,Bal , RB,$45 ,Godwin's Plan �...
6,Najee Harris ,LAC , RB,$34 ,Trundle the Great
7,Tyreek Hill ,Mia , WR,$60 ,Go Ask Tonyan
8,Rhamondre Stevenson ,NE , RB,$28 ,The White Walkers
9,Josh Allen ,Buf , QB,$29 ,Go Ask Tonyan
10,Saquon Barkley ,Phi , RB,$50 ,The White Walkers
11,Stefon Diggs ,Was , WR,$49 ,Garbage Time All-...
12,A.J. Brown ,NE , WR,$54 ,Phillip OchoOcho
13,Jonathan Taylor ,Ind , RB ,$19 ,Bill Cosby Sleepers
14,George Kittle ,SF , TE,$16 ,Suck my Dak
15,CeeDee Lamb ,Dal , WR,$50 ,The White Walkers
16,Davante Adams ,LAR , WR,$44 ,Godwin's Plan �...
17,Jaylen Waddle ,Den , WR,$35 ,Password is Taco
18,DeAndre Hopkins ,Bal , WR,$18 ,Go Ask Tonyan
19,Justin Fields ,KC , QB,$19 ,Bill Cosby Sleepers
20,Travis Etienne Jr. ,NO , RB,$37 ,Go Ask Tonyan
21,Lamar Jackson ,Bal , QB,$33 ,Ridley Me This
22,Justin Herbert ,LAC , QB,$25 ,Godwin's Plan �...
23,Drake London ,Atl , WR ,$14 ,Suck my Dak
24,Aaron Jones Sr. ,Min , RB,$35 ,Phillip OchoOcho
25,Alvin Kamara ,NO , RB,$16 ,Go Ask Tonyan
26,Dallas Goedert ,Phi , TE,$12 ,Password is Taco
27,DK Metcalf ,Pit , WR,$32 ,Trundle the Great
28,Chris Godwin Jr. ,TB , WR,$18 ,Godwin's Plan �...
29,Joe Mixon ,Hou , RB,$38 ,The Randy Savages
30,Terry McLaurin ,Was , WR,$14 ,Suck my Dak
31,Jahmyr Gibbs ,Det , RB,$41 ,San gronkowski 69ers
32,Amari Cooper ,Buf , WR,$24 ,Garbage Time All-...
33,Mark Andrews ,Bal , TE,$28 ,Ridley Me This
34,Deebo Samuel Sr. ,SF , WR,$27 ,The Randy Savages
35,Cam Akers ,Sea , RB,$22 ,San gronkowski 69ers
36,Pat Freiermuth ,Pit , TE,$7 ,Phillip OchoOcho
37,Keenan Allen ,LAC , WR,$21 ,Bill Cosby Sleepers
38,Kyle Pitts Sr. ,Atl , TE,$15 ,Garbage Time All-...
39,Diontae Johnson ,Cle , WR,$17 ,The White Walkers
40,Trevor Lawrence ,Jax , QB,$19 ,Password is Taco
41,Michael Pittman Jr. ,Pit , WR,$16 ,Suck my Dak
42,Kenneth Walker III ,KC , RB,$25 ,Password is Taco
43,Dameon Pierce ,Phi , RB,$22 ,Suck my Dak
44,Tyler Lockett ,LV , WR,$17 ,Suck my Dak
45,DJ Moore ,Buf , WR,$19 ,Ridley Me This
46,Dalvin Cook ,Dal , RB,$10 ,Bill Cosby Sleepers
47,Jerry Jeudy ,Cle , WR,$18 ,Bill Cosby Sleepers
48,Jahan Dotson ,Atl , WR,$17 ,Bill Cosby Sleepers
49,James Conner ,Ari , RB,$30 ,Bill Cosby Sleepers
50,Miles Sanders ,Dal , RB,$24 ,Ridley Me This
51,Darren Waller ,Car , TE,$17 ,Bill Cosby Sleepers
52,Rashaad Penny ,Phi , RB,$6 ,The White Walkers
53,Brandon Aiyuk ,SF , WR,$19 ,Phillip OchoOcho
54,Javonte Williams ,Dal , RB,$31 ,Suck my Dak
55,James Cook III ,Buf , RB,$10 ,Go Ask Tonyan
56,Rachaad White ,Was , RB,$12 ,The Randy Savages
57,D'Andre Swift ,Chi , RB,$17 ,Suck my Dak
58,Odell Beckham Jr. ,NYG , WR,$4 ,Ridley Me This
59,David Montgomery ,Hou , RB,$18 ,Ridley Me This
60,Marvin Mims Jr. ,Den , WR,$4 ,Phillip OchoOcho
61,Dak Prescott ,Dal , QB,$6 ,Suck my Dak
62,Khalil Herbert ,SF , RB,$12 ,San gronkowski 69ers
63,Brian Robinson ,Atl , RB,$16 ,Bill Cosby Sleepers
64,Mike Williams ,Pit , WR,$21 ,Password is Taco
65,Christian Kirk ,SF , WR,$18 ,Garbage Time All-...
66,Hollywood Brown ,Phi , WR,$5 ,Godwin's Plan �...
67,Gabe Davis ,Buf , WR,$5 ,Suck my Dak
68,Mike Evans ,SF , WR,$14 ,Phillip OchoOcho
69,David Njoku ,LAC , TE,$5 ,Ridley Me This
70,Michael Thomas ,NO , WR,$7 ,Ridley Me This
71,Nico Collins ,Hou , WR,$4 ,Trundle the Great
72,Daniel Jones ,Ind , QB,$5 ,Phillip OchoOcho
73,Brandin Cooks ,NO , WR,$10 ,The Randy Savages
74,Evan Engram ,Den , TE,$11 ,Suck my Dak
75,AJ Dillon ,Car , RB,$11 ,Garbage Time All-...
76,--empty-- , , RB,$2,Password is Taco
77,Tua Tagovailoa ,Atl , QB,$10 ,Bill Cosby Sleepers
78,Jordan Addison ,Min , WR ,$7 ,The Randy Savages
79,49ers ,SF , DEF,$18 ,Suck my Dak
80,Zach Charbonnet ,Sea , RB,$3 ,The Randy Savages
81,Zay Flowers ,Bal , WR,$9 ,Go Ask Tonyan
82,Antonio Gibson ,NE , RB,$11 ,Phillip OchoOcho
83,Deshaun Watson ,Cle , QB,$6 ,The Randy Savages
84,Van Jefferson ,Was , WR,$1 ,Phillip OchoOcho
85,Eagles ,Phi , DEF,$2 ,Ridley Me This
86,Jets ,NYJ , DEF,$1 ,Bill Cosby Sleepers
87,Rashod Bateman ,Bal , WR,$5 ,Garbage Time All-...
88,Derek Carr ,NO , QB,$2 ,Trundle the Great
89,Adam Thielen ,Pit , WR,$5 ,The Randy Savages
90,Geno Smith ,NYJ , QB,$2 ,Ridley Me This
91,Jaxon Smith-Njigba ,Sea , WR,$26 ,The Randy Savages
92,Tyler Higbee ,LAR , TE,$2 ,Trundle the Great
93,Courtland Sutton ,Den , WR,$7 ,Password is Taco
94,Anthony Richardson Sr. ,Ind , QB,$2 ,The Randy Savages
95,Cowboys ,Dal , DEF,$10 ,Phillip OchoOcho
96,Bills ,Buf , DEF,$1 ,Password is Taco
97,Jaylen Warren ,Pit , RB,$8 ,Godwin's Plan �...
98,Tyler Boyd ,Ten , WR,$3 ,Garbage Time All-...
99,Ezekiel Elliott ,Dal , RB,$3 ,Ridley Me This
100,Elijah Moore ,Phi , WR,$4 ,The Randy Savages
101,Chuba Hubbard ,Car , RB,$1 ,Trundle the Great
102,Tyler Allgeier ,Ari , RB,$3 ,Garbage Time All-...
103,Kadarius Toney ,Cle , WR,$6 ,The Randy Savages
104,Treylon Burks ,Was , WR,$5 ,The White Walkers
105,JuJu Smith-Schuster ,NYG , WR,$5 ,Password is Taco
106,Raheem Mostert ,LV , RB,$7 ,Password is Taco
107,Quentin Johnston ,LAC , WR,$3 ,The White Walkers
108,Aaron Rodgers ,Pit , QB,$2 ,Trundle the Great
109,Greg Dulcich ,Mia , TE,$1 ,Garbage Time All-...
110,De'Von Achane ,Mia , RB,$11 ,Ridley Me This
111,Skyy Moore ,GB , WR,$3 ,Go Ask Tonyan
112,Dalton Kincaid ,Buf , TE,$3 ,Godwin's Plan �...
113,Dalton Schultz ,Hou , TE,$1 ,The White Walkers
114,Samaje Perine ,Cin , RB,$1 ,Go Ask Tonyan
115,Chig Okonkwo ,Was , TE,$1 ,San gronkowski 69ers
116,Kenny Gainwell ,TB , RB,$1 ,Phillip OchoOcho
117,Jakobi Meyers ,Jax , WR,$6 ,Godwin's Plan �...
118,Romeo Doubs ,NE , WR,$15 ,Bill Cosby Sleepers
119,Elijah Mitchell ,KC , RB,$5 ,Garbage Time All-...
120,Jameson Williams ,Det , WR,$3 ,Godwin's Plan �...
121,Broncos ,Den , DEF,$1 ,Trundle the Great
122,Patriots ,NE , DEF,$1 ,The White Walkers
123,Zay Jones ,Ari , WR,$2 ,San gronkowski 69ers
124,Jerick McKinnon ,KC , RB,$4 ,Trundle the Great
125,D'Onta Foreman ,Cle , RB,$3 ,Garbage Time All-...
126,Commanders ,Was , DEF,$7 ,Garbage Time All-...
127,Kirk Cousins ,LV , QB,$1 ,Godwin's Plan �...
128,Juwan Johnson ,NO , TE,$1 ,Trundle the Great
129,Tank Bigsby ,Phi , RB,$5 ,The White Walkers
130,Darius Slayton ,NYG , WR,$1 ,Go Ask Tonyan
131,Jared Goff ,Det , QB,$2 ,The White Walkers
132,Gus Edwards ,LAC , RB,$2 ,Trundle the Great
133,Darnell Mooney ,NYG , WR,$1 ,Godwin's Plan �...
134,Joshua Kelley ,Ten , RB,$4 ,Trundle the Great
135,Sam LaPorta ,Det , TE ,$1 ,The White Walkers
136,Russell Wilson ,NYG , QB,$1 ,San gronkowski 69ers
137,Allen Lazard ,NYJ , WR,$2 ,San gronkowski 69ers
138,Tyjae Spears ,Ten , RB,$3 ,Godwin's Plan �...
139,Clyde Edwards-Helaire ,KC , RB,$1 ,San gronkowski 69ers
140,DJ Chark ,Atl , WR,$1 ,Password is Taco
141,Rashee Rice ,KC , WR,$1 ,San gronkowski 69ers
142,Robert Woods ,Pit , WR,$1 ,Password is Taco
143,Michael Gallup ,Was , WR,$1 ,San gronkowski 69ers
144,Jaguars ,Jax , DEF,$1 ,San gronkowski 69ers
145,Demarcus Robinson ,SF , WR,$6 ,The Randy Savages
146,T.J. Hockenson ,Min , TE,$24 ,The Randy Savages
147,Isiah Pacheco ,Det , RB ,$7 ,Phillip OchoOcho
148,George Pickens ,Dal , WR,$11 ,Phillip OchoOcho
149,Calvin Ridley ,Ten , WR,$6 ,Ridley Me This
150,Tony Pollard ,Ten , RB,$18 ,Ridley Me This
151,Christian Watson ,GB , WR,$6 ,The White Walkers
152,Joe Burrow ,Cin , QB,$15 ,The White Walkers
153,Ja'Marr Chase ,Cin , WR,$21 ,San gronkowski 69ers
154,Patrick Mahomes ,KC , QB,$23 ,San gronkowski 69ers
155,Chris Olave ,NO , WR,$11 ,Trundle the Great
156,Austin Ekeler ,Was , RB,$30 ,Trundle the Great
157,Tee Higgins ,Cin , WR,$16 ,Go Ask Tonyan
158,J.K. Dobbins ,Den , RB,$11 ,Go Ask Tonyan
159,Alexander Mattison ,Mia , RB,$11 ,Password is Taco
160,Amon-Ra St. Brown ,Det , WR,$23 ,Password is Taco
161,Jamaal Williams ,NO , RB,$6 ,Suck my Dak
162,DeVonta Smith ,Phi , WR,$19 ,Suck my Dak
163,Garrett Wilson ,NYJ , WR,$6 ,Godwin's Plan �...
164,Nick Chubb ,Hou , RB,$26 ,Godwin's Plan �...
165,Breece Hall ,NYJ , RB ,$14 ,Bill Cosby Sleepers
166,Justin Jefferson ,Min , WR,$18 ,Bill Cosby Sleepers
167,Jalen Hurts ,Phi , QB,$12 ,Garbage Time All-...
168,Josh Jacobs ,GB , RB,$19 ,Garbage Time All-...
