Pick,Player,Team,Pos.,Salary,Team
11,Amon-Ra St. Brown ,Det , WR,$68 ,Garbage Time All-...
148,Christian McCaffrey ,SF , RB,$68 ,Phillip OchoOcho
10,Tyreek Hill ,Mia , WR,$67 ,The Randy Savages
6,CeeDee Lamb ,Dal , WR,$66 ,Trundle the Great
12,A.J. Brown ,NE , WR,$61 ,Garbage Time All-...
1,Saquon Barkley ,Phi , RB ,$56 ,San gronkowski 69ers
149,Bijan Robinson ,Atl , RB,$54 ,They took our Dou...
4,Derrick Henry ,Bal , RB,$50 ,Ridley Me This
13,Jahmyr Gibbs ,Det , RB,$50 ,The White Walkers
8,Travis Etienne Jr. ,NO , RB,$48 ,Trundle the Great
20,Cooper Kupp ,Sea , WR,$48 ,Phillip OchoOcho
23,Josh Jacobs ,GB , RB,$46 ,Trundle the Great
22,DJ Moore ,Buf , WR,$40 ,Trundle the Great
24,Rachaad White ,Was , RB,$38 ,Suck my Dak
25,Joe Mixon ,Hou , RB,$37 ,Suck my Dak
34,Michael Pittman Jr. ,Pit , WR,$37 ,San gronkowski 69ers
17,Deebo Samuel Sr. ,SF , WR,$36 ,Ridley Me This
36,Jaylen Waddle ,Den , WR,$36 ,The Randy Savages
9,Brandon Aiyuk ,SF , WR,$35 ,Password is Taco
21,Nico Collins ,Hou , WR,$35 ,Godwin's Plan �...
29,Kenneth Walker III ,KC , RB,$35 ,Godwin's Plan �...
33,DK Metcalf ,Pit , WR,$35 ,Bill Cosby Sleepers
41,Terry McLaurin ,Was , WR,$32 ,Phillip OchoOcho
2,Marvin Harrison Jr. ,Ari , WR,$30 ,The White Walkers
28,DeVonta Smith ,Phi , WR,$29 ,Suck my Dak
40,James Conner ,Ari , RB,$29 ,The Randy Savages
5,Davante Adams ,LAR , WR,$28 ,They took our Dou...
14,Travis Kelce ,KC , TE,$28 ,The Randy Savages
15,Josh Allen ,Buf , QB,$28 ,Suck my Dak
18,Mike Evans ,SF , WR,$28 ,Ridley Me This
30,Stefon Diggs ,Was , WR,$27 ,Suck my Dak
42,Tee Higgins ,Cin , WR,$27 ,Password is Taco
35,Alvin Kamara ,NO , RB,$26 ,The White Walkers
45,George Pickens ,Dal , WR,$26 ,The White Walkers
48,Amari Cooper ,Buf , WR,$26 ,Suck my Dak
152,Ja'Marr Chase ,Cin , WR ,$26 ,The White Walkers
47,Raheem Mostert ,LV , RB,$25 ,Ridley Me This
63,Aaron Jones Sr. ,Min , RB,$25 ,San gronkowski 69ers
166,Jonathan Taylor ,Ind , RB,$24 ,Bill Cosby Sleepers
31,Mark Andrews ,Bal , TE,$23 ,Bill Cosby Sleepers
164,Justin Jefferson ,Min , WR ,$23 ,Godwin's Plan �...
19,Lamar Jackson ,Bal , QB,$22 ,Ridley Me This
26,Malik Nabers ,NYG , WR ,$22 ,They took our Dou...
71,D'Andre Swift ,Chi , RB,$22 ,Password is Taco
57,David Montgomery ,Hou , RB,$21 ,Password is Taco
16,Patrick Mahomes ,KC , QB,$20 ,The Randy Savages
50,Chris Godwin Jr. ,TB , WR,$20 ,Suck my Dak
43,Diontae Johnson ,Cle , WR,$19 ,Bill Cosby Sleepers
61,Christian Kirk ,SF , WR,$19 ,Password is Taco
162,Drake London ,Atl , WR ,$19 ,Suck my Dak
165,Breece Hall ,NYJ , RB,$19 ,Bill Cosby Sleepers
52,Zamir White ,SF , RB,$18 ,The Randy Savages
62,Javonte Williams ,Dal , RB,$17 ,They took our Dou...
7,Jalen Hurts ,Phi , QB,$16 ,Bill Cosby Sleepers
37,Rhamondre Stevenson ,NE , RB,$16 ,Garbage Time All-...
75,Jerome Ford ,Was , RB,$16 ,The White Walkers
157,De'Von Achane ,Mia , RB ,$16 ,Ridley Me This
163,Chris Olave ,NO , WR,$16 ,Godwin's Plan �...
150,James Cook III ,Buf , RB ,$15 ,They took our Dou...
168,Zay Flowers ,Bal , WR,$14 ,Garbage Time All-...
46,Najee Harris ,LAC , RB,$13 ,Suck my Dak
73,Tony Pollard ,Ten , RB,$13 ,Password is Taco
38,George Kittle ,SF , TE,$12 ,Password is Taco
145,Jordan Addison ,Min , WR,$12 ,The Randy Savages
147,Isiah Pacheco ,Det , RB,$12 ,Phillip OchoOcho
58,Jayden Reed ,GB , WR,$11 ,Trundle the Great
60,Rome Odunze ,Chi , WR,$11 ,They took our Dou...
68,Brian Robinson ,Atl , RB,$11 ,Garbage Time All-...
156,Garrett Wilson ,NYJ , WR ,$11 ,Trundle the Great
158,Calvin Ridley ,Ten , WR,$11 ,Ridley Me This
49,Keenan Allen ,LAC , WR,$10 ,Bill Cosby Sleepers
64,Xavier Worthy ,KC , WR,$10 ,The Randy Savages
88,Blake Corum ,LAR , RB,$10 ,The Randy Savages
56,Austin Ekeler ,Was , RB,$9 ,Password is Taco
81,Jaylen Warren ,Pit , RB,$9 ,Garbage Time All-...
92,Joshua Palmer ,Buf , WR,$9 ,Password is Taco
39,Kyle Pitts Sr. ,Atl , TE,$8 ,Phillip OchoOcho
69,Gus Edwards ,LAC , RB,$8 ,Garbage Time All-...
72,Courtland Sutton ,Den , WR,$8 ,They took our Dou...
155,Dalton Kincaid ,Buf , TE,$8 ,Trundle the Great
27,Nick Chubb ,Hou , RB,$7 ,The White Walkers
54,Joe Burrow ,Cin , QB,$7 ,They took our Dou...
