Pick,Player,Team,Pos.,Salary,Team
97,Rhamondre Stevenson ,NE , RB,$2 ,Trundle The Great
98,Justin Herbert ,LAC , QB,$2 ,Trundle The Great
99,Tyler Warren ,Ind , TE,$7 ,The Randy Savages
100,Chris Godwin Jr. ,TB , WR,$2 ,San gronkowski 69ers
101,David Njoku ,LAC , TE,$6 ,Green Rahe Packers
102,Jerome Ford ,Was , RB,$1 ,San gronkowski 69ers
103,Nick Chubb ,Hou , RB,$5 ,Ridley Me This
104,Lions ,Det , DEF,$1 ,Bill Cosby Sleepers
105,Cam Skattebo ,NYG , RB,$5 ,Garbage Time All-...
106,Darnell Mooney ,NYG , WR,$1 ,Trundle The Great
107,Bhayshul Tuten ,Jax , RB,$1 ,The Randy Savages
108,Dalton Kincaid ,Buf , TE,$1 ,Godwin's Plan
109,Colston Loveland ,Chi , TE,$2 ,Ridley Me This
110,Rachaad White ,Was , RB,$1 ,Ridley Me This
111,Tyler Allgeier ,Ari , RB,$2 ,The Randy Savages
112,Keon Coleman ,Buf , WR,$2 ,Green Rahe Packers
113,Dallas Goedert ,Phi , TE,$1 ,San gronkowski 69ers
114,Jake Ferguson ,Dal , TE,$4 ,Phillip OchoOcho
115,Rashod Bateman ,Bal , WR,$1 ,Bill Cosby Sleepers
116,Luther Burden III ,Chi , WR,$7 ,Garbage Time All-...
117,Adam Thielen ,Pit , WR,$2 ,San gronkowski 69ers
118,Brandon Aiyuk ,SF , WR,$1 ,Godwin's Plan
119,Joshua Palmer ,Buf , WR,$1 ,The White Walkers
120,Jayden Higgins ,Hou , WR,$1 ,Ridley Me This
121,Austin Ekeler ,Was , RB,$2 ,San gronkowski 69ers
122,Dylan Sampson ,Cle , RB,$1 ,Green Rahe Packers
123,Jaydon Blue ,Dal , RB,$3 ,San gronkowski 69ers
124,Jalen Coker ,Car , WR,$1 ,Phillip OchoOcho
125,Cowboys ,Dal , DEF,$1 ,Bill Cosby Sleepers
126,Cam Ward ,Ten , QB,$1 ,The Randy Savages
127,C.J. Stroud ,Hou , QB,$1 ,Godwin's Plan
128,Najee Harris ,LAC , RB,$2 ,Phillip OchoOcho
129,Trey Benson ,Ari , RB,$1 ,Password is Taco
130,Tyjae Spears ,Ten , RB,$1 ,San gronkowski 69ers
131,Rashid Shaheed ,Sea , WR,$2 ,The Randy Savages
132,Jordan Love ,GB , QB,$1 ,The White Walkers
133,Ray Davis ,Buf , RB,$1 ,Password is Taco
134,Cedric Tillman ,Cle , WR,$1 ,The Randy Savages
135,Zach Ertz ,Was , TE,$1 ,The White Walkers
136,Rico Dowdle ,Pit , RB,$1 ,Password is Taco
137,Vikings ,Min , DEF,$1 ,The Randy Savages
138,Justice Hill ,Bal , RB,$1 ,The White Walkers
139,Will Shipley ,Phi , RB,$1 ,Password is Taco
140,Texans ,Hou , DEF,$1 ,The White Walkers
141,Chris Rodriguez Jr. ,Jax , RB,$2 ,The White Walkers
