"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,JAX,2026-01-04,41,7,Sun,17,18,,TEN,W 41-7,41,7,34,48"
"2,HOU,2026-01-04,38,30,Sun,17,18,,IND,W 38-30,38,30,8,68"
"3,NWE,2026-01-04,38,10,Sun,17,18,,MIA,W 38-10,38,10,28,48"
"4,LAR,2026-01-04,37,20,Sun,17,18,,ARI,W 37-20,37,20,17,57"
"5,BUF,2026-01-04,35,8,Sun,17,18,,NYJ,W 35-8,35,8,27,43"
"6,NYG,2026-01-04,34,17,Sun,17,18,,DAL,W 34-17,34,17,17,51"
"7,IND,2026-01-04,30,38,Sun,17,18,@,HOU,L 30-38,30,38,-8,68"
"8,PIT,2026-01-04,26,24,Sun,17,18,,BAL,W 26-24,26,24,2,50"
"9,BAL,2026-01-04,24,26,Sun,17,18,@,PIT,L 24-26,24,26,-2,50"
"10,WAS,2026-01-04,24,17,Sun,17,18,@,PHI,W 24-17,24,17,7,41"
"11,CLE,2026-01-04,20,18,Sun,17,18,@,CIN,W 20-18,20,18,2,38"
"12,ARI,2026-01-04,20,37,Sun,17,18,@,LAR,L 20-37,20,37,-17,57"
"13,ATL,2026-01-04,19,17,Sun,17,18,,NOR,W 19-17,19,17,2,36"
"14,DEN,2026-01-04,19,3,Sun,17,18,,LAC,W 19-3,19,3,16,22"
"15,DET,2026-01-04,19,16,Sun,17,18,@,CHI,W 19-16,19,16,3,35"
"16,CIN,2026-01-04,18,20,Sun,17,18,,CLE,L 18-20,18,20,-2,38"
"17,DAL,2026-01-04,17,34,Sun,17,18,@,NYG,L 17-34,17,34,-17,51"
"18,NOR,2026-01-04,17,19,Sun,17,18,@,ATL,L 17-19,17,19,-2,36"
"19,PHI,2026-01-04,17,24,Sun,17,18,,WAS,L 17-24,17,24,-7,41"
"20,CHI,2026-01-04,16,19,Sun,17,18,,DET,L 16-19,16,19,-3,35"
"21,MIN,2026-01-04,16,3,Sun,17,18,,GNB,W 16-3,16,3,13,19"
"22,TAM,2026-01-03,16,14,Sat,17,18,,CAR,W 16-14,16,14,2,30"
"23,LVR,2026-01-04,14,12,Sun,17,18,,KAN,W 14-12,14,12,2,26"
"24,CAR,2026-01-03,14,16,Sat,17,18,@,TAM,L 14-16,14,16,-2,30"
"25,SEA,2026-01-03,13,3,Sat,17,18,@,SFO,W 13-3,13,3,10,16"
"26,KAN,2026-01-04,12,14,Sun,17,18,@,LVR,L 12-14,12,14,-2,26"
"27,MIA,2026-01-04,10,38,Sun,17,18,@,NWE,L 10-38,10,38,-28,48"
"28,NYJ,2026-01-04,8,35,Sun,17,18,@,BUF,L 8-35,8,35,-27,43"
"29,TEN,2026-01-04,7,41,Sun,17,18,@,JAX,L 7-41,7,41,-34,48"
"30,GNB,2026-01-04,3,16,Sun,17,18,@,MIN,L 3-16,3,16,-13,19"
"31,LAC,2026-01-04,3,19,Sun,17,18,@,DEN,L 3-19,3,19,-16,22"
"32,SFO,2026-01-03,3,13,Sat,17,18,,SEA,L 3-13,3,13,-10,16"
