"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,BUF,2026-09-17,41,31,Thu,2,2,,DET,W 41-31,41,31,10,72"
"2,DAL,2026-09-20,37,20,Sun,2,2,,WAS,W 37-20,37,20,17,57"
"3,SFO,2026-09-20,35,13,Sun,2,2,,MIA,W 35-13,35,13,22,48"
"4,CAR,2026-09-20,34,3,Sun,2,2,@,ATL,W 34-3,34,3,31,37"
"5,KAN,2026-09-20,33,30,Sun,2,2,,IND,W 33-30 (OT),33,30,3,63"
"6,SEA,2026-09-20,31,7,Sun,2,2,@,ARI,W 31-7,31,7,24,38"
"7,DET,2026-09-17,31,41,Thu,2,2,@,BUF,L 31-41,31,41,-10,72"
"8,IND,2026-09-20,30,33,Sun,2,2,@,KAN,L 30-33 (OT),30,33,-3,63"
"9,LAR,2026-09-21,28,6,Mon,2,2,,NYG,W 28-6,28,6,22,34"
"10,LVR,2026-09-20,26,14,Sun,2,2,@,LAC,W 26-14,26,14,12,40"
"11,NOR,2026-09-20,24,17,Sun,2,2,@,BAL,W 24-17,24,17,7,41"
"12,PHI,2026-09-20,24,20,Sun,2,2,@,TEN,W 24-20,24,20,4,44"
"13,CLE,2026-09-20,23,19,Sun,2,2,@,TAM,W 23-19,23,19,4,42"
"14,CIN,2026-09-20,20,6,Sun,2,2,@,HOU,W 20-6,20,6,14,26"
"15,DEN,2026-09-20,20,13,Sun,2,2,,JAX,W 20-13,20,13,7,33"
"16,GNB,2026-09-20,20,17,Sun,2,2,@,NYJ,W 20-17 (OT),20,17,3,37"
"17,NWE,2026-09-20,20,3,Sun,2,2,,PIT,W 20-3,20,3,17,23"
"18,TEN,2026-09-20,20,24,Sun,2,2,,PHI,L 20-24,20,24,-4,44"
"19,WAS,2026-09-20,20,37,Sun,2,2,@,DAL,L 20-37,20,37,-17,57"
"20,TAM,2026-09-20,19,23,Sun,2,2,,CLE,L 19-23,19,23,-4,42"
"21,NYJ,2026-09-20,17,20,Sun,2,2,,GNB,L 17-20 (OT),17,20,-3,37"
"22,BAL,2026-09-20,17,24,Sun,2,2,,NOR,L 17-24,17,24,-7,41"
"23,LAC,2026-09-20,14,26,Sun,2,2,,LVR,L 14-26,14,26,-12,40"
"24,JAX,2026-09-20,13,20,Sun,2,2,@,DEN,L 13-20,13,20,-7,33"
"25,MIA,2026-09-20,13,35,Sun,2,2,@,SFO,L 13-35,13,35,-22,48"
"26,MIN,2026-09-20,9,3,Sun,2,2,@,CHI,W 9-3,9,3,6,12"
"27,ARI,2026-09-20,7,31,Sun,2,2,,SEA,L 7-31,7,31,-24,38"
"28,NYG,2026-09-21,6,28,Mon,2,2,@,LAR,L 6-28,6,28,-22,34"
"29,HOU,2026-09-20,6,20,Sun,2,2,,CIN,L 6-20,6,20,-14,26"
"30,ATL,2026-09-20,3,34,Sun,2,2,,CAR,L 3-34,3,34,-31,37"
"31,CHI,2026-09-20,3,9,Sun,2,2,,MIN,L 3-9,3,9,-6,12"
"32,PIT,2026-09-20,3,20,Sun,2,2,@,NWE,L 3-20,3,20,-17,23"
