"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,NWE,2025-12-28,42,10,Sun,16,17,@,NYJ,W 42-10,42,10,32,52"
"2,SFO,2025-12-28,42,38,Sun,16,17,,CHI,W 42-38,42,38,4,80"
"3,BAL,2025-12-27,41,24,Sat,16,17,@,GNB,W 41-24,41,24,17,65"
"4,CHI,2025-12-28,38,42,Sun,16,17,@,SFO,L 38-42,38,42,-4,80"
"5,CIN,2025-12-28,37,14,Sun,16,17,,ARI,W 37-14,37,14,23,51"
"6,NOR,2025-12-28,34,26,Sun,16,17,@,TEN,W 34-26,34,26,8,60"
"7,NYG,2025-12-28,34,10,Sun,16,17,@,LVR,W 34-10,34,10,24,44"
"8,DAL,2025-12-25,30,23,Thu,16,17,@,WAS,W 30-23,30,23,7,53"
"9,ATL,2025-12-29,27,24,Mon,16,17,,LAR,W 27-24,27,24,3,51"
"10,SEA,2025-12-28,27,10,Sun,16,17,@,CAR,W 27-10,27,10,17,37"
"11,TEN,2025-12-28,26,34,Sun,16,17,,NOR,L 26-34,26,34,-8,60"
"12,LAR,2025-12-29,24,27,Mon,16,17,@,ATL,L 24-27,24,27,-3,51"
"13,GNB,2025-12-27,24,41,Sat,16,17,,BAL,L 24-41,24,41,-17,65"
"14,JAX,2025-12-28,23,17,Sun,16,17,@,IND,W 23-17,23,17,6,40"
"15,MIN,2025-12-25,23,10,Thu,16,17,,DET,W 23-10,23,10,13,33"
"16,WAS,2025-12-25,23,30,Thu,16,17,,DAL,L 23-30,23,30,-7,53"
"17,MIA,2025-12-28,20,17,Sun,16,17,,TAM,W 20-17,20,17,3,37"
"18,HOU,2025-12-27,20,16,Sat,16,17,@,LAC,W 20-16,20,16,4,36"
"19,DEN,2025-12-25,20,13,Thu,16,17,@,KAN,W 20-13,20,13,7,33"
"20,IND,2025-12-28,17,23,Sun,16,17,,JAX,L 17-23,17,23,-6,40"
"21,TAM,2025-12-28,17,20,Sun,16,17,@,MIA,L 17-20,17,20,-3,37"
"22,LAC,2025-12-27,16,20,Sat,16,17,,HOU,L 16-20,16,20,-4,36"
"23,ARI,2025-12-28,14,37,Sun,16,17,@,CIN,L 14-37,14,37,-23,51"
"24,CLE,2025-12-28,13,6,Sun,16,17,,PIT,W 13-6,13,6,7,19"
"25,PHI,2025-12-28,13,12,Sun,16,17,@,BUF,W 13-12,13,12,1,25"
"26,KAN,2025-12-25,13,20,Thu,16,17,,DEN,L 13-20,13,20,-7,33"
"27,BUF,2025-12-28,12,13,Sun,16,17,,PHI,L 12-13,12,13,-1,25"
"28,CAR,2025-12-28,10,27,Sun,16,17,,SEA,L 10-27,10,27,-17,37"
"29,NYJ,2025-12-28,10,42,Sun,16,17,,NWE,L 10-42,10,42,-32,52"
"30,LVR,2025-12-28,10,34,Sun,16,17,,NYG,L 10-34,10,34,-24,44"
"31,DET,2025-12-25,10,23,Thu,16,17,@,MIN,L 10-23,10,23,-13,33"
"32,PIT,2025-12-28,6,13,Sun,16,17,@,CLE,L 6-13,6,13,-7,19"
