"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Jaxson Dart,75,32,5,0,Sun,17,18,2026-01-04,22-236,NYG,,DAL,W 34-17,22,32,10,68.8,230,2,0,0,6.3,0.0,110.2,4,11,11.11,7.2,8.4,7.2,10.5,52.8,5,32,6.4,0,1,80.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,DartJa00"
"2,Aaron Rodgers,75,47,1,0,Sun,17,18,2026-01-04,42-033,PIT,,BAL,W 26-24,31,47,16,66.0,294,1,0,0,2.1,0.0,90.2,2,4,4.08,6.3,6.7,6.3,9.5,44.9,1,20,20.0,0,1,100.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,RodgAa00"
"3,Mitchell Trubisky,74,29,5,0,Sun,17,18,2026-01-04,31-137,BUF,,NYJ,W 35-8,22,29,7,75.9,259,4,0,0,13.8,0.0,142.1,0,0,0.00,8.9,11.7,11.7,11.8,62.1,5,5,1.0,0,0,20.0,0,0,0,,0,,,0,,74,98.7,0,0.0,0,0.0,QB,TrubMi00"
"4,Jared Goff,73,42,0,0,Sun,17,18,2026-01-04,31-082,DET,@,CHI,W 19-16,27,42,15,64.3,331,1,1,0,2.4,2.4,86.5,2,15,4.55,7.9,7.3,6.6,12.3,52.3,0,0,,0,0,,0,0,0,,0,,,0,,73,100.0,0,0.0,0,0.0,QB,GoffJa00"
"5,Isaiah Hodgins,72,0,0,2,Sun,17,18,2026-01-04,27-075,NYG,,DAL,W 34-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,72,96.0,0,0.0,0,0.0,WR,HodgIs00"
"6,Matthew Stafford,72,40,1,0,Sun,17,18,2026-01-04,37-331,LAR,,ARI,W 37-20,25,40,15,62.5,259,4,0,0,10.0,0.0,114.5,1,7,2.44,6.5,8.5,8.1,10.4,58.5,1,3,3.0,0,0,0.0,0,0,0,,0,,,0,,72,96.0,0,0.0,0,0.0,QB,StafMa00"
"7,Trey Lance,71,44,9,0,Sun,17,18,2026-01-04,25-240,LAC,@,DEN,L 3-19,20,44,24,45.5,136,0,1,1,0.0,2.3,43.4,4,32,8.33,3.1,2.1,1.2,6.8,22.9,9,69,7.7,0,4,55.6,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,LancTr00"
"8,Gabe Davis,70,0,0,7,Sun,17,18,2026-01-04,26-278,BUF,,NYJ,W 35-8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,41,8.2,1,71.4,5.9,3,57.1,70,93.3,0,0.0,0,0.0,WR,DaviGa01"
"9,Daniel Bellinger,69,0,0,2,Sun,17,18,2026-01-04,25-104,NYG,,DAL,W 34-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,38,19.0,1,100.0,19.0,2,100.0,69,92.0,0,0.0,7,26.9,TE,BellDa00"
"10,Sam Darnold,69,26,6,0,Sat,17,18,2026-01-03,28-212,SEA,@,SFO,W 13-3,20,26,6,76.9,198,0,0,0,0.0,0.0,97.9,2,17,7.14,7.6,7.6,6.5,9.9,46.4,6,9,1.5,0,1,33.3,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,DarnSa00"
"11,Tre Harris,69,0,0,6,Sun,17,18,2026-01-04,23-310,LAC,@,DEN,L 3-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,2,28,14.0,0,33.3,4.7,2,33.3,69,97.2,0,0.0,7,25.9,WR,HarrTr03"
"12,Josh Johnson,69,22,9,0,Sun,17,18,2026-01-04,39-234,WAS,@,PHI,W 24-17,14,22,8,63.6,131,1,1,0,4.5,4.5,76.1,0,0,0.00,6.0,4.8,4.8,9.4,50.0,9,45,5.0,1,4,55.6,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,JohnJo05"
"13,Amon-Ra St. Brown,69,0,0,15,Sun,17,18,2026-01-04,26-072,DET,@,CHI,W 19-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,15,11,139,12.6,0,73.3,9.3,8,60.0,69,94.5,0,0.0,0,0.0,WR,StxxAm00"
"14,Jameson Williams,69,0,0,8,Sun,17,18,2026-01-04,24-284,DET,@,CHI,W 19-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,6,74,12.3,0,75.0,9.3,3,75.0,69,94.5,0,0.0,0,0.0,WR,WillJa11"
"15,Ja'Marr Chase,68,0,0,10,Sun,17,18,2026-01-04,25-309,CIN,,CLE,L 18-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,8,96,12.0,1,80.0,9.6,7,80.0,68,100.0,0,0.0,0,0.0,WR,ChasJa00"
"16,Tyler Shough,68,35,3,0,Sun,17,18,2026-01-04,26-098,NOR,@,ATL,L 17-19,23,35,12,65.7,259,1,1,0,2.9,2.9,85.3,4,27,10.26,7.4,6.7,5.3,11.3,35.9,3,34,11.3,1,2,66.7,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,ShouTy00"
"17,Joe Burrow,67,39,2,0,Sun,17,18,2026-01-04,29-025,CIN,,CLE,L 18-20,29,39,10,74.4,236,3,1,1,7.7,2.6,104.2,2,14,4.88,6.1,6.4,5.8,8.1,58.5,2,17,8.5,0,1,100.0,0,0,0,,0,,,0,,67,98.5,0,0.0,0,0.0,QB,BurrJo01"
"18,Baker Mayfield,67,22,4,0,Sat,17,18,2026-01-03,30-264,TAM,,CAR,W 16-14,16,22,6,72.7,203,1,1,0,4.5,4.5,97.3,2,5,8.33,9.2,8.1,7.2,12.7,58.3,4,31,7.8,0,2,75.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,MayfBa00"
"19,Kevin Austin,66,0,0,9,Sun,17,18,2026-01-04,25-280,NOR,@,ATL,L 17-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,4,37,9.3,0,44.4,4.1,2,33.3,66,97.1,0,0.0,1,3.6,WR,AustKe00"
"20,Riley Leonard,65,34,3,0,Sun,17,18,2026-01-04,23-113,IND,@,HOU,L 30-38,21,34,13,61.8,270,2,1,0,5.9,2.9,94.0,1,8,2.86,7.9,7.8,7.3,12.9,31.4,3,21,7.0,1,3,100.0,0,0,-3,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,LeonRi02"
"21,Darius Slayton,65,0,0,9,Sun,17,18,2026-01-04,28-357,NYG,,DAL,W 34-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,4,34,8.5,0,44.4,3.8,3,44.4,65,86.7,0,0.0,0,0.0,WR,SlayDa01"
"22,Tanner McKee,64,40,2,0,Sun,17,18,2026-01-04,25-252,PHI,,WAS,L 17-24,21,40,19,52.5,241,1,1,0,2.5,2.5,68.9,3,14,6.98,6.0,5.4,4.7,11.5,46.5,2,3,1.5,0,0,0.0,0,0,0,,0,,,0,,64,100.0,0,0.0,0,0.0,QB,McKeTa01"
"23,Cade Otton,64,0,0,9,Sat,17,18,2026-01-03,26-263,TAM,,CAR,W 16-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,7,94,13.4,1,77.8,10.4,5,55.6,64,95.5,0,0.0,0,0.0,TE,OttoCa00"
"24,Kirk Cousins,63,32,3,0,Sun,17,18,2026-01-04,37-138,ATL,,NOR,W 19-17,18,32,14,56.3,180,1,1,0,3.1,3.1,69.8,4,21,11.11,5.6,4.8,3.7,10.0,36.1,3,0,0.0,0,0,0.0,0,0,0,,0,,,0,,63,100.0,0,0.0,0,0.0,QB,CousKi00"
"25,Gunner Olszewski,63,1,0,9,Sun,17,18,2026-01-04,29-039,NYG,,DAL,W 34-17,0,1,1,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.0,0.0,,0.0,0,0,,0,0,,9,8,102,12.8,0,88.9,11.3,5,77.8,63,84.0,0,0.0,2,7.7,WR,OlszGu00"
"26,Josh Palmer,63,0,0,3,Sun,17,18,2026-01-04,26-104,BUF,,NYJ,W 35-8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,1,1,1.0,0,33.3,0.3,0,0.0,63,84.0,0,0.0,0,0.0,WR,PalmJo00"
"27,Colby Parkinson,63,0,0,7,Sun,17,18,2026-01-04,26-361,LAR,,ARI,W 37-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,36,9.0,2,57.1,5.1,2,42.9,63,84.0,0,0.0,6,21.4,TE,ParkCo02"
"28,Marquez Valdes-Scantling,63,0,0,7,Sun,17,18,2026-01-04,31-086,PIT,,BAL,W 26-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,34,6.8,0,71.4,4.9,2,57.1,63,84.0,0,0.0,0,0.0,WR,ValdMa00"
"29,Jordan Addison,62,0,0,3,Sun,17,18,2026-01-04,23-342,MIN,,GNB,W 16-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,1,8,8.0,0,33.3,2.7,0,33.3,62,92.5,0,0.0,0,0.0,WR,AddiJo00"
"30,Keon Coleman,61,0,0,4,Sun,17,18,2026-01-04,22-232,BUF,,NYJ,W 35-8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,49,24.5,0,50.0,12.3,2,50.0,61,81.3,0,0.0,5,31.3,WR,ColeKe02"
"31,Tre Tucker,61,0,1,6,Sun,17,18,2026-01-04,24-302,LVR,,KAN,W 14-12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,4,4.0,0,0,0.0,6,2,30,15.0,0,33.3,5.0,2,33.3,61,98.4,0,0.0,0,0.0,WR,TuckTr00"
"32,Jahan Dotson,60,0,0,8,Sun,17,18,2026-01-04,25-288,PHI,,WAS,L 17-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,3,40,13.3,0,37.5,5.0,2,37.5,60,93.8,0,0.0,0,0.0,WR,DotsJa00"
"33,Ashton Jeanty,60,0,26,5,Sun,17,18,2026-01-04,22-033,LVR,,KAN,W 14-12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,26,87,3.3,0,3,42.3,5,3,7,2.3,0,60.0,1.4,0,20.0,60,96.8,0,0.0,0,0.0,RB,JeanAs00"
"34,Tee Higgins,59,0,0,9,Sun,17,18,2026-01-04,26-351,CIN,,CLE,L 18-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,6,67,11.2,1,66.7,7.4,4,55.6,59,86.8,0,0.0,0,0.0,WR,HiggTe00"
"35,Drake London,59,0,0,8,Sun,17,18,2026-01-04,24-164,ATL,,NOR,W 19-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,4,78,19.5,1,50.0,9.8,4,50.0,59,93.7,0,0.0,1,3.6,WR,LondDr00"
"36,Michael Mayer,59,0,0,5,Sun,17,18,2026-01-04,24-182,LVR,,KAN,W 14-12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,3,47,15.7,0,60.0,9.4,2,40.0,59,95.2,0,0.0,8,25.0,TE,MayeMi00"
