Team,Player,Pos.,Age,HT,WT,Exp,College
BAL,Dayton Wade,WR,25.0,"5' 9""",184 lbs,2,
BAL,Devontez Walker,WR,25.0,"6' 1""",198 lbs,3,
BAL,Elijah Sarratt,WR,23.0,"6' 2""",210 lbs,0,
BAL,Ja'Kobi Lane,WR,22.0,"6' 4""",200 lbs,0,
BAL,LaJohntay Wester,WR,24.0,"5' 9""",170 lbs,2,
BAL,Octavian Smith Jr.,WR,23.0,"5' 11""",184 lbs,0,
BAL,Rashod Bateman,WR,26.0,"6' 1""",193 lbs,6,
BAL,Xavier Guillory,WR,25.0,"6' 2""",203 lbs,1,
BAL,Zay Flowers,WR,25.0,"5' 9""",183 lbs,4,
BUF,Josh Allen,QB,30.0,"6' 5""",237 lbs,9,
BUF,Kyle Allen,QB,30.0,"6' 3""",210 lbs,8,
BUF,Shane Buechele,QB,28.0,"6' 0""",210 lbs,4,
BUF,Frank Gore Jr.,RB,24.0,"5' 8""",201 lbs,1,
BUF,Ian Wheeler,RB,24.0,"5' 11""",205 lbs,2,
BUF,James Cook III,RB,26.0,"5' 11""",190 lbs,5,
BUF,Ray Davis,RB,26.0,"5' 8""",211 lbs,3,
BUF,Ty Johnson,RB,28.0,"5' 10""",210 lbs,8,
BUF,Dalton Kincaid,TE,26.0,"6' 3""",246 lbs,4,
BUF,Dawson Knox,TE,29.0,"6' 4""",254 lbs,8,
BUF,Jackson Hawes,TE,25.0,"6' 4""",253 lbs,2,
BUF,Keleki Latu,TE,24.0,"6' 6""",249 lbs,1,
BUF,Shane Zylstra,TE,29.0,"6' 4""",244 lbs,5,
BUF,DJ Moore,WR,29.0,"6' 0""",213 lbs,9,
BUF,Dante Pettis,WR,30.0,"6' 1""",195 lbs,8,
BUF,Ja'Mori Maclin,WR,24.0,"5' 11""",183 lbs,0,
BUF,Joshua Palmer,WR,26.0,"6' 1""",210 lbs,6,
BUF,Keon Coleman,WR,23.0,"6' 3""",213 lbs,3,
BUF,Khalil Shakir,WR,26.0,"6' 0""",190 lbs,5,
BUF,Mac Dalena,WR,24.0,"5' 11""",180 lbs,1,
BUF,Max Tomczak,WR,23.0,"6' 0""",195 lbs,0,
BUF,Mecole Hardman Jr.,WR,28.0,"5' 10""",187 lbs,8,
BUF,Quentin Skinner,WR,24.0,"6' 5""",195 lbs,1,
BUF,Skyler Bell,WR,24.0,"5' 11""",192 lbs,0,
BUF,Stephen Gosnell,WR,24.0,"6' 1""",198 lbs,1,
BUF,Trent Sherfield,WR,30.0,"6' 1""",205 lbs,9,
BUF,Tyrell Shavers,WR,27.0,"6' 4""",211 lbs,2,
CAR,Bryce Young,QB,25.0,"5' 10""",204 lbs,4,
CAR,Haynes King,QB,25.0,"6' 2""",212 lbs,0,
CAR,Kenny Pickett,QB,28.0,"6' 3""",220 lbs,5,
CAR,Kyle Trask,QB,28.0,"6' 5""",236 lbs,5,
CAR,AJ Dillon,RB,28.0,"6' 0""",247 lbs,7,
CAR,Anthony Tyus III,RB,23.0,"6' 1""",226 lbs,1,
CAR,Chuba Hubbard,RB,27.0,"6' 1""",210 lbs,6,
CAR,Jonathon Brooks,RB,23.0,"6' 0""",207 lbs,3,
CAR,Miles Davis,RB,24.0,"5' 11""",215 lbs,0,
CAR,Trevor Etienne,RB,22.0,"5' 8""",198 lbs,2,
CAR,Caden Prieskorn,TE,26.0,"6' 5""",255 lbs,1,
CAR,Darren Waller,TE,33.0,"6' 6""",245 lbs,9,
CAR,Feleipe Franks,TE,28.0,"6' 6""",228 lbs,4,
