Team,Player,Pos.,Age,HT,WT,Exp,College
IND,Seth McGowan,RB,24.0,"6' 0""",223 lbs,0,
IND,Ulysses Bentley IV,RB,25.0,"5' 10""",200 lbs,1,
IND,Carson Towt,TE,25.0,"6' 8""",250 lbs,0,
IND,Drew Ogletree,TE,28.0,"6' 5""",260 lbs,5,
IND,JJ Galbreath,TE,25.0,"6' 4""",231 lbs,1,
IND,Mo Alie-Cox,TE,32.0,"6' 5""",267 lbs,9,
IND,Pharaoh Brown,TE,32.0,"6' 5""",246 lbs,9,
IND,Sean McKeon,TE,28.0,"6' 5""",255 lbs,5,
IND,Tyler Moore,TE,,"6' 5""",255 lbs,0,
IND,Tyler Warren,TE,24.0,"6' 6""",256 lbs,2,
IND,Will Mallory,TE,27.0,"6' 4""",239 lbs,4,
IND,Alec Pierce,WR,26.0,"6' 3""",211 lbs,5,
IND,Anthony Gould,WR,25.0,"5' 8""",174 lbs,3,
IND,Ashton Dulin,WR,29.0,"6' 2""",215 lbs,8,
IND,Coleman Owen,WR,25.0,"5' 10""",181 lbs,1,
IND,D.J. Montgomery,WR,29.0,"6' 1""",201 lbs,5,
IND,Deion Burks,WR,23.0,"5' 9""",180 lbs,0,
IND,Eli Pancol,WR,26.0,"6' 3""",205 lbs,1,
IND,Josh Downs,WR,25.0,"5' 9""",171 lbs,4,
IND,Keenan Allen,WR,34.0,"6' 2""",211 lbs,13,
IND,Laquon Treadwell,WR,31.0,"6' 2""",215 lbs,10,
IND,Nick Westbrook-Ikhine,WR,29.0,"6' 2""",211 lbs,7,
IND,Raylen Sharpe,WR,24.0,"5' 9""",169 lbs,0,
IND,Sahmir Hagans,WR,23.0,"5' 10""",190 lbs,0,
JAX,Carter Bradley,QB,26.0,"6' 3""",221 lbs,1,
JAX,Joey Aguilar,QB,25.0,"6' 3""",225 lbs,0,
JAX,Nick Mullens,QB,31.0,"6' 0""",210 lbs,8,
JAX,Trevor Lawrence,QB,26.0,"6' 6""",220 lbs,6,
JAX,Ameer Abdullah,RB,33.0,"5' 8""",203 lbs,12,
JAX,Bhayshul Tuten,RB,23.0,"5' 9""",209 lbs,2,
JAX,Chris Rodriguez Jr.,RB,26.0,"5' 11""",224 lbs,4,
JAX,DeeJay Dallas,RB,27.0,"5' 10""",225 lbs,7,
JAX,J'Mari Taylor,RB,24.0,"5' 9""",199 lbs,0,
JAX,LeQuint Allen Jr.,RB,22.0,"6' 0""",201 lbs,2,
JAX,Brenton Strange,TE,25.0,"6' 4""",253 lbs,4,
JAX,Hunter Long,TE,28.0,"6' 5""",243 lbs,6,
JAX,Nate Boerkircher,TE,24.0,"6' 5""",245 lbs,0,
JAX,Patrick Herbert,TE,25.0,"6' 5""",255 lbs,1,
JAX,Quintin Morris,TE,27.0,"6' 2""",243 lbs,5,
JAX,Tanner Koziol,TE,22.0,"6' 7""",250 lbs,0,
JAX,Austin Trammell,WR,28.0,"5' 10""",185 lbs,4,
JAX,Brady Boyd,WR,24.0,"6' 1""",195 lbs,0,
JAX,Brian Thomas Jr.,WR,23.0,"6' 2""",209 lbs,3,
JAX,CJ Williams,WR,23.0,"6' 1""",205 lbs,0,
JAX,Chandler Brayboy,WR,25.0,"6' 1""",199 lbs,1,
JAX,Jakobi Meyers,WR,29.0,"6' 2""",200 lbs,8,
JAX,Josh Cameron,WR,23.0,"6' 1""",224 lbs,0,
JAX,Michael Wortham,WR,24.0,"5' 9""",190 lbs,0,
JAX,Parker Washington,WR,24.0,"5' 10""",204 lbs,4,
JAX,Tim Jones,WR,28.0,"6' 1""",200 lbs,4,
JAX,Travis Hunter,WR,23.0,"6' 1""",185 lbs,2,
JAX,Trebor Pena,WR,24.0,"5' 10""",187 lbs,0,
KC,Chris Oladokun,QB,28.0,"6' 1""",213 lbs,1,
KC,Garrett Nussmeier,QB,24.0,"6' 1""",205 lbs,0,
KC,Justin Fields,QB,27.0,"6' 3""",227 lbs,6,
KC,Patrick Mahomes,QB,30.0,"6' 2""",225 lbs,10,
KC,Brashard Smith,RB,23.0,"5' 10""",196 lbs,2,
KC,EJ Smith,RB,24.0,"5' 11""",211 lbs,0,
KC,Emari Demercado,RB,27.0,"5' 9""",215 lbs,4,
KC,Emmett Johnson,RB,22.0,"5' 11""",200 lbs,0,
KC,Jaydn Ott,RB,23.0,"5' 11""",208 lbs,0,
KC,Kenneth Walker III,RB,25.0,"5' 9""",211 lbs,5,
KC,Jake Briningstool,TE,23.0,"6' 6""",240 lbs,2,
KC,Jared Wiley,TE,25.0,"6' 6""",249 lbs,3,
KC,John Michael Gyllenborg,TE,24.0,"6' 5""",251 lbs,0,
KC,Mason Pline,TE,26.0,"6' 7""",260 lbs,2,
KC,Noah Gray,TE,27.0,"6' 3""",240 lbs,6,
KC,Travis Kelce,TE,36.0,"6' 5""",250 lbs,14,
KC,Tre Watson,TE,23.0,"6' 5""",250 lbs,1,
KC,Andrew Armstrong,WR,25.0,"6' 4""",210 lbs,1,
KC,Cyrus Allen,WR,23.0,"5' 11""",180 lbs,0,
KC,Jacob De Jesus,WR,24.0,"5' 7""",170 lbs,0,
KC,Jalen Royals,WR,23.0,"6' 0""",195 lbs,2,
KC,Jason Brownlee,WR,27.0,"6' 3""",202 lbs,3,
KC,Jeff Caldwell,WR,23.0,"6' 5""",215 lbs,0,
KC,Jeff Weimer,WR,,"6' 2""",211 lbs,0,
KC,Jimmy Holiday,WR,24.0,"6' 1""",211 lbs,1,
KC,Nikko Remigio,WR,26.0,"5' 9""",187 lbs,2,
KC,Omari Evans,WR,22.0,"6' 0""",195 lbs,0,
KC,Rashee Rice,WR,26.0,"6' 1""",204 lbs,4,
KC,Tyquan Thornton,WR,26.0,"6' 2""",185 lbs,5,
KC,Xavier Loyd,WR,23.0,"6' 2""",196 lbs,0,
KC,Xavier Worthy,WR,23.0,"5' 11""",165 lbs,3,
LAC,DJ Uiagalelei,QB,25.0,"6' 4""",252 lbs,1,
LAC,Justin Herbert,QB,28.0,"6' 6""",236 lbs,7,
LAC,Trey Lance,QB,26.0,"6' 4""",226 lbs,6,
LAC,Amar Johnson,RB,23.0,"5' 10""",205 lbs,1,
LAC,Greg Desrosiers Jr.,RB,25.0,"5' 11""",200 lbs,0,
LAC,Jaret Patterson,RB,26.0,"5' 8""",195 lbs,3,
LAC,Keaton Mitchell,RB,24.0,"5' 8""",191 lbs,4,
LAC,Kimani Vidal,RB,24.0,"5' 8""",215 lbs,3,
LAC,Omarion Hampton,RB,23.0,"6' 0""",220 lbs,2,
LAC,Charlie Kolar,TE,27.0,"6' 6""",250 lbs,5,
LAC,David Njoku,TE,30.0,"6' 4""",246 lbs,12,
LAC,Evan Svoboda,TE,23.0,"6' 5""",251 lbs,0,
LAC,Jerand Bradley,TE,23.0,"6' 5""",223 lbs,0,
LAC,Johnny Pascuzzi,TE,24.0,"6' 4""",241 lbs,0,
LAC,Oronde Gadsden,TE,23.0,"6' 5""",236 lbs,2,
LAC,Brenen Thompson,WR,23.0,"5' 9""",170 lbs,0,
LAC,Dalevon Campbell,WR,24.0,"6' 4""",220 lbs,2,
LAC,Derius Davis,WR,25.0,"5' 8""",165 lbs,4,
LAC,Devonte Ross,WR,23.0,"5' 10""",170 lbs,0,
LAC,Gary Jennings,WR,29.0,"6' 1""",214 lbs,3,
LAC,JaQuae Jackson,WR,26.0,"6' 1""",184 lbs,2,
LAC,KeAndre Lambert-Smith,WR,24.0,"6' 1""",182 lbs,2,
LAC,Ladd McConkey,WR,24.0,"6' 0""",185 lbs,3,
LAC,Liam Clifford,WR,,"6' 1""",206 lbs,0,
LAC,Luke Grimm,WR,25.0,"6' 0""",190 lbs,1,
LAC,Quentin Johnston,WR,24.0,"6' 2""",208 lbs,4,
LAC,Sincere Brown,WR,24.0,"6' 5""",190 lbs,0,
LAC,Tre' Harris,WR,24.0,"6' 3""",210 lbs,2,
LAR,Matthew Caldwell,QB,23.0,"6' 4""",209 lbs,0,
LAR,Matthew Stafford,QB,38.0,"6' 3""",214 lbs,18,
LAR,Stetson Bennett IV,QB,28.0,"5' 11""",192 lbs,3,
LAR,Ty Simpson,QB,23.0,"6' 1""",211 lbs,0,
LAR,Blake Corum,RB,25.0,"5' 8""",202 lbs,3,
LAR,Dean Connors,RB,22.0,"5' 11""",206 lbs,0,
LAR,Jarquez Hunter,RB,23.0,"5' 10""",211 lbs,2,
LAR,Jordan Waters,RB,25.0,"6' 0""",225 lbs,1,
LAR,Kyren Williams,RB,25.0,"5' 9""",207 lbs,5,
LAR,Ronnie Rivers,RB,27.0,"5' 9""",198 lbs,5,
LAR,Colby Parkinson,TE,27.0,"6' 7""",266 lbs,7,
LAR,Dan Villari,TE,24.0,"6' 4""",243 lbs,0,
LAR,Davis Allen,TE,25.0,"6' 6""",253 lbs,4,
LAR,Mark Redman,TE,24.0,"6' 5""",258 lbs,1,
LAR,Max Klare,TE,23.0,"6' 4""",246 lbs,0,
LAR,Rohan Jones,TE,24.0,"6' 3""",236 lbs,0,
LAR,Terrance Ferguson,TE,23.0,"6' 5""",252 lbs,2,
LAR,Tyler Higbee,TE,33.0,"6' 6""",253 lbs,11,
LAR,Alex Bachman,WR,30.0,"6' 0""",190 lbs,3,
LAR,Brennan Presley,WR,24.0,"5' 8""",174 lbs,1,
LAR,CJ Daniels,WR,24.0,"6' 2""",202 lbs,0,
LAR,Davante Adams,WR,33.0,"6' 1""",204 lbs,13,
LAR,Jordan Whittington,WR,25.0,"6' 1""",202 lbs,3,
LAR,Konata Mumpfield,WR,23.0,"6' 1""",188 lbs,2,
LAR,Puka Nacua,WR,25.0,"6' 2""",216 lbs,4,
LAR,Tru Edwards,WR,25.0,"6' 3""",211 lbs,1,
LAR,Tyler Scott,WR,24.0,"5' 11""",185 lbs,3,
LAR,Xavier Smith,WR,28.0,"5' 9""",180 lbs,3,
LV,Aidan O'Connell,QB,27.0,"6' 3""",206 lbs,4,
LV,Fernando Mendoza,QB,22.0,"6' 5""",225 lbs,0,
LV,Jacob Clark,QB,25.0,"6' 5""",220 lbs,0,
LV,Kirk Cousins,QB,38.0,"6' 3""",209 lbs,15,
LV,Ashton Jeanty,RB,22.0,"5' 8""",208 lbs,2,
LV,Chris Collier,RB,26.0,"5' 10""",203 lbs,2,
LV,Dare Ogunbowale,RB,32.0,"5' 10""",205 lbs,9,
LV,Dylan Laube,RB,26.0,"5' 9""",204 lbs,3,
LV,Mike Washington Jr.,RB,23.0,"6' 2""",228 lbs,0,
LV,Roman Hemby,RB,24.0,"6' 0""",210 lbs,0,
LV,Albert Okwuegbunam Jr.,TE,28.0,"6' 5""",258 lbs,6,
LV,Brock Bowers,TE,23.0,"6' 4""",235 lbs,3,
LV,Carter Runyon,TE,25.0,"6' 4""",243 lbs,2,
LV,Chris Myarick,TE,30.0,"6' 5""",261 lbs,5,
LV,Ian Thomas,TE,30.0,"6' 3""",253 lbs,9,
LV,Michael Mayer,TE,25.0,"6' 4""",256 lbs,4,
LV,Patrick Gurd,TE,24.0,"6' 4""",250 lbs,0,
LV,Brandon Johnson,WR,28.0,"6' 2""",195 lbs,3,
LV,Chase Roberts,WR,25.0,"6' 4""",210 lbs,0,
LV,Corey Rucker,WR,24.0,"6' 0""",213 lbs,0,
LV,Dareke Young,WR,27.0,"6' 2""",224 lbs,5,
LV,Deven Thompkins,WR,26.0,"5' 8""",155 lbs,5,
LV,Dont'e Thornton Jr.,WR,23.0,"6' 5""",205 lbs,2,
LV,E.J. Williams Jr.,WR,24.0,"6' 4""",205 lbs,0,
LV,Jack Bech,WR,23.0,"6' 1""",214 lbs,2,
LV,Jalen Nailor,WR,27.0,"6' 0""",190 lbs,5,
LV,Justin Shorter,WR,26.0,"6' 4""",227 lbs,4,
LV,Malik Benson,WR,23.0,"6' 1""",195 lbs,0,
LV,Noah Brown,WR,30.0,"6' 2""",225 lbs,10,
LV,Phillip Dorsett II,WR,33.0,"5' 10""",185 lbs,9,
LV,Shedrick Jackson,WR,26.0,"6' 1""",198 lbs,1,
LV,Tre Tucker,WR,25.0,"5' 8""",182 lbs,4,
MIA,Cam Miller,QB,25.0,"6' 1""",211 lbs,1,
MIA,Malik Willis,QB,27.0,"6' 1""",225 lbs,5,
MIA,Mark Gronowski,QB,24.0,"6' 2""",226 lbs,0,
MIA,Quinn Ewers,QB,23.0,"6' 2""",209 lbs,2,
MIA,Carlos Washington Jr.,RB,27.0,"5' 11""",210 lbs,1,
MIA,De'Von Achane,RB,24.0,"5' 9""",191 lbs,4,
MIA,Donovan Edwards,RB,23.0,"6' 1""",212 lbs,1,
MIA,Jaylen Wright,RB,23.0,"5' 10""",208 lbs,3,
MIA,Ollie Gordon II,RB,22.0,"6' 2""",225 lbs,2,
MIA,Ben Sims,TE,26.0,"6' 5""",250 lbs,4,
MIA,Cole Turner,TE,26.0,"6' 6""",240 lbs,3,
MIA,Ethan Conner,TE,23.0,"6' 4""",245 lbs,0,
MIA,Greg Dulcich,TE,26.0,"6' 4""",245 lbs,5,
MIA,Jeremiah Franklin,TE,22.0,"6' 3""",246 lbs,0,
MIA,Seydou Traore,TE,24.0,"6' 4""",235 lbs,0,
MIA,Will Kacmarek,TE,23.0,"6' 6""",258 lbs,0,
MIA,AJ Henning,WR,24.0,"5' 10""",192 lbs,1,
MIA,Caleb Douglas,WR,22.0,"6' 4""",205 lbs,0,
MIA,Chris Bell,WR,22.0,"6' 2""",220 lbs,0,
MIA,Donaven McCulley,WR,23.0,"6' 4""",203 lbs,0,
MIA,Jalen Reagor,WR,27.0,"5' 11""",197 lbs,7,
MIA,Jalen Tolbert,WR,27.0,"6' 1""",195 lbs,5,
MIA,Kevin Coleman Jr.,WR,22.0,"5' 10""",180 lbs,0,
MIA,Malik Washington,WR,25.0,"5' 8""",195 lbs,3,
MIA,Tahj Washington,WR,25.0,"5' 10""",174 lbs,3,
MIA,Terrace Marshall Jr.,WR,26.0,"6' 2""",200 lbs,5,
MIA,Theo Wease Jr.,WR,25.0,"6' 2""",210 lbs,1,
MIA,Tutu Atwell,WR,26.0,"5' 9""",165 lbs,6,
MIN,Carson Wentz,QB,33.0,"6' 5""",237 lbs,11,
MIN,J.J. McCarthy,QB,23.0,"6' 3""",219 lbs,3,
MIN,Kyler Murray,QB,29.0,"5' 10""",207 lbs,8,
MIN,Max Brosmer,QB,25.0,"6' 2""",218 lbs,2,
MIN,Aaron Jones Sr.,RB,31.0,"5' 10""",208 lbs,10,
MIN,Demond Claiborne,RB,22.0,"5' 10""",188 lbs,0,
MIN,Jermar Jefferson,RB,26.0,"5' 10""",215 lbs,5,
MIN,Jordan Mason,RB,27.0,"5' 11""",230 lbs,5,
MIN,Zavier Scott,RB,27.0,"6' 1""",221 lbs,2,
MIN,Ben Yurosek,TE,24.0,"6' 4""",251 lbs,2,
MIN,Bryson Nesbit,TE,23.0,"6' 5""",228 lbs,1,
MIN,Gavin Bartholomew,TE,23.0,"6' 5""",249 lbs,2,
MIN,Josh Oliver,TE,29.0,"6' 5""",264 lbs,8,
MIN,Marshall Lang,TE,24.0,"6' 4""",246 lbs,1,
MIN,Matt Lauter,TE,,"6' 3""",245 lbs,0,
MIN,T.J. Hockenson,TE,29.0,"6' 5""",248 lbs,8,
MIN,Dillon Bell,WR,22.0,"6' 0""",209 lbs,0,
MIN,Dontae Fleming,WR,24.0,"6' 2""",180 lbs,1,
MIN,Jauan Jennings,WR,29.0,"6' 3""",212 lbs,6,
MIN,Jeshaun Jones,WR,26.0,"6' 1""",188 lbs,1,
MIN,Jordan Addison,WR,24.0,"5' 11""",179 lbs,4,
MIN,Justin Jefferson,WR,27.0,"6' 1""",195 lbs,7,
MIN,Marcus Sanders Jr.,WR,22.0,"6' 1""",190 lbs,0,
MIN,Michael Briscoe,WR,24.0,"6' 2""",209 lbs,0,
MIN,Myles Price,WR,24.0,"5' 9""",183 lbs,2,
MIN,Tai Felton,WR,23.0,"6' 1""",186 lbs,2,
MIN,Terrill Davis,WR,23.0,"6' 0""",195 lbs,0,
MIN,Trayvon Rudolph,WR,24.0,"5' 10""",187 lbs,0,
NE,Behren Morton,QB,24.0,"6' 2""",218 lbs,0,
NE,Drake Maye,QB,23.0,"6' 4""",225 lbs,3,
NE,Tommy DeVito,QB,28.0,"6' 2""",210 lbs,4,
NE,Hassan Haskins,RB,26.0,"6' 2""",228 lbs,4,
NE,JaMycal Hasty,RB,29.0,"5' 8""",205 lbs,6,
NE,Jam Miller,RB,22.0,"5' 10""",209 lbs,0,
NE,Lan Larison,RB,24.0,"5' 11""",209 lbs,2,
NE,Myles Montgomery,RB,23.0,"5' 11""",205 lbs,0,
NE,Rhamondre Stevenson,RB,28.0,"6' 0""",227 lbs,6,
NE,TreVeyon Henderson,RB,23.0,"5' 10""",202 lbs,2,
NE,CJ Dippre,TE,24.0,"6' 5""",256 lbs,2,
NE,Eli Raridon,TE,22.0,"6' 6""",245 lbs,0,
NE,Hunter Henry,TE,31.0,"6' 5""",249 lbs,11,
NE,Jack Westover,TE,27.0,"6' 3""",252 lbs,2,
NE,Julian Hill,TE,26.0,"6' 4""",251 lbs,4,
NE,Tanner Arkin,TE,23.0,"6' 4""",262 lbs,0,
NE,A.J. Brown,WR,29.0,"6' 1""",226 lbs,8,
NE,Cameron Dorner,WR,22.0,"6' 1""",188 lbs,0,
NE,DeMario Douglas,WR,25.0,"5' 8""",185 lbs,4,
NE,Efton Chism III,WR,24.0,"5' 10""",198 lbs,2,
NE,Jalen Hurd,WR,30.0,"6' 5""",230 lbs,4,
NE,Jeremiah Webb,WR,25.0,"5' 11""",198 lbs,1,
NE,Jimmy Kibble,WR,22.0,"6' 1""",199 lbs,0,
NE,Kobe Prentice,WR,22.0,"5' 10""",184 lbs,0,
NE,Kyle Dixon,WR,25.0,"6' 2""",220 lbs,0,
NE,Kyle Williams,WR,23.0,"5' 11""",190 lbs,2,
NE,Mack Hollins,WR,32.0,"6' 4""",221 lbs,10,
NE,Nick DeGennaro,WR,25.0,"6' 1""",196 lbs,0,
NE,Romeo Doubs,WR,26.0,"6' 2""",210 lbs,5,
NE,Tejhaun Palmer,WR,26.0,"6' 2""",210 lbs,1,
NO,Hunter Dekkers,QB,25.0,"6' 1""",210 lbs,1,
NO,Spencer Rattler,QB,25.0,"6' 0""",211 lbs,3,
NO,Tyler Shough,QB,26.0,"6' 5""",219 lbs,2,
NO,Zach Wilson,QB,27.0,"6' 2""",214 lbs,6,
NO,Alvin Kamara,RB,31.0,"5' 10""",215 lbs,10,
NO,Audric Estime,RB,22.0,"5' 11""",227 lbs,3,
NO,CJ Donaldson,RB,22.0,"6' 1""",230 lbs,0,
NO,Devin Neal,RB,23.0,"5' 11""",213 lbs,2,
NO,Kendre Miller,RB,24.0,"6' 0""",220 lbs,4,
NO,Travis Etienne Jr.,RB,27.0,"5' 10""",215 lbs,6,
NO,Ty Chandler,RB,28.0,"5' 11""",205 lbs,5,
NO,Cody Hardy,TE,22.0,"6' 5""",271 lbs,0,
NO,Juwan Johnson,TE,29.0,"6' 4""",231 lbs,7,
NO,Moliki Matavao,TE,23.0,"6' 6""",263 lbs,2,
NO,Noah Fant,TE,28.0,"6' 4""",249 lbs,8,
NO,Oscar Delp,TE,23.0,"6' 4""",245 lbs,0,
NO,Treyton Welch,TE,25.0,"6' 4""",240 lbs,1,
NO,Zaire Mitchell-Paden,TE,27.0,"6' 5""",257 lbs,2,
NO,Barion Brown,WR,22.0,"5' 11""",177 lbs,0,
NO,Brock Rechsteiner,WR,24.0,"6' 2""",225 lbs,0,
NO,Bryce Lance,WR,24.0,"6' 3""",204 lbs,0,
NO,Bub Means,WR,25.0,"6' 2""",215 lbs,3,
NO,Chris Olave,WR,26.0,"6' 0""",187 lbs,5,
NO,Devaughn Vele,WR,28.0,"6' 5""",210 lbs,3,
NO,Jalen Moreno-Cropper,WR,25.0,"6' 0""",172 lbs,1,
NO,Jordyn Tyson,WR,22.0,"6' 2""",203 lbs,0,
NO,Kevin Austin Jr.,WR,26.0,"6' 2""",200 lbs,3,
NO,Mason Tipton,WR,25.0,"5' 11""",187 lbs,3,
NO,Ronnie Bell,WR,26.0,"6' 0""",192 lbs,3,
NO,Trey Palmer,WR,25.0,"6' 1""",190 lbs,4,
NYG,Brandon Allen,QB,33.0,"6' 2""",219 lbs,10,
NYG,Jake Haener,QB,27.0,"6' 1""",200 lbs,3,
NYG,Jameis Winston,QB,32.0,"6' 4""",231 lbs,12,
NYG,Jaxson Dart,QB,23.0,"6' 2""",223 lbs,2,
NYG,Cam Skattebo,RB,24.0,"5' 11""",215 lbs,2,
NYG,Damon Bankston,RB,23.0,"5' 10""",186 lbs,0,
NYG,Dante Miller,RB,27.0,"5' 9""",200 lbs,1,
NYG,Devin Singletary,RB,28.0,"5' 7""",203 lbs,8,
NYG,Eric Gray,RB,26.0,"5' 10""",211 lbs,4,
NYG,Najee Harris,RB,28.0,"6' 1""",232 lbs,6,
NYG,Tyrone Tracy Jr.,RB,26.0,"5' 11""",210 lbs,3,
NYG,Chris Manhertz,TE,34.0,"6' 6""",235 lbs,11,
NYG,Isaiah Likely,TE,26.0,"6' 4""",241 lbs,5,
NYG,Tanner Conner,TE,28.0,"6' 3""",232 lbs,4,
NYG,Theo Johnson,TE,25.0,"6' 6""",264 lbs,3,
NYG,Thomas Fidone II,TE,23.0,"6' 6""",255 lbs,2,
NYG,Braxton Berrios,WR,30.0,"5' 9""",190 lbs,9,
NYG,Calvin Austin III,WR,27.0,"5' 9""",162 lbs,5,
NYG,Dalen Cambre,WR,25.0,"6' 0""",192 lbs,2,
NYG,Darius Slayton,WR,29.0,"6' 1""",198 lbs,8,
NYG,Darnell Mooney,WR,28.0,"5' 11""",177 lbs,7,
NYG,Gunner Olszewski,WR,29.0,"6' 0""",190 lbs,8,
NYG,Isaiah Hodgins,WR,27.0,"6' 3""",200 lbs,5,
NYG,Jalin Hyatt,WR,24.0,"6' 0""",185 lbs,4,
NYG,Malachi Fields,WR,22.0,"6' 4""",222 lbs,0,
NYG,Malik Nabers,WR,23.0,"6' 0""",200 lbs,3,
NYG,Odell Beckham Jr.,WR,33.0,"5' 11""",198 lbs,11,
NYG,Ryan Miller,WR,26.0,"6' 2""",221 lbs,3,
NYG,Xavier Gipson,WR,25.0,"5' 9""",189 lbs,4,
NYJ,Bailey Zappe,QB,27.0,"6' 1""",220 lbs,4,
NYJ,Brady Cook,QB,24.0,"6' 2""",215 lbs,2,
NYJ,Cade Klubnik,QB,22.0,"6' 2""",207 lbs,0,
NYJ,Geno Smith,QB,35.0,"6' 2""",221 lbs,14,
NYJ,Braelon Allen,RB,22.0,"6' 1""",235 lbs,3,
NYJ,Breece Hall,RB,25.0,"5' 11""",217 lbs,5,
NYJ,Chip Trayanum,RB,24.0,"5' 10""",224 lbs,0,
NYJ,Dominic Richardson,RB,25.0,"6' 0""",204 lbs,0,
NYJ,Isaiah Davis,RB,24.0,"6' 1""",220 lbs,3,
NYJ,Kene Nwangwu,RB,28.0,"6' 1""",210 lbs,6,
NYJ,Sam Scott,RB,23.0,"6' 1""",213 lbs,0,
NYJ,Chase Curtis,TE,26.0,"6' 5""",235 lbs,0,
NYJ,Connor Hulstein,TE,,"6' 5""",235 lbs,0,
NYJ,Jelani Woods,TE,27.0,"6' 7""",253 lbs,5,
NYJ,Jeremy Ruckert,TE,26.0,"6' 5""",250 lbs,5,
NYJ,Kenyon Sadiq,TE,21.0,"6' 3""",241 lbs,0,
NYJ,Mason Taylor,TE,22.0,"6' 5""",251 lbs,2,
NYJ,Adonai Mitchell,WR,23.0,"6' 2""",205 lbs,3,
NYJ,Arian Smith,WR,24.0,"6' 0""",179 lbs,2,
NYJ,Cam Camper,WR,25.0,"6' 3""",198 lbs,1,
NYJ,Caullin Lacy,WR,24.0,"5' 9""",183 lbs,0,
NYJ,Garrett Wilson,WR,26.0,"6' 0""",183 lbs,5,
NYJ,Isaiah Williams,WR,25.0,"5' 10""",185 lbs,3,
NYJ,Jamaal Pritchett,WR,23.0,"5' 8""",175 lbs,1,
NYJ,Junior Bergen,WR,23.0,"5' 9""",184 lbs,1,
NYJ,Malik McClain,WR,23.0,"6' 4""",195 lbs,0,
NYJ,Omar Cooper Jr.,WR,22.0,"6' 0""",199 lbs,0,
NYJ,Quincy Skinner Jr.,WR,23.0,"6' 2""",205 lbs,1,
NYJ,Tim Patrick,WR,32.0,"6' 5""",210 lbs,9,
PHI,Andy Dalton,QB,38.0,"6' 2""",220 lbs,16,
PHI,Cole Payton,QB,23.0,"6' 2""",232 lbs,0,
PHI,Jalen Hurts,QB,28.0,"6' 1""",223 lbs,7,
PHI,Tanner McKee,QB,26.0,"6' 6""",231 lbs,4,
PHI,Carson Steele,RB,23.0,"6' 0""",228 lbs,2,
PHI,Dameon Pierce,RB,26.0,"5' 10""",218 lbs,5,
PHI,Ja'Quinden Jackson,RB,24.0,"6' 2""",233 lbs,1,
PHI,Saquon Barkley,RB,29.0,"6' 0""",233 lbs,9,
PHI,Tank Bigsby,RB,23.0,"5' 11""",215 lbs,4,
PHI,Will Shipley,RB,23.0,"5' 11""",209 lbs,3,
PHI,Cameron Latu,TE,26.0,"6' 5""",244 lbs,3,
PHI,Dallas Goedert,TE,31.0,"6' 5""",256 lbs,9,
PHI,E.J. Jenkins,TE,27.0,"6' 6""",245 lbs,2,
PHI,Eli Stowers,TE,23.0,"6' 4""",239 lbs,0,
PHI,Grant Calcaterra,TE,27.0,"6' 4""",240 lbs,5,
PHI,Johnny Mundt,TE,31.0,"6' 4""",245 lbs,9,
PHI,Stone Smartt,TE,27.0,"6' 4""",226 lbs,5,
PHI,Brandon Hayes,WR,,"6' 2""",205 lbs,0,
PHI,Britain Covey,WR,29.0,"5' 8""",173 lbs,5,
PHI,Danny Gray,WR,27.0,"6' 0""",200 lbs,3,
PHI,Darius Cooper,WR,24.0,"5' 11""",210 lbs,2,
PHI,DeVonta Smith,WR,27.0,"6' 0""",170 lbs,6,
PHI,Dontayvion Wicks,WR,25.0,"6' 1""",206 lbs,4,
PHI,Elijah Moore,WR,26.0,"5' 10""",178 lbs,6,
PHI,Erik Ezukanma,WR,26.0,"6' 2""",206 lbs,3,
PHI,Hollywood Brown,WR,29.0,"5' 9""",170 lbs,8,
PHI,Johnny Wilson,WR,25.0,"6' 6""",228 lbs,3,
PHI,Makai Lemon,WR,22.0,"5' 11""",192 lbs,0,
PHI,Quez Watkins,WR,28.0,"6' 0""",193 lbs,5,
PHI,Samori Toure,WR,28.0,"6' 1""",196 lbs,3,
PIT,Aaron Rodgers,QB,42.0,"6' 2""",223 lbs,22,
PIT,Drew Allar,QB,22.0,"6' 5""",228 lbs,0,
PIT,Mason Rudolph,QB,31.0,"6' 5""",235 lbs,9,
PIT,Will Howard,QB,24.0,"6' 4""",236 lbs,2,
PIT,Alex Tecza,RB,,"6' 0""",199 lbs,0,
PIT,Eli Heidenreich,RB,23.0,"6' 0""",198 lbs,0,
PIT,Jaylen Warren,RB,27.0,"5' 8""",215 lbs,5,
PIT,Kaleb Johnson,RB,23.0,"6' 1""",224 lbs,2,
PIT,Lew Nichols,RB,25.0,"5' 10""",220 lbs,1,
PIT,Max Hurleman,RB,24.0,"5' 11""",200 lbs,1,
PIT,Rico Dowdle,RB,28.0,"5' 11""",215 lbs,7,
PIT,Travis Homer,RB,28.0,"5' 10""",202 lbs,8,
PIT,Darnell Washington,TE,25.0,"6' 7""",264 lbs,4,
PIT,Jaheim Bell,TE,25.0,"6' 2""",241 lbs,2,
PIT,Lake McRee,TE,23.0,"6' 4""",243 lbs,0,
PIT,Lance Mason,TE,22.0,"6' 3""",243 lbs,0,
PIT,Pat Freiermuth,TE,27.0,"6' 5""",258 lbs,6,
PIT,Robert Tonyan,TE,32.0,"6' 5""",240 lbs,8,
