"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,WAS,2025-09-28,27,34,Sun,4,4,@,ATL,L 27-34,27,34,-7,61"
"2,TEN,2025-09-28,0,26,Sun,4,4,@,HOU,L 0-26,0,26,-26,26"
"3,TAM,2025-09-28,25,31,Sun,4,4,,PHI,L 25-31,25,31,-6,56"
"4,SFO,2025-09-28,21,26,Sun,4,4,,JAX,L 21-26,21,26,-5,47"
"5,SEA,2025-09-25,23,20,Thu,4,4,@,ARI,W 23-20,23,20,3,43"
"6,PIT,2025-09-28,24,21,Sun,4,4,,MIN,W 24-21,24,21,3,45"
"7,PHI,2025-09-28,31,25,Sun,4,4,@,TAM,W 31-25,31,25,6,56"
"8,NYJ,2025-09-29,21,27,Mon,4,4,@,MIA,L 21-27,21,27,-6,48"
"9,NYG,2025-09-28,21,18,Sun,4,4,,LAC,W 21-18,21,18,3,39"
"10,NWE,2025-09-28,42,13,Sun,4,4,,CAR,W 42-13,42,13,29,55"
"11,NOR,2025-09-28,19,31,Sun,4,4,@,BUF,L 19-31,19,31,-12,50"
"12,MIN,2025-09-28,21,24,Sun,4,4,@,PIT,L 21-24,21,24,-3,45"
"13,MIA,2025-09-29,27,21,Mon,4,4,,NYJ,W 27-21,27,21,6,48"
"14,LVR,2025-09-28,24,25,Sun,4,4,,CHI,L 24-25,24,25,-1,49"
"15,LAR,2025-09-28,27,20,Sun,4,4,,IND,W 27-20,27,20,7,47"
"16,LAC,2025-09-28,18,21,Sun,4,4,@,NYG,L 18-21,18,21,-3,39"
"17,KAN,2025-09-28,37,20,Sun,4,4,,BAL,W 37-20,37,20,17,57"
"18,JAX,2025-09-28,26,21,Sun,4,4,@,SFO,W 26-21,26,21,5,47"
"19,IND,2025-09-28,20,27,Sun,4,4,@,LAR,L 20-27,20,27,-7,47"
"20,HOU,2025-09-28,26,0,Sun,4,4,,TEN,W 26-0,26,0,26,26"
"21,GNB,2025-09-28,40,40,Sun,4,4,@,DAL,T 40-40 (OT),40,40,0,80"
"22,DET,2025-09-28,34,10,Sun,4,4,,CLE,W 34-10,34,10,24,44"
"23,DEN,2025-09-29,28,3,Mon,4,4,,CIN,W 28-3,28,3,25,31"
"24,DAL,2025-09-28,40,40,Sun,4,4,,GNB,T 40-40 (OT),40,40,0,80"
"25,CLE,2025-09-28,10,34,Sun,4,4,@,DET,L 10-34,10,34,-24,44"
"26,CIN,2025-09-29,3,28,Mon,4,4,@,DEN,L 3-28,3,28,-25,31"
"27,CHI,2025-09-28,25,24,Sun,4,4,@,LVR,W 25-24,25,24,1,49"
"28,CAR,2025-09-28,13,42,Sun,4,4,@,NWE,L 13-42,13,42,-29,55"
"29,BUF,2025-09-28,31,19,Sun,4,4,,NOR,W 31-19,31,19,12,50"
"30,BAL,2025-09-28,20,37,Sun,4,4,@,KAN,L 20-37,20,37,-17,57"
"31,ATL,2025-09-28,34,27,Sun,4,4,,WAS,W 34-27,34,27,7,61"
"32,ARI,2025-09-25,20,23,Thu,4,4,,SEA,L 20-23,20,23,-3,43"
