"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"108,Cooper Rush,43,20,0,0,Sun,5,5,2025-10-05,31-318,BAL,,HOU,L 10-44,14,20,6,70.0,179,0,3,0,0.0,15.0,58.1,1,16,4.76,9.0,2.20,1.33,12.8,47.6,0,0,,0,0,,0,0,0,,0,,,0,,43,100.0,0,0.0,0,0.0,QB,RushCo00"
"109,Khalil Shakir,43,0,1,9,Sun,5,5,2025-10-05,25-244,BUF,,NWE,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,5,5.0,0,0,0.0,9,6,45,7.5,0,66.7,5.0,3,44.4,43,63.2,0,0.0,4,16.0,WR,ShakKh00"
"110,Keon Coleman,42,0,0,7,Sun,5,5,2025-10-05,22-141,BUF,,NWE,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,23,5.8,1,57.1,3.3,3,42.9,42,61.8,0,0.0,0,0.0,WR,ColeKe02"
"111,Jalen Nailor,42,0,1,4,Sun,5,5,2025-10-05,26-217,MIN,@,CLE,W 21-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,15,15.0,0,1,100.0,4,3,27,9.0,0,75.0,6.8,2,75.0,42,64.6,0,0.0,0,0.0,WR,NailJa00"
"112,Chigoziem Okonkwo,42,0,0,5,Sun,5,5,2025-10-05,26-027,TEN,@,ARI,W 22-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,4,48,12.0,0,80.0,9.6,3,60.0,42,62.7,0,0.0,0,0.0,TE,OkonCh00"
"113,JuJu Smith-Schuster,42,0,0,3,Mon,5,5,2025-10-06,28-318,KAN,@,JAX,L 28-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,17,8.5,0,66.7,5.7,1,66.7,42,65.6,0,0.0,0,0.0,WR,SmitJu00"
"114,Davis Allen,41,0,0,2,Thu,5,5,2025-10-02,24-241,LAR,,SFO,L 23-26 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,24,12.0,0,100.0,12.0,2,100.0,41,60.3,0,0.0,13,44.8,TE,AlleDa02"
"115,Dalton Schultz,41,0,0,6,Sun,5,5,2025-10-05,29-086,HOU,@,BAL,W 44-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,60,12.0,0,83.3,10.0,4,83.3,41,58.6,0,0.0,0,0.0,TE,SchuDa00"
"116,Isaiah Bond,40,0,0,7,Sun,5,5,2025-10-05,21-204,CLE,,MIN,L 17-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,2,29,14.5,0,28.6,4.1,1,14.3,40,57.1,0,0.0,0,0.0,WR,BondIs00"
"117,Pat Bryant,40,0,0,0,Sun,5,5,2025-10-05,22-299,DEN,@,PHI,W 21-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,40,54.1,0,0.0,5,17.2,WR,BryaPa00"
"118,Nico Collins,40,0,1,5,Sun,5,5,2025-10-05,26-200,HOU,@,BAL,W 44-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,8,8.0,0,0,100.0,5,4,52,13.0,1,80.0,10.4,2,40.0,40,57.1,0,0.0,0,0.0,WR,CollNi00"
"119,Isiah Pacheco,40,0,7,3,Mon,5,5,2025-10-06,26-218,KAN,@,JAX,L 28-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,7,36,5.1,0,4,71.4,3,3,20,6.7,0,100.0,6.7,2,100.0,40,62.5,0,0.0,0,0.0,RB,PachIs00"
"120,Keenan Allen,39,0,0,9,Sun,5,5,2025-10-05,33-161,LAC,,WAS,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,5,58,11.6,0,55.6,6.4,3,33.3,39,58.2,0,0.0,0,0.0,WR,AlleKe00"
"121,Michael Carter,39,0,18,5,Sun,5,5,2025-10-05,26-151,ARI,,TEN,L 21-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,18,51,2.8,1,2,38.9,5,5,22,4.4,0,100.0,4.4,0,80.0,39,57.4,0,0.0,0,0.0,RB,CartMi03"
"122,J.K. Dobbins,39,0,20,1,Sun,5,5,2025-10-05,26-292,DEN,@,PHI,W 21-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,20,79,4.0,1,5,40.0,1,1,5,5.0,0,100.0,5.0,0,100.0,39,52.7,0,0.0,0,0.0,RB,DobbJK00"
"123,Omarion Hampton,39,0,12,6,Sun,5,5,2025-10-05,22-203,LAC,,WAS,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,12,44,3.7,0,2,50.0,6,6,26,4.3,0,100.0,4.3,1,66.7,39,58.2,0,0.0,0,0.0,RB,HampOm00"
"124,Jayden Higgins,39,0,0,4,Sun,5,5,2025-10-05,22-294,HOU,@,BAL,W 44-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,4,32,8.0,0,100.0,8.0,1,100.0,39,55.7,0,0.0,7,24.1,WR,HiggJa00"
"125,Travis Hunter,39,0,0,3,Mon,5,5,2025-10-06,22-141,JAX,,KAN,W 31-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,64,21.3,0,100.0,21.3,2,66.7,39,67.2,25,39.1,0,0.0,WR,HuntTr00"
"126,Quinshon Judkins,39,0,23,2,Sun,5,5,2025-10-05,21-341,CLE,,MIN,L 17-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,23,110,4.8,0,5,52.2,2,1,18,18.0,0,50.0,9.0,1,50.0,39,55.7,0,0.0,0,0.0,RB,JudkQu00"
"127,Nick Westbrook-Ikhine,39,0,0,0,Sun,5,5,2025-10-05,28-198,MIA,@,CAR,L 24-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,39,70.9,0,0.0,6,20.7,WR,WestNi00"
"128,Daniel Bellinger,38,0,0,4,Sun,5,5,2025-10-05,25-013,NYG,@,NOR,L 14-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,4,52,13.0,0,100.0,13.0,3,100.0,38,52.1,0,0.0,4,17.4,TE,BellDa00"
