"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,LAR,2025-12-07,45,17,Sun,13,14,@,ARI,W 45-17,45,17,28,62"
"2,DET,2025-12-04,44,30,Thu,13,14,,DAL,W 44-30,44,30,14,74"
"3,BUF,2025-12-07,39,34,Sun,13,14,,CIN,W 39-34,39,34,5,73"
"4,SEA,2025-12-07,37,9,Sun,13,14,@,ATL,W 37-9,37,9,28,46"
"5,JAX,2025-12-07,36,19,Sun,13,14,,IND,W 36-19,36,19,17,55"
"6,CIN,2025-12-07,34,39,Sun,13,14,@,BUF,L 34-39,34,39,-5,73"
"7,MIA,2025-12-07,34,10,Sun,13,14,@,NYJ,W 34-10,34,10,24,44"
"8,MIN,2025-12-07,31,0,Sun,13,14,,WAS,W 31-0,31,0,31,31"
"9,TEN,2025-12-07,31,29,Sun,13,14,@,CLE,W 31-29,31,29,2,60"
"10,DAL,2025-12-04,30,44,Thu,13,14,@,DET,L 30-44,30,44,-14,74"
"11,CLE,2025-12-07,29,31,Sun,13,14,,TEN,L 29-31,29,31,-2,60"
"12,GNB,2025-12-07,28,21,Sun,13,14,,CHI,W 28-21,28,21,7,49"
"13,PIT,2025-12-07,27,22,Sun,13,14,@,BAL,W 27-22,27,22,5,49"
"14,DEN,2025-12-07,24,17,Sun,13,14,@,LVR,W 24-17,24,17,7,41"
"15,NOR,2025-12-07,24,20,Sun,13,14,@,TAM,W 24-20,24,20,4,44"
"16,LAC,2025-12-08,22,19,Mon,13,14,,PHI,W 22-19 (OT),22,19,3,41"
"17,BAL,2025-12-07,22,27,Sun,13,14,,PIT,L 22-27,22,27,-5,49"
"18,CHI,2025-12-07,21,28,Sun,13,14,@,GNB,L 21-28,21,28,-7,49"
"19,HOU,2025-12-07,20,10,Sun,13,14,@,KAN,W 20-10,20,10,10,30"
"20,TAM,2025-12-07,20,24,Sun,13,14,,NOR,L 20-24,20,24,-4,44"
"21,PHI,2025-12-08,19,22,Mon,13,14,@,LAC,L 19-22 (OT),19,22,-3,41"
"22,IND,2025-12-07,19,36,Sun,13,14,@,JAX,L 19-36,19,36,-17,55"
"23,ARI,2025-12-07,17,45,Sun,13,14,,LAR,L 17-45,17,45,-28,62"
"24,LVR,2025-12-07,17,24,Sun,13,14,,DEN,L 17-24,17,24,-7,41"
"25,KAN,2025-12-07,10,20,Sun,13,14,,HOU,L 10-20,10,20,-10,30"
"26,NYJ,2025-12-07,10,34,Sun,13,14,,MIA,L 10-34,10,34,-24,44"
"27,ATL,2025-12-07,9,37,Sun,13,14,,SEA,L 9-37,9,37,-28,46"
"28,WAS,2025-12-07,0,31,Sun,13,14,@,MIN,L 0-31,0,31,-31,31"
