"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,WAS,2025-09-07,21,6,Sun,1,1,,NYG,W 21-6,21,6,15,27"
"2,TEN,2025-09-07,12,20,Sun,1,1,@,DEN,L 12-20,12,20,-8,32"
"3,TAM,2025-09-07,23,20,Sun,1,1,@,ATL,W 23-20,23,20,3,43"
"4,SFO,2025-09-07,17,13,Sun,1,1,@,SEA,W 17-13,17,13,4,30"
"5,SEA,2025-09-07,13,17,Sun,1,1,,SFO,L 13-17,13,17,-4,30"
"6,PIT,2025-09-07,34,32,Sun,1,1,@,NYJ,W 34-32,34,32,2,66"
"7,PHI,2025-09-04,24,20,Thu,1,1,,DAL,W 24-20,24,20,4,44"
"8,NYJ,2025-09-07,32,34,Sun,1,1,,PIT,L 32-34,32,34,-2,66"
"9,NYG,2025-09-07,6,21,Sun,1,1,@,WAS,L 6-21,6,21,-15,27"
"10,NWE,2025-09-07,13,20,Sun,1,1,,LVR,L 13-20,13,20,-7,33"
"11,NOR,2025-09-07,13,20,Sun,1,1,,ARI,L 13-20,13,20,-7,33"
"12,MIN,2025-09-08,27,24,Mon,1,1,@,CHI,W 27-24,27,24,3,51"
"13,MIA,2025-09-07,8,33,Sun,1,1,@,IND,L 8-33,8,33,-25,41"
"14,LVR,2025-09-07,20,13,Sun,1,1,@,NWE,W 20-13,20,13,7,33"
"15,LAR,2025-09-07,14,9,Sun,1,1,,HOU,W 14-9,14,9,5,23"
"16,LAC,2025-09-05,27,21,Fri,1,1,,KAN,W 27-21,27,21,6,48"
"17,KAN,2025-09-05,21,27,Fri,1,1,@,LAC,L 21-27,21,27,-6,48"
"18,JAX,2025-09-07,26,10,Sun,1,1,,CAR,W 26-10,26,10,16,36"
"19,IND,2025-09-07,33,8,Sun,1,1,,MIA,W 33-8,33,8,25,41"
"20,HOU,2025-09-07,9,14,Sun,1,1,@,LAR,L 9-14,9,14,-5,23"
"21,GNB,2025-09-07,27,13,Sun,1,1,,DET,W 27-13,27,13,14,40"
"22,DET,2025-09-07,13,27,Sun,1,1,@,GNB,L 13-27,13,27,-14,40"
"23,DEN,2025-09-07,20,12,Sun,1,1,,TEN,W 20-12,20,12,8,32"
"24,DAL,2025-09-04,20,24,Thu,1,1,@,PHI,L 20-24,20,24,-4,44"
"25,CLE,2025-09-07,16,17,Sun,1,1,,CIN,L 16-17,16,17,-1,33"
"26,CIN,2025-09-07,17,16,Sun,1,1,@,CLE,W 17-16,17,16,1,33"
"27,CHI,2025-09-08,24,27,Mon,1,1,,MIN,L 24-27,24,27,-3,51"
"28,CAR,2025-09-07,10,26,Sun,1,1,@,JAX,L 10-26,10,26,-16,36"
"29,BUF,2025-09-07,41,40,Sun,1,1,,BAL,W 41-40,41,40,1,81"
"30,BAL,2025-09-07,40,41,Sun,1,1,@,BUF,L 40-41,40,41,-1,81"
"31,ATL,2025-09-07,20,23,Sun,1,1,,TAM,L 20-23,20,23,-3,43"
"32,ARI,2025-09-07,20,13,Sun,1,1,@,NOR,W 20-13,20,13,7,33"
