"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Trevor Lawrence,80,34,9,0,Sun,8,9,2025-11-02,26-027,JAX,@,LVR,W 30-29 (OT),23,34,11,67.6,220,0,1,0,0.0,2.9,73.2,1,4,2.86,6.5,5.15,4.89,9.6,45.7,9,24,2.7,2,4,44.4,0,0,0,,0,,,0,,80,100.0,0,0.0,0,0.0,QB,LawrTr00"
"2,Rome Odunze,80,0,0,3,Sun,8,9,2025-11-02,23-152,CHI,@,CIN,W 47-42,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,0,0,,0,0.0,0.0,0,0.0,80,100.0,0,0.0,1,2.8,WR,OdunRo00"
"3,Matthew Stafford,80,32,4,0,Sun,8,9,2025-11-02,37-268,LAR,,NOR,W 34-10,24,32,8,75.0,281,4,0,0,12.5,0.0,140.8,2,14,5.88,8.8,11.28,10.21,11.7,64.7,4,-4,-1.0,0,0,0.0,0,0,0,,0,,,0,,80,100.0,0,0.0,0,0.0,QB,StafMa00"
"4,Caleb Williams,80,34,5,2,Sun,8,9,2025-11-02,23-349,CHI,@,CIN,W 47-42,20,34,14,58.8,280,3,0,0,8.8,0.0,114.8,2,9,5.56,8.2,10.00,9.19,14.0,44.4,5,53,10.6,0,2,100.0,2,2,22,11.0,1,100.0,11.0,2,100.0,80,100.0,0,0.0,0,0.0,QB,WillCa03"
"5,Daniel Jones,78,50,3,0,Sun,9,9,2025-11-02,28-159,IND,@,PIT,L 20-27,31,50,19,62.0,342,1,3,0,2.0,6.0,63.9,5,29,9.09,6.8,4.54,3.60,11.0,45.5,3,4,1.3,1,2,66.7,0,0,0,,0,,,0,,78,100.0,0,0.0,0,0.0,QB,JoneDa05"
"6,Alec Pierce,71,0,0,13,Sun,9,9,2025-11-02,25-184,IND,@,PIT,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,6,115,19.2,0,46.2,8.8,5,46.2,71,91.0,0,0.0,2,7.1,WR,PierAl00"
"7,Parker Washington,70,0,0,9,Sun,8,9,2025-11-02,23-226,JAX,@,LVR,W 30-29 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,8,90,11.3,0,88.9,10.0,4,77.8,70,87.5,0,0.0,1,4.0,WR,WashPa01"
"8,Michael Pittman Jr.,69,0,0,12,Sun,9,9,2025-11-02,28-028,IND,@,PIT,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,12,9,115,12.8,0,75.0,9.6,6,66.7,69,88.5,0,0.0,2,7.1,WR,PittMi01"
"9,Joe Flacco,68,47,1,0,Sun,9,9,2025-11-02,40-290,CIN,,CHI,L 42-47,31,47,16,66.0,470,4,2,0,8.5,4.3,109.4,3,21,6.00,10.0,9.79,8.78,15.2,54.0,1,-1,-1.0,0,0,0.0,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,FlacJo00"
"10,Drake Maye,68,29,8,0,Sun,9,9,2025-11-02,23-064,NWE,,ATL,W 24-23,19,29,10,65.5,259,2,1,0,6.9,3.4,102.5,6,38,17.14,8.9,8.76,6.17,13.6,48.6,8,20,2.5,0,2,25.0,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,MayeDr00"
"11,D.J. Moore,68,1,1,6,Sun,8,9,2025-11-02,28-202,CHI,@,CIN,W 47-42,1,1,0,100.0,2,1,0,0,100.0,0.0,118.7,0,0,0.00,2.0,22.00,22.00,2.0,100.0,1,17,17.0,1,1,100.0,6,4,72,18.0,0,66.7,12.0,4,66.7,68,85.0,0,0.0,1,2.8,WR,MoorD.00"
"12,Jacoby Brissett,67,31,5,0,Mon,8,9,2025-11-03,32-327,ARI,@,DAL,W 27-17,21,31,10,67.7,261,2,0,0,6.5,0.0,115.1,5,40,13.89,8.4,9.71,7.25,12.4,47.2,5,4,0.8,1,1,20.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,BrisJa00"
"13,Ja'Marr Chase,67,0,0,8,Sun,9,9,2025-11-02,25-246,CIN,,CHI,L 42-47,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,6,111,18.5,0,75.0,13.9,6,75.0,67,98.5,0,0.0,0,0.0,WR,ChasJa00"
"14,Dak Prescott,67,39,4,0,Mon,9,9,2025-11-03,32-097,DAL,,ARI,L 17-27,24,39,15,61.5,250,1,1,0,2.6,2.6,77.9,5,40,11.36,6.4,5.77,4.20,10.4,40.9,4,34,8.5,0,1,100.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,PresDa01"
"15,Josh Allen,66,26,6,0,Sun,8,9,2025-11-02,29-165,BUF,,KAN,W 28-21,23,26,3,88.5,273,1,0,0,3.8,0.0,123.2,3,10,10.34,10.5,11.27,9.76,11.9,62.1,6,19,3.2,2,4,83.3,0,0,0,,0,,,0,,66,100.0,0,0.0,0,0.0,QB,AlleJo02"
"16,Tyler Warren,66,0,0,7,Sun,9,9,2025-11-02,23-162,IND,@,PIT,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,26,5.2,0,71.4,3.7,1,42.9,66,84.6,0,0.0,0,0.0,TE,WarrTy00"
"17,Chase Brown,65,0,11,14,Sun,9,9,2025-11-02,25-226,CIN,,CHI,L 42-47,0,0,0,,0,0,0,0,,,,0,0,,,,,,,11,37,3.4,0,3,45.5,14,8,75,9.4,0,57.1,5.4,4,42.9,65,95.6,0,0.0,0,0.0,RB,BrowCh10"
"18,Justin Herbert,65,29,9,0,Sun,9,9,2025-11-02,27-237,LAC,@,TEN,W 27-20,19,29,10,65.5,250,2,1,0,6.9,3.4,101.2,6,38,17.14,8.6,8.45,5.91,13.2,54.3,9,57,6.3,1,6,88.9,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,HerbJu00"
"19,Mac Jones,65,24,4,0,Sun,9,9,2025-11-02,27-058,SFO,@,NYG,W 34-24,19,24,5,79.2,235,2,0,0,8.3,0.0,135.2,2,14,7.69,9.8,11.46,10.04,12.4,57.7,4,4,1.0,0,1,25.0,0,0,0,,0,,,0,,65,98.5,0,0.0,0,0.0,QB,JoneMa05"
"20,Colston Loveland,65,0,0,7,Sun,8,9,2025-11-02,21-207,CHI,@,CIN,W 47-42,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,6,118,19.7,2,85.7,16.9,4,57.1,65,81.3,0,0.0,1,2.8,TE,LoveCo00"
"21,Jordan Love,65,37,1,0,Sun,8,9,2025-11-02,27-000,GNB,,CAR,L 13-16,26,37,11,70.3,273,0,1,0,0.0,2.7,80.1,1,8,2.63,7.4,6.16,5.79,10.5,50.0,1,1,1.0,0,0,0.0,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,LoveJo03"
