Rank,Player,Team,Pos.,Age,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
50,Bryce Lance,NOR,WR,0,63.1,35.1,0,0.0,0.0,28,351,0.0,0,0,0.0
51,Bryce Young,CAR,QB,0,402.7,402.5199999999999,4533,42.0,7.0,0,0,0.0,19,112,7.0
52,Brycen Tremayne,CAR,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
53,Bucky Irving,TAM,RB,0,247.1,170.09999999999997,0,0.0,0.0,77,343,0.0,174,938,7.0
54,C.J. Stroud,HOU,QB,0,262.8,262.52,4393,14.0,0.0,0,0,0.0,33,308,0.0
55,CJ Donaldson,NOR,RB,0,9.8,2.8000000000000003,0,0.0,0.0,7,0,0.0,16,42,0.0
56,CJ Williams,JAX,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
57,Cade Otton,TAM,TE,0,100.8,44.800000000000004,0,0.0,0.0,56,448,0.0,0,0,0.0
58,Cade Stover,HOU,TE,0,5.6,-1.4000000000000001,0,0.0,0.0,7,0,0.0,0,0,0.0
59,Caleb Douglas,MIA,WR,0,129.4,79.4,0,0.0,0.0,50,794,0.0,0,0,0.0
60,Caleb Williams,CHI,QB,0,328.9,328.68,2847,14.0,7.0,0,0,0.0,105,748,14.0
61,Calvin Ridley,TEN,WR,0,38.2,24.199999999999996,0,0.0,0.0,14,242,0.0,0,0,0.0
62,Cam Skattebo,NYG,RB,0,165.4,137.40000000000003,0,0.0,0.0,28,135,0.0,210,819,7.0
63,Cam Ward,TEN,QB,0,222.2,222.16,2264,7.0,0.0,0,0,0.0,56,196,14.0
64,Cameron Latu,NWE,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
65,Carnell Tate,TEN,WR,0,94.9,45.9,0,0.0,0.0,49,459,0.0,0,0,0.0
66,Carsen Ryan,CLE,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
67,Carson Wentz,MIN,QB,0,164.1,164.37999999999997,1932,20.9,0.0,0,0,0.0,56,35,0.0
68,CeeDee Lamb,DAL,WR,0,355.7,263.70000000000005,0,0.0,0.0,92,1377,21.0,6,0,0.0
69,Charlie Kolar,LAC,TE,0,35.9,14.899999999999999,0,0.0,0.0,21,149,0.0,0,0,0.0
70,Charlie Woerner,ATL,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
71,Chase Brown,CIN,RB,0,210.0,154.0,0,0.0,0.0,56,168,0.0,252,952,7.0
72,Chig Okonkwo,WSH,TE,0,50.4,22.400000000000002,0,0.0,0.0,28,224,0.0,0,0,0.0
73,Chimere Dike,TEN,WR,0,13.0,4.999999999999999,0,0.0,0.0,8,50,0.0,0,0,0.0
74,Chris Bell,MIA,WR,0,20.5,17.5,0,0.0,0.0,3,175,0.0,0,0,0.0
75,Chris Blair,ATL,WR,0,13.2,4.199999999999999,0,0.0,0.0,9,42,0.0,0,0,0.0
76,Chris Brooks,GNB,RB,0,47.5,38.5,0,0.0,0.0,9,105,0.0,78,280,0.0
77,Chris Godwin,TAM,WR,0,122.0,71.0,0,0.0,0.0,51,602,0.0,14,108,0.0
78,Chris Manhertz,NYG,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
79,Chris Moore,BAL,WR,0,55.2,41.199999999999996,0,0.0,0.0,14,412,0.0,0,0,0.0
80,Chris Myarick,LVR,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
81,Chris Olave,NOR,WR,0,355.6,229.60000000000002,0,0.0,0.0,126,1876,7.0,0,0,0.0
82,Chris Rodriguez,JAX,RB,0,25.2,25.200000000000006,0,0.0,0.0,0,0,0.0,84,252,0.0
83,Christian McCaffrey,SFO,RB,0,254.8,191.79999999999998,0,0.0,0.0,63,441,0.0,140,637,14.0
84,Christian Watson,GNB,WR,0,328.4,258.4,0,0.0,0.0,70,1324,21.0,0,0,0.0
85,Chuba Hubbard,CAR,RB,0,265.6,231.59999999999997,0,0.0,0.0,34,342,14.0,154,714,7.0
86,Cody White,LVR,WR,0,114.8,100.80000000000003,0,0.0,0.0,14,168,14.0,0,0,0.0
87,Colbie Young,CIN,WR,0,12.8,4.8,0,0.0,0.0,8,48,0.0,0,0,0.0
88,Colby Parkinson,LAR,TE,0,42.8,14.799999999999999,0,0.0,0.0,28,148,0.0,0,0,0.0
89,Cole Kmet,CHI,TE,0,80.8,66.79999999999998,0,0.0,0.0,14,248,7.0,0,0,0.0
90,Colson Yankoff,WSH,TE,0,18.8,9.799999999999999,0,0.0,0.0,9,98,0.0,0,0,0.0
91,Colston Loveland,CHI,TE,0,12.3,2.3000000000000003,0,0.0,0.0,10,23,0.0,0,0,0.0
92,Connor Heyward,LVR,FB,0,1.4,1.4000000000000001,0,0.0,0.0,0,0,0.0,14,14,0.0
93,Cooper Kupp,SEA,WR,0,66.6,38.6,0,0.0,0.0,28,386,0.0,0,0,0.0
94,Cooper Rush,ATL,QB,0,106.4,106.08,1602,7.0,28.0,0,0,0.0,14,140,0.0
95,Corey Kiner,NWE,RB,0,7.7,7.699999999999998,0,0.0,0.0,0,0,0.0,56,77,0.0
96,Courtland Sutton,DEN,WR,0,60.2,25.200000000000006,0,0.0,0.0,35,252,0.0,0,0,0.0
97,Cyrus Allen,KAN,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
98,D'Andre Swift,CHI,RB,0,332.2,290.20000000000005,0,0.0,0.0,42,449,0.0,238,1181,21.2
99,D.J. Moore,BUF,WR,0,145.5,111.5,0,0.0,0.0,34,700,7.0,8,0,0.0
100,D.K. Metcalf,PIT,WR,0,102.9,46.89999999999999,0,0.0,0.0,56,469,0.0,0,0,0.0
101,DJ Herman,MIA,FB,0,21.6,12.600000000000003,0,0.0,0.0,9,126,0.0,0,0,0.0
102,Dak Prescott,DAL,QB,0,323.0,323.07999999999987,3177,42.0,7.0,0,0,0.0,42,280,0.0
103,Dallas Goedert,PHI,TE,0,176.0,141.0,0,0.0,0.0,35,570,14.0,0,0,0.0
