"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,CHI,2026-09-13,59,37,Sun,1,1,@,CAR,W 59-37,59,37,22,96"
"2,BAL,2026-09-13,41,23,Sun,1,1,@,IND,W 41-23,41,23,18,64"
"3,MIN,2026-09-13,39,22,Sun,1,1,,GNB,W 39-22,39,22,17,61"
"4,CAR,2026-09-13,37,59,Sun,1,1,,CHI,L 37-59,37,59,-22,96"
"5,BUF,2026-09-13,36,31,Sun,1,1,@,HOU,W 36-31,36,31,5,67"
"6,JAX,2026-09-13,34,10,Sun,1,1,,CLE,W 34-10,34,10,24,44"
"7,CIN,2026-09-13,33,27,Sun,1,1,,TAM,W 33-27,33,27,6,60"
"8,KAN,2026-09-14,31,10,Mon,1,1,,DEN,W 31-10,31,10,21,41"
"9,DET,2026-09-13,31,30,Sun,1,1,,NOR,W 31-30 (OT),31,30,1,61"
"10,HOU,2026-09-13,31,36,Sun,1,1,,BUF,L 31-36,31,36,-5,67"
"11,NOR,2026-09-13,30,31,Sun,1,1,@,DET,L 30-31 (OT),30,31,-1,61"
"12,NYG,2026-09-13,28,20,Sun,1,1,,DAL,W 28-20,28,20,8,48"
"13,LVR,2026-09-13,27,13,Sun,1,1,,MIA,W 27-13,27,13,14,40"
"14,TAM,2026-09-13,27,33,Sun,1,1,@,CIN,L 27-33,27,33,-6,60"
"15,SFO,2026-09-10,27,7,Thu,1,1,@,LAR,W 27-7,27,7,20,34"
"16,ARI,2026-09-13,26,14,Sun,1,1,@,LAC,W 26-14,26,14,12,40"
"17,PHI,2026-09-13,24,22,Sun,1,1,,WAS,W 24-22,24,22,2,46"
"18,IND,2026-09-13,23,41,Sun,1,1,,BAL,L 23-41,23,41,-18,64"
"19,NYJ,2026-09-13,23,10,Sun,1,1,@,TEN,W 23-10,23,10,13,33"
"20,GNB,2026-09-13,22,39,Sun,1,1,@,MIN,L 22-39,22,39,-17,61"
"21,WAS,2026-09-13,22,24,Sun,1,1,@,PHI,L 22-24,22,24,-2,46"
"22,DAL,2026-09-13,20,28,Sun,1,1,@,NYG,L 20-28,20,28,-8,48"
"23,PIT,2026-09-13,20,13,Sun,1,1,,ATL,W 20-13,20,13,7,33"
"24,LAC,2026-09-13,14,26,Sun,1,1,,ARI,L 14-26,14,26,-12,40"
"25,ATL,2026-09-13,13,20,Sun,1,1,@,PIT,L 13-20,13,20,-7,33"
"26,MIA,2026-09-13,13,27,Sun,1,1,@,LVR,L 13-27,13,27,-14,40"
"27,SEA,2026-09-09,13,10,Wed,1,1,,NWE,W 13-10,13,10,3,23"
"28,DEN,2026-09-14,10,31,Mon,1,1,@,KAN,L 10-31,10,31,-21,41"
"29,CLE,2026-09-13,10,34,Sun,1,1,@,JAX,L 10-34,10,34,-24,44"
"30,TEN,2026-09-13,10,23,Sun,1,1,,NYJ,L 10-23,10,23,-13,33"
"31,NWE,2026-09-09,10,13,Wed,1,1,@,SEA,L 10-13,10,13,-3,23"
"32,LAR,2026-09-10,7,27,Thu,1,1,,SFO,L 7-27,7,27,-20,34"
