"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Daniel Jones,77,26,7,0,Sun,10,10,2025-11-09,28-166,IND,,ATL,W 31-25 (OT),19,26,7,73.1,255,1,1,0,3.8,3.8,100.6,7,59,21.21,9.8,8.85,5.18,13.4,45.5,7,53,7.6,0,3,57.1,0,0,0,,0,,,0,,77,100.0,0,0.0,0,0.0,QB,JoneDa05"
"2,Davis Mills,75,45,3,0,Sun,9,10,2025-11-09,27-019,HOU,,JAX,W 36-29,27,45,18,60.0,292,2,1,0,4.4,2.2,84.7,2,10,4.26,6.5,6.38,5.89,10.8,53.2,3,20,6.7,1,1,33.3,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,MillDa02"
"3,Jacoby Brissett,73,44,4,0,Sun,9,10,2025-11-09,32-333,ARI,@,SEA,L 22-44,22,44,22,50.0,258,2,0,0,4.5,0.0,83.3,5,52,10.20,5.9,6.77,5.02,11.7,38.8,4,31,7.8,0,1,75.0,0,0,0,,0,,,0,,73,96.1,0,0.0,0,0.0,QB,BrisJa00"
"4,Dillon Gabriel,73,32,5,0,Sun,9,10,2025-11-09,24-316,CLE,@,NYJ,L 20-27,17,32,15,53.1,167,2,0,0,6.3,0.0,88.9,6,47,15.79,5.2,6.47,4.21,9.8,26.3,5,54,10.8,0,3,80.0,0,0,0,,0,,,0,,73,100.0,0,0.0,0,0.0,QB,GabrDi00"
"5,Justin Herbert,73,33,5,0,Sun,10,10,2025-11-09,27-244,LAC,,PIT,W 25-10,20,33,13,60.6,220,1,0,0,3.0,0.0,90.5,5,21,13.16,6.7,7.27,5.76,11.0,42.1,5,19,3.8,0,2,40.0,0,0,0,,0,,,0,,73,100.0,0,0.0,0,0.0,QB,HerbJu00"
"6,Alec Pierce,73,0,0,7,Sun,10,10,2025-11-09,25-191,IND,,ATL,W 31-25 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,84,21.0,1,57.1,12.0,4,57.1,73,94.8,0,0.0,0,0.0,WR,PierAl00"
"7,Wan'Dale Robinson,72,0,0,11,Sun,10,10,2025-11-09,24-308,NYG,@,CHI,L 20-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,6,62,10.3,0,54.5,5.6,4,45.5,72,98.6,0,0.0,0,0.0,WR,RobiWa01"
"8,Theo Johnson,71,0,0,8,Sun,10,10,2025-11-09,24-256,NYG,@,CHI,L 20-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,7,75,10.7,0,87.5,9.4,3,50.0,71,97.3,0,0.0,0,0.0,TE,JohnTh00"
"9,Lamar Jackson,70,29,9,0,Sun,9,10,2025-11-09,28-306,BAL,@,MIN,W 27-19,17,29,12,58.6,176,1,0,0,3.4,0.0,87.7,1,7,3.33,6.1,6.76,6.30,10.4,43.3,9,36,4.0,0,3,66.7,0,0,0,,0,,,0,,70,100.0,0,0.0,0,0.0,QB,JackLa00"
"10,Jerry Jeudy,70,0,0,12,Sun,9,10,2025-11-09,26-199,CLE,@,NYJ,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,12,6,78,13.0,1,50.0,6.5,5,41.7,70,95.9,0,0.0,0,0.0,WR,JeudJe00"
