Rk,Name,Age,Tm,OppQual,GS,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
29,Tyler Alexander*,31,TEX,7.4,0,1,1,0.5,2.45,6,0,0,0,0,0,11,8,3,3,1,5,0,7,0,0,0,45,1.182,6.5,0.8,4.1,5.7,1.4,redirect.fcgi?player=1&mlb_ID=641302
30,Jason Alexander,33,HOU,7.5,3,0,0,,6.35,3,3,0,0,0,0,5.2,8,4,4,2,3,0,3,0,0,0,27,1.941,12.7,3.2,4.8,4.8,1,redirect.fcgi?player=1&mlb_ID=669920
31,Peyton Alford*,28,SEA,6.1,0,1,0,1,5.79,9,0,2,0,0,0,4.2,7,3,3,0,2,0,5,0,0,0,23,1.929,13.5,0,3.9,9.6,2.5,redirect.fcgi?player=1&mlb_ID=688230
32,Kolby Allard*,28,CLE,6.9,1,0,0,,4.05,7,1,3,0,0,0,13.1,11,7,6,2,5,0,10,2,0,1,56,1.2,7.4,1.4,3.4,6.8,2,redirect.fcgi?player=1&mlb_ID=663465
33,Logan Allen*,27,CLE,8.4,4,0,2,0,18,4,4,0,0,0,0,10,25,20,20,4,8,0,9,0,0,0,60,3.3,22.5,3.6,7.2,8.1,1.13,redirect.fcgi?player=1&mlb_ID=671106
34,Jay Allmer,24,BOS,6.6,0,1,0,1,0,4,0,2,0,0,1,1.1,2,0,0,0,0,0,2,0,0,0,6,1.5,13.5,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=801829
35,Yency Almonte,32,LAD,6.8,0,0,0,,27,1,0,1,0,0,0,1,3,3,3,1,0,0,1,0,0,0,6,3,27,9,0,9,,redirect.fcgi?player=1&mlb_ID=622075
36,Dan Altavilla,33,MIN,7.7,0,0,1,0,5.4,5,0,0,0,0,0,5,3,3,3,1,3,0,3,0,0,0,20,1.2,5.4,1.8,5.4,5.4,1,redirect.fcgi?player=1&mlb_ID=656186
37,Nick Altermatt,26,CWS,8,0,0,0,,27,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,0,0,0,2,3,27,27,0,27,,redirect.fcgi?player=1&mlb_ID=805892
38,José Alvarado*,31,PHI,7.7,0,2,0,1,3,9,0,0,0,0,0,9,5,3,3,3,3,0,10,0,0,0,33,0.889,5,3,3,10,3.33,redirect.fcgi?player=1&mlb_ID=621237
39,Elvis Alvarado,27,ATH,8.4,0,0,1,0,0,3,0,0,0,0,0,3.1,4,1,0,0,3,0,2,0,0,0,16,2.1,10.8,0,8.1,5.4,0.67,redirect.fcgi?player=1&mlb_ID=665660
40,Andrew Alvarez*,27,WSH,7.5,2,0,1,0,2,3,2,0,0,0,0,9,5,2,2,1,5,0,11,1,0,2,38,1.111,5,1,5,11,2.2,redirect.fcgi?player=1&mlb_ID=674841
41,Adbert Alzolay,31,NYM,6.6,0,0,0,,4.5,2,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,1,9,1.5,13.5,0,0,4.5,,redirect.fcgi?player=1&mlb_ID=640470
42,Alex Amalfi,25,TOR,6.2,0,0,0,,10.8,1,0,0,0,0,0,1.2,3,2,2,0,1,0,1,0,0,0,9,2.4,16.2,0,5.4,5.4,1,redirect.fcgi?player=1&mlb_ID=806334
43,Shaun Anderson,31,LAA,7.1,0,1,1,0.5,5.27,9,0,4,0,0,1,13.2,17,8,8,4,3,0,13,1,0,0,60,1.463,11.2,2.6,2,8.6,4.33,redirect.fcgi?player=1&mlb_ID=641312
44,Nick Anderson,35,ATH,7.2,0,0,0,,4.35,10,0,1,0,0,0,10.1,10,6,5,2,4,0,11,0,0,0,44,1.355,8.7,1.7,3.5,9.6,2.75,redirect.fcgi?player=1&mlb_ID=623433
45,Kade Anderson*,21,SEA,8.2,3,1,1,0.5,6.43,3,3,0,0,0,0,7,7,5,5,1,3,0,9,0,0,0,30,1.429,9,1.3,3.9,11.6,3,redirect.fcgi?player=1&mlb_ID=807739
46,Jack Anderson,26,BOS,5.6,0,0,0,,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,2,18,0,0,0,,redirect.fcgi?player=1&mlb_ID=681252
47,Grant Anderson,29,MIL,7.8,0,0,1,0,2.45,7,0,0,0,0,0,7.1,3,3,2,1,5,0,3,2,0,0,32,1.091,3.7,1.2,6.1,3.7,0.6,redirect.fcgi?player=1&mlb_ID=681982
48,Drew Anderson,32,DET,7.5,1,2,0,1,0.69,6,1,1,0,0,0,13,9,1,1,0,5,0,17,0,0,0,51,1.077,6.2,0,3.5,11.8,3.4,redirect.fcgi?player=1&mlb_ID=623454
49,Casey Anderson,25,AZ,6.4,0,1,0,1,4.76,7,0,3,0,0,0,5.2,4,3,3,0,4,0,8,0,0,1,25,1.412,6.4,0,6.4,12.7,2,redirect.fcgi?player=1&mlb_ID=814783
50,Ben Anderson,28,TEX,5.6,0,0,0,,6.75,4,0,1,0,0,0,2.2,6,2,2,1,1,0,2,0,0,0,14,2.625,20.3,3.4,3.4,6.8,2,redirect.fcgi?player=1&mlb_ID=670391
51,Aidan Anderson,29,TEX,6.3,0,0,0,,1.5,7,0,2,0,0,1,6,4,1,1,1,2,0,6,1,0,0,25,1,6,1.5,3,9,3,redirect.fcgi?player=1&mlb_ID=689379
52,Tanner Andrews,30,TOR,5.2,0,0,0,,0,3,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,12,,redirect.fcgi?player=1&mlb_ID=681084
53,Roman Angelo,26,AZ,6.6,0,0,1,0,13.5,1,0,0,0,0,0,2,6,3,3,0,0,0,0,1,0,0,12,3,27,0,0,0,,redirect.fcgi?player=1&mlb_ID=809109
54,Tejay Antone,32,CIN,7.7,0,1,0,1,7.56,9,0,1,0,0,0,8.1,12,7,7,1,4,0,10,0,0,0,41,1.92,13,1.1,4.3,10.8,2.5,redirect.fcgi?player=1&mlb_ID=622088
55,Patricio Aquino,23,MIL,7.8,0,0,0,,9,2,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,6,3,9,0,18,0,0,redirect.fcgi?player=1&mlb_ID=699223
56,Michael Arias,24,NYY,5.5,0,0,0,,23.63,4,0,2,0,0,0,2.2,6,7,7,0,2,0,6,1,0,0,17,3,20.3,0,6.8,20.3,3,redirect.fcgi?player=1&mlb_ID=683522
57,Frankeli Arias*,23,CWS,6.6,0,0,1,0,27,2,0,1,0,0,0,1.1,2,4,4,1,1,0,2,1,0,0,8,2.25,13.5,6.8,6.8,13.5,2,redirect.fcgi?player=1&mlb_ID=802087
58,Shawn Armstrong,35,CLE,8,0,0,0,,2.45,7,0,1,0,0,0,7.1,6,4,2,1,4,0,10,0,0,0,30,1.364,7.4,1.2,4.9,12.3,2.5,redirect.fcgi?player=1&mlb_ID=542888
59,Jamie Arnold*,22,ATH,7.5,0,0,0,,3,2,0,0,0,0,0,3,3,1,1,1,2,0,4,1,0,1,14,1.667,9,3,6,12,2,redirect.fcgi?player=1&mlb_ID=701364
60,Spencer Arrighetti,26,HOU,7.2,0,0,1,0,6.75,3,0,0,0,0,0,8,5,6,6,2,5,0,12,1,0,0,34,1.25,5.6,2.3,5.6,13.5,2.4,redirect.fcgi?player=1&mlb_ID=681293
61,Aaron Ashby*,28,MIL,7.6,3,1,0,1,1.08,5,3,0,0,0,0,8.1,7,1,1,0,7,0,9,1,0,1,37,1.68,7.6,0,7.6,9.7,1.29,redirect.fcgi?player=1&mlb_ID=676879
62,Graham Ashcraft,28,CIN,7.8,0,0,0,,12.15,7,0,0,0,0,0,6.2,8,9,9,2,4,0,9,0,0,1,32,1.8,10.8,2.7,5.4,12.2,2.25,redirect.fcgi?player=1&mlb_ID=668933
63,Braxton Ashcraft,26,PIT,7.7,4,1,0,1,2.03,4,4,0,0,0,0,13.1,13,4,3,1,1,0,16,1,0,0,55,1.05,8.8,0.7,0.7,10.8,16,redirect.fcgi?player=1&mlb_ID=677952
64,Micah Ashman*,23,BAL,4.9,0,0,0,,13.5,1,0,0,0,0,0,0.2,4,1,1,0,0,0,0,0,0,0,6,6,54,0,0,0,,redirect.fcgi?player=1&mlb_ID=809840
65,Javier Assad,28,CHC,7.3,0,1,0,1,1.35,3,0,0,0,0,0,6.2,7,2,1,0,1,0,8,0,0,0,31,1.2,9.5,0,1.4,10.8,8,redirect.fcgi?player=1&mlb_ID=665871
66,Morris Austin,26,CWS,5.6,0,0,1,0,18,1,0,0,0,0,0,1,2,2,2,0,2,0,1,0,0,0,7,4,18,0,18,9,0.5,redirect.fcgi?player=1&mlb_ID=809459
67,Kelly Austin,25,NYY,7.9,0,0,0,,0,2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=675502
68,Channing Austin,24,NYM,4.6,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,6,3,9,0,18,0,0,redirect.fcgi?player=1&mlb_ID=694537
69,Pedro Avila,29,CLE,6.9,0,0,0,,3.24,6,0,2,0,0,0,8.1,10,4,3,1,1,0,4,0,0,0,34,1.32,10.8,1.1,1.1,4.3,4,redirect.fcgi?player=1&mlb_ID=658648
70,Luinder Avila,24,KC,5.7,0,0,1,0,2.25,2,0,1,0,0,1,4,5,1,1,1,2,0,4,0,0,0,19,1.75,11.3,2.3,4.5,9,2,redirect.fcgi?player=1&mlb_ID=679883
71,Lake Bachar,31,MIA,5.7,0,0,0,,2.35,7,0,0,0,0,0,7.2,6,5,2,0,6,0,13,0,0,4,36,1.565,7,0,7,15.3,2.17,redirect.fcgi?player=1&mlb_ID=669199
