Rk,Name,Age,Tm,OppQual,GS,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
371,Scott Effross,32,DET,7.4,0,0,2,0,13.5,3,0,0,0,0,0,2.2,6,4,4,0,5,0,0,0,0,0,18,4.125,20.3,0,16.9,0,0,redirect.fcgi?player=1&mlb_ID=664123
372,Zach Eflin,32,BAL,8,2,0,0,,0,2,2,0,0,0,0,7.1,2,0,0,0,1,0,10,0,0,0,25,0.409,2.5,0,1.2,12.3,10,redirect.fcgi?player=1&mlb_ID=621107
373,Brandon Eisert*,28,CWS,6.4,0,0,0,,3,8,0,2,0,0,0,9,9,3,3,2,2,0,12,0,0,0,36,1.222,9,2,2,12,6,redirect.fcgi?player=1&mlb_ID=685126
374,Josh Ekness,24,MIA,5.9,0,0,0,,4.09,9,0,2,0,0,1,11,7,5,5,1,3,0,16,0,0,0,43,0.909,5.7,0.8,2.5,13.1,5.33,redirect.fcgi?player=1&mlb_ID=694795
375,Bryce Elder,27,ATL,7.4,4,0,0,,4.73,4,4,0,0,0,0,13.1,12,7,7,0,5,0,12,1,0,2,53,1.275,8.1,0,3.4,8.1,2.4,redirect.fcgi?player=1&mlb_ID=693821
376,Magnus Ellerts,25,CLE,4.9,0,0,0,,3.86,3,0,3,0,0,1,2.1,1,1,1,1,0,0,4,0,0,0,8,0.429,3.9,3.9,0,15.4,,redirect.fcgi?player=1&mlb_ID=701884
377,Stevie Emanuels,27,ATH,7.9,0,0,0,,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,1,0,0,9,18,2,redirect.fcgi?player=1&mlb_ID=669434
378,Mason Englert,26,TB,7.6,1,0,0,,0,5,1,1,0,0,0,8.1,10,2,0,0,1,0,4,0,0,1,33,1.32,10.8,0,1.1,4.3,4,redirect.fcgi?player=1&mlb_ID=669438
379,Blayne Enlow,27,ATL,6.5,0,0,1,0,0,5,0,2,0,0,0,3.1,3,4,0,0,5,0,5,0,0,0,19,2.4,8.1,0,13.5,13.5,1,redirect.fcgi?player=1&mlb_ID=669416
380,Dietrich Enns*,35,BAL,7.8,0,1,0,1,9.39,8,0,1,0,0,1,7.2,10,8,8,2,7,0,11,0,0,1,39,2.217,11.7,2.3,8.2,12.9,1.57,redirect.fcgi?player=1&mlb_ID=608650
381,Nathan Eovaldi,36,TEX,7,5,1,1,0.5,3.26,5,5,0,0,0,0,19.1,20,7,7,3,3,0,16,0,0,0,79,1.19,9.3,1.4,1.4,7.4,5.33,redirect.fcgi?player=1&mlb_ID=543135
382,Lucas Erceg,31,KC,7.2,0,0,0,,1.5,6,0,0,0,0,0,6,8,4,1,0,2,0,5,0,0,0,29,1.667,12,0,3,7.5,2.5,redirect.fcgi?player=1&mlb_ID=668674
383,Jose Espada,29,BAL,6.4,0,1,0,1,0,4,0,1,0,0,0,4,1,2,0,0,1,0,4,0,0,1,15,0.5,2.3,0,2.3,9,4,redirect.fcgi?player=1&mlb_ID=664744
384,Daniel Espino,25,CLE,7,1,0,0,,0,2,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,7,0.5,4.5,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=682982
385,Jaydenn Estanista,24,PHI,7.6,0,0,0,,5.4,2,0,0,0,0,0,1.2,2,1,1,0,2,0,0,0,0,2,9,2.4,10.8,0,10.8,0,0,redirect.fcgi?player=1&mlb_ID=692838
386,Joey Estes,24,ATH,6.9,0,1,0,1,0,1,0,0,0,0,0,2.2,2,0,0,0,1,0,0,0,0,0,11,1.125,6.8,0,3.4,0,0,redirect.fcgi?player=1&mlb_ID=683155
387,Carlos Estévez,33,KC,8,0,0,0,,7.2,5,0,0,0,0,0,5,5,4,4,3,4,0,3,1,0,0,25,1.8,9,5.4,7.2,5.4,0.75,redirect.fcgi?player=1&mlb_ID=608032
388,Ricardo Estrada*,24,SF,6.8,0,0,0,,0,3,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=698962
389,Lazaro Estrada,27,TOR,6.8,1,2,0,1,4.76,6,1,1,0,0,1,11.1,13,6,6,3,2,0,4,0,0,0,45,1.324,10.3,2.4,1.6,3.2,2,redirect.fcgi?player=1&mlb_ID=681751
390,Jeremiah Estrada,27,SD,7.1,0,2,0,1,0,9,0,1,0,0,0,9.2,2,0,0,0,7,0,16,0,0,0,38,0.931,1.9,0,6.5,14.9,2.29,redirect.fcgi?player=1&mlb_ID=669093
391,Pete Fairbanks,32,MIA,6.9,0,0,0,,0,6,0,0,0,0,0,6,1,0,0,0,2,0,8,0,0,0,21,0.5,1.5,0,3,12,4,redirect.fcgi?player=1&mlb_ID=664126
392,Bailey Falter*,29,KC,7.6,3,0,1,0,5.59,4,3,0,0,0,0,9.2,13,6,6,1,1,0,8,0,0,1,41,1.448,12.1,0.9,0.9,7.4,8,redirect.fcgi?player=1&mlb_ID=663559
393,Greg Farone*,24,SF,6.5,0,1,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,7,0.5,4.5,0,0,9,,redirect.fcgi?player=1&mlb_ID=805661
394,Thomas Farr,27,CIN,7.9,0,0,0,,4.5,2,0,0,0,0,0,2,3,1,1,1,0,0,1,0,0,0,9,1.5,13.5,4.5,0,4.5,,redirect.fcgi?player=1&mlb_ID=686671
395,Mitch Farris*,25,LAA,6.6,1,0,1,0,18,3,1,1,0,0,1,6,12,12,12,1,2,0,8,1,0,1,32,2.333,18,1.5,3,12,4,redirect.fcgi?player=1&mlb_ID=815083
396,Calvin Faucher,30,MIA,7.6,0,1,0,1,1.8,5,0,1,0,0,1,5,3,1,1,0,2,0,5,0,0,1,18,1,5.4,0,3.6,9,2.5,redirect.fcgi?player=1&mlb_ID=676534
397,Erick Fedde,33,CWS,7.6,1,0,1,0,3.12,3,1,0,0,0,0,8.2,9,3,3,1,2,0,7,0,0,0,35,1.269,9.3,1,2.1,7.3,3.5,redirect.fcgi?player=1&mlb_ID=607200
398,Cade Feeney,24,BOS,6.9,0,0,0,,18,2,0,0,0,0,0,1,3,2,2,0,0,0,2,0,0,0,6,3,27,0,0,18,,redirect.fcgi?player=1&mlb_ID=814366
399,Drake Fellows,28,NYY,7,0,0,0,,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,6,3,9,0,18,0,0,redirect.fcgi?player=1&mlb_ID=666148
400,Ryan Feltner,29,COL,7.9,3,0,2,0,9.56,6,3,0,0,0,0,16,18,17,17,1,11,0,17,0,0,1,76,1.813,10.1,0.6,6.2,9.6,1.55,redirect.fcgi?player=1&mlb_ID=663372
401,Tyler Ferguson,32,ATH,7.3,0,0,1,0,6,6,0,0,0,0,0,6,9,4,4,1,2,0,6,2,1,0,27,1.833,13.5,1.5,3,9,3,redirect.fcgi?player=1&mlb_ID=621053
402,Caleb Ferguson*,29,CIN,8.1,0,0,1,0,27,2,0,0,0,0,0,1.2,6,5,5,0,3,0,1,0,0,0,13,5.4,32.4,0,16.2,5.4,0.33,redirect.fcgi?player=1&mlb_ID=657571
403,José Fermin,24,LAA,6.4,0,1,0,1,12.27,4,0,1,0,0,0,3.2,4,5,5,1,4,0,6,0,0,0,19,2.182,9.8,2.5,9.8,14.7,1.5,redirect.fcgi?player=1&mlb_ID=820862
404,Ryan Fernandez,28,STL,6.6,0,0,1,0,12,7,0,1,0,0,1,6,6,8,8,1,5,0,7,0,0,1,29,1.833,9,1.5,7.5,10.5,1.4,redirect.fcgi?player=1&mlb_ID=681676
405,Junior Fernández,29,AZ,6.5,0,0,0,,21,4,0,1,0,0,1,3,11,7,7,1,3,0,0,0,0,1,22,4.667,33,3,9,0,0,redirect.fcgi?player=1&mlb_ID=658551
406,Julian Fernández,30,WSH,7,0,0,0,,9,6,0,0,0,0,0,5,5,5,5,0,3,0,5,0,0,1,24,1.6,9,0,5.4,9,1.67,redirect.fcgi?player=1&mlb_ID=642759
407,Jose A. Ferrer*,26,SEA,6.8,0,0,1,0,9.39,9,0,0,0,0,0,7.2,8,8,8,2,4,0,13,2,0,1,37,1.565,9.4,2.3,4.7,15.3,3.25,redirect.fcgi?player=1&mlb_ID=678606
408,Jackson Ferris*,22,LAD,8.6,2,0,0,,0,2,2,0,0,0,0,2.2,2,0,0,0,2,0,1,1,0,0,13,1.5,6.8,0,6.8,3.4,0.5,redirect.fcgi?player=1&mlb_ID=701328
409,Matt Festa,33,CLE,7.4,0,1,0,1,6.75,5,0,0,0,0,0,5.1,8,4,4,1,1,0,4,1,0,0,26,1.688,13.5,1.7,1.7,6.8,4,redirect.fcgi?player=1&mlb_ID=670036
410,Colin Fields,26,DET,6,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,1,0,1,0,0,0,2,3,0,0,27,27,1,redirect.fcgi?player=1&mlb_ID=802953
411,Dilan Figueredo,23,LAD,7.1,0,0,0,,13.5,1,0,0,0,0,0,0.2,2,1,1,0,1,0,2,0,0,0,5,4.5,27,0,13.5,27,2,redirect.fcgi?player=1&mlb_ID=700310
412,Dylan File,30,DET,5.5,0,0,0,,18,1,0,0,0,0,0,1,2,2,2,1,0,0,1,0,0,0,5,2,18,9,0,9,,redirect.fcgi?player=1&mlb_ID=668766
413,Kyle Finnegan,34,DET,7.2,0,0,0,,3.6,6,0,0,0,0,0,5,2,2,2,1,2,0,6,0,0,0,19,0.8,3.6,1.8,3.6,10.8,3,redirect.fcgi?player=1&mlb_ID=640448
414,Braydon Fisher,25,TOR,7.6,0,0,0,,1.35,7,0,2,0,0,0,6.2,4,1,1,1,2,0,9,0,0,0,27,0.9,5.4,1.4,2.7,12.2,4.5,redirect.fcgi?player=1&mlb_ID=680755
415,Richard Fitts,26,STL,7.7,3,2,1,0.667,5.79,3,3,0,0,0,0,9.1,9,6,6,1,3,0,9,0,0,0,39,1.286,8.7,1,2.9,8.7,3,redirect.fcgi?player=1&mlb_ID=690916
416,Brian Fitzpatrick*,26,MIL,6.3,0,1,0,1,0,6,0,2,0,0,0,6,2,0,0,0,1,0,7,0,1,0,22,0.5,3,0,1.5,10.5,7,redirect.fcgi?player=1&mlb_ID=702153
417,Jack Flaherty,30,DET,7.5,4,1,0,1,7.82,4,4,0,0,0,0,12.2,14,11,11,4,3,0,14,0,0,0,53,1.342,9.9,2.8,2.1,9.9,4.67,redirect.fcgi?player=1&mlb_ID=656427
418,Josh Fleming*,30,TOR,6.5,1,1,1,0.5,4.5,7,1,3,0,0,0,8,9,4,4,1,3,0,7,0,0,0,32,1.5,10.1,1.1,3.4,7.9,2.33,redirect.fcgi?player=1&mlb_ID=676596
419,Stu Flesland*,25,COL,6.2,0,0,1,0,6.75,3,0,1,0,0,0,1.1,2,1,1,0,0,0,0,0,0,0,5,1.5,13.5,0,0,0,,redirect.fcgi?player=1&mlb_ID=687317
420,Junior Flores,24,PIT,7.8,0,0,0,,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,2,9,0,9,0,0,redirect.fcgi?player=1&mlb_ID=695946
421,Jesus Flores,21,MIL,5.2,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=808222
422,Anthony Flores*,21,MIL,4.5,0,0,0,,0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,,redirect.fcgi?player=1&mlb_ID=800260
423,Taylor Floyd,28,CIN,9,0,0,0,,9,1,0,1,0,0,0,1,2,1,1,0,1,0,1,0,0,0,6,3,18,0,9,9,1,redirect.fcgi?player=1&mlb_ID=687905
424,Mason Fluharty*,24,TOR,7.4,0,0,0,,1.35,6,0,1,0,0,0,6.2,5,1,1,0,0,0,10,0,0,0,25,0.75,6.8,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=689254
425,Michael Flynn,29,SD,6.5,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,2,0,0,1,0,1,4,6,0,0,54,0,0,redirect.fcgi?player=1&mlb_ID=663901
426,Peyton Fosher,23,MIA,5.4,0,0,0,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,redirect.fcgi?player=1&mlb_ID=833439
427,Cameron Foster,27,BAL,7.1,0,0,0,,0,5,0,0,0,0,0,5,2,0,0,0,2,0,5,0,0,0,19,0.8,3.6,0,3.6,9,2.5,redirect.fcgi?player=1&mlb_ID=671382
428,Luke Fox*,24,LAD,7.4,0,0,0,,21.6,2,0,0,0,0,0,1.2,2,4,4,0,3,0,4,0,0,0,10,3,10.8,0,16.2,21.6,1.33,redirect.fcgi?player=1&mlb_ID=803183
429,J.P. France,31,HOU,7.3,1,0,1,0,3.86,5,1,0,0,0,0,11.2,8,5,5,1,3,0,13,0,0,1,46,0.943,6.2,0.8,2.3,10,4.33,redirect.fcgi?player=1&mlb_ID=641585
430,Sadrac Franco,26,SD,7.5,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=677614
431,Jose Franco,25,CIN,7.4,2,0,0,,3.86,3,2,1,0,0,0,4.2,5,2,2,0,1,0,8,1,0,1,22,1.286,9.6,0,1.9,15.4,8,redirect.fcgi?player=1&mlb_ID=683742
432,Zach Franklin,27,CWS,6.4,0,0,1,0,2.7,4,0,2,0,0,1,3.1,3,1,1,1,2,0,4,0,0,0,14,1.5,8.1,2.7,5.4,10.8,2,redirect.fcgi?player=1&mlb_ID=702103
433,Kyle Freeland*,33,COL,8,3,0,1,0,1,3,3,0,0,0,0,9,8,1,1,1,4,0,8,0,0,0,37,1.333,8,1,4,8,2,redirect.fcgi?player=1&mlb_ID=607536
434,Riley Frey*,24,ATL,6.8,0,0,0,,0,3,0,1,0,0,0,2,1,0,0,0,1,0,4,0,0,0,8,1,4.5,0,4.5,18,4,redirect.fcgi?player=1&mlb_ID=811319
435,Max Fried*,32,NYY,7,3,0,0,,4.4,3,3,0,0,0,0,14.1,12,7,7,2,4,0,12,0,0,0,57,1.116,7.5,1.3,2.5,7.5,3,redirect.fcgi?player=1&mlb_ID=608331
436,Didier Fuentes,21,ATL,7.7,2,3,0,1,0.66,4,2,1,0,0,0,13.2,2,1,1,0,1,0,18,1,0,0,43,0.22,1.3,0,0.7,11.9,18,redirect.fcgi?player=1&mlb_ID=800311
437,Michael Fulmer,33,SF,6.4,0,0,1,0,4.35,8,0,0,0,0,0,10.1,4,6,5,3,4,0,16,1,0,0,41,0.774,3.5,2.6,3.5,13.9,4,redirect.fcgi?player=1&mlb_ID=605242
438,Carson Fulmer,32,PIT,7.8,1,0,1,0,2.57,3,1,2,0,0,2,7,4,2,2,2,0,0,4,0,0,0,23,0.571,5.1,2.6,0,5.1,,redirect.fcgi?player=1&mlb_ID=608334
439,Dax Fulton*,24,MIA,7.5,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,5,2,0,0,18,0,0,redirect.fcgi?player=1&mlb_ID=690978
440,Kody Funderburk*,29,MIN,7.4,1,1,0,1,1.04,7,1,1,0,0,0,8.2,12,1,1,0,2,0,9,0,0,0,40,1.615,12.5,0,2.1,9.3,4.5,redirect.fcgi?player=1&mlb_ID=681892
441,Hunter Gaddis,28,CLE,9.1,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,,redirect.fcgi?player=1&mlb_ID=683769
442,Matt Gage*,33,SF,7.9,0,0,0,,2.84,7,0,0,0,0,0,6.1,3,2,2,1,0,0,9,0,0,0,22,0.474,4.3,1.4,0,12.8,,redirect.fcgi?player=1&mlb_ID=657424
443,Pat Gallagher,26,TOR,7.7,0,0,0,,27,2,0,0,0,0,0,1,4,3,3,0,1,0,0,0,0,0,9,5,36,0,9,0,0,redirect.fcgi?player=1&mlb_ID=693483
444,Isaac Gallegos,23,ATL,6,0,0,0,,6,3,0,2,0,0,0,3,4,3,2,0,2,0,3,0,0,0,15,2,12,0,6,9,1.5,redirect.fcgi?player=1&mlb_ID=814541
445,Zac Gallen,30,AZ,8,4,0,0,,7.59,4,4,0,0,0,0,10.2,17,9,9,4,2,0,6,1,0,0,49,1.781,14.3,3.4,1.7,5.1,3,redirect.fcgi?player=1&mlb_ID=668678
446,Alec Gamboa*,29,BOS,6.2,0,0,0,,13.5,2,0,0,0,0,0,2,5,3,3,0,1,0,2,0,0,0,12,3,22.5,0,4.5,9,2,redirect.fcgi?player=1&mlb_ID=687941
447,Saul García,23,NYM,7.9,0,1,0,1,10.13,3,0,0,0,0,0,2.2,3,3,3,1,2,0,3,0,0,1,13,1.875,10.1,3.4,6.8,10.1,1.5,redirect.fcgi?player=1&mlb_ID=702903
448,Sam Garcia*,24,MIL,6.8,0,0,0,,9,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,5,2,9,9,9,9,1,redirect.fcgi?player=1&mlb_ID=822760
449,Robert Garcia*,30,TEX,8.8,0,0,0,,4.5,6,0,0,0,0,0,6,4,4,3,1,0,0,9,0,0,0,23,0.667,6,1.5,0,13.5,,redirect.fcgi?player=1&mlb_ID=676395
450,Rico Garcia,32,BAL,7.3,0,0,0,,0,6,0,0,0,0,0,5.2,0,0,0,0,1,0,7,0,0,0,18,0.176,0,0,1.6,11.1,7,redirect.fcgi?player=1&mlb_ID=670329
451,Pedro Garcia,24,DET,8,0,0,0,,0,1,0,0,0,0,0,0.1,1,0,0,0,1,0,1,0,0,0,3,6,27,0,27,27,1,redirect.fcgi?player=1&mlb_ID=801221
452,Luis García,39,NYM,6.9,0,0,0,,0,5,0,0,0,0,0,5,1,1,0,0,1,0,3,0,0,0,18,0.4,1.8,0,1.8,5.4,3,redirect.fcgi?player=1&mlb_ID=472610
453,Leonard Garcia*,22,LAA,7.4,0,0,0,,0,2,0,1,0,0,0,0.2,1,0,0,0,1,0,1,1,0,0,5,3,13.5,0,13.5,13.5,1,redirect.fcgi?player=1&mlb_ID=692623
454,Julian Garcia,31,CIN,7.3,0,0,0,,3.38,4,0,1,0,0,1,2.2,5,1,1,0,0,0,6,0,0,0,12,1.875,16.9,0,0,20.3,,redirect.fcgi?player=1&mlb_ID=670062
455,Davian Garcia,22,WSH,5.7,0,0,0,,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,6,0.5,4.5,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=807485
456,Brandyn Garcia*,26,AZ,7.1,0,0,1,0,11.37,9,0,1,0,0,0,6.1,5,11,8,0,7,0,7,4,0,0,36,1.895,7.1,0,9.9,9.9,1,redirect.fcgi?player=1&mlb_ID=805299
457,Nate Garkow,28,TOR,7.1,0,0,0,,13.5,3,0,1,0,0,0,4,6,6,6,2,3,0,2,0,0,0,21,2.25,13.5,4.5,6.8,4.5,0.67,redirect.fcgi?player=1&mlb_ID=828353
458,Jake Garland,25,ATH,6.6,0,0,0,,0,2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=687195
459,Tristan Garnett*,28,PHI,7.3,0,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,0,2,0,0,0,0,0,7,2.25,6.8,0,13.5,0,0,redirect.fcgi?player=1&mlb_ID=702911
460,Braxton Garrett*,28,MIA,7.3,2,0,0,,6.75,2,2,0,0,0,0,4,2,3,3,0,3,0,3,0,0,0,18,1.25,4.5,0,6.8,6.8,1,redirect.fcgi?player=1&mlb_ID=666129
461,Robert Gasser*,27,MIL,7.8,4,1,1,0.5,5.11,4,4,0,0,0,0,12.1,14,7,7,3,4,0,14,1,0,0,53,1.459,10.2,2.2,2.9,10.2,3.5,redirect.fcgi?player=1&mlb_ID=688107
462,Luis Gastelum,24,STL,6.2,0,0,0,,0,4,0,3,0,0,2,4,0,0,0,0,1,0,6,0,0,0,13,0.25,0,0,2.3,13.5,6,redirect.fcgi?player=1&mlb_ID=703725
463,Sandy Gaston,24,WSH,7.8,0,0,0,,13.5,4,0,0,0,0,0,2,1,3,3,0,6,0,3,0,0,0,13,3.5,4.5,0,27,13.5,0.5,redirect.fcgi?player=1&mlb_ID=682624
464,Evan Gates,28,PHI,6.8,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=688753
465,Kevin Gausman,35,TOR,7.8,3,1,1,0.5,2.89,3,3,0,0,0,0,9.1,10,4,3,1,4,0,8,0,0,0,43,1.5,9.6,1,3.9,7.7,2,redirect.fcgi?player=1&mlb_ID=592332
466,Jordan Geber,26,NYM,6.9,0,0,0,,6.75,3,0,1,0,0,0,4,4,3,3,0,1,0,4,0,0,0,16,1.25,9,0,2.3,9,4,redirect.fcgi?player=1&mlb_ID=802363
467,Joey Gerber,29,NYM,6.3,0,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=680702
468,Nestor German,24,BAL,6.2,0,1,1,0.5,8.44,2,0,0,0,0,0,5.1,5,5,5,3,3,0,7,0,0,1,24,1.5,8.4,5.1,5.1,11.8,2.33,redirect.fcgi?player=1&mlb_ID=815148
469,Paul Gervase,26,LAD,8,0,0,0,,2.89,8,0,0,0,0,0,9.1,7,3,3,1,1,0,11,1,0,0,37,0.857,6.8,1,1,10.6,11,redirect.fcgi?player=1&mlb_ID=801434
470,Trey Gibson,24,BAL,6.4,1,0,0,,4.66,3,1,1,0,0,1,9.2,6,5,5,3,3,0,6,0,0,0,38,0.931,5.6,2.8,2.8,5.6,2,redirect.fcgi?player=1&mlb_ID=694346
471,Cade Gibson*,28,MIA,6.7,1,0,0,,6.48,7,1,0,0,0,0,8.1,10,6,6,1,4,0,11,1,0,0,39,1.68,10.8,1.1,4.3,11.9,2.75,redirect.fcgi?player=1&mlb_ID=806188
472,Spencer Giesting*,24,AZ,6.6,0,0,0,,12.6,6,0,3,0,0,2,5,8,7,7,3,2,0,9,1,0,0,26,2,14.4,5.4,3.6,16.2,4.5,redirect.fcgi?player=1&mlb_ID=801517
473,Luis Gil,28,NYY,7.9,6,2,1,0.667,4.66,6,6,0,0,0,0,19.1,20,11,10,6,5,0,24,0,1,0,81,1.293,9.3,2.8,2.3,11.2,4.8,redirect.fcgi?player=1&mlb_ID=661563
474,Tyler Gilbert*,32,CWS,6.3,0,0,1,0,3.86,7,0,2,0,0,1,7,6,3,3,1,1,0,8,0,1,1,28,1,7.7,1.3,1.3,10.3,8,redirect.fcgi?player=1&mlb_ID=656457
475,Logan Gilbert,29,SEA,7.8,4,0,1,0,2.38,4,4,0,0,0,0,11.1,11,3,3,1,6,0,12,2,0,0,52,1.5,8.7,0.8,4.8,9.5,2,redirect.fcgi?player=1&mlb_ID=669302
476,Geoffrey Gilbert*,25,NYY,6.1,0,0,0,,6.75,3,0,2,0,0,0,2.2,4,2,2,0,0,0,3,0,0,0,12,1.5,13.5,0,0,10.1,,redirect.fcgi?player=1&mlb_ID=687280
477,Logan Gillaspie,29,SD,7.3,1,1,0,1,6.43,5,1,2,0,0,0,14,18,10,10,5,8,0,12,0,0,0,68,1.857,11.6,3.2,5.1,7.7,1.5,redirect.fcgi?player=1&mlb_ID=670810
478,Tanner Gillis,25,MIL,6.5,0,0,0,,63,2,0,0,0,0,0,1,5,7,7,1,4,0,0,1,0,0,13,9,45,9,36,0,0,redirect.fcgi?player=1&mlb_ID=828705
479,Kevin Ginkel,32,AZ,7.3,0,0,0,,8.59,9,0,0,0,0,0,7.1,15,9,7,2,1,0,7,0,0,0,40,2.182,18.4,2.5,1.2,8.6,7,redirect.fcgi?player=1&mlb_ID=656464
480,J.T. Ginn,27,ATH,7.8,4,1,4,0.2,10.2,6,4,0,0,0,0,15,18,17,17,3,7,0,17,4,0,1,70,1.667,10.8,1.8,4.2,10.2,2.43,redirect.fcgi?player=1&mlb_ID=669372
481,Tyler Glasnow,32,LAD,7.6,4,2,0,1,3.45,4,4,0,0,0,0,15.2,9,6,6,2,3,0,26,0,0,0,59,0.766,5.2,1.1,1.7,14.9,8.67,redirect.fcgi?player=1&mlb_ID=607192
482,Joe Glassey,24,BAL,7.7,0,0,0,,6.75,3,0,0,0,0,0,1.1,2,1,1,0,2,0,1,0,1,0,8,3,13.5,0,13.5,6.8,0.5,redirect.fcgi?player=1&mlb_ID=812521
483,Woo-Suk Go,27,DET,7.7,0,0,0,,54,1,0,1,0,0,0,0.2,4,4,4,2,0,0,1,0,0,0,6,6,54,27,0,13.5,,redirect.fcgi?player=1&mlb_ID=808970
484,Austin Gomber*,32,TEX,7.9,3,0,2,0,5.84,4,3,0,0,0,0,12.1,15,8,8,5,6,0,8,0,0,0,56,1.703,10.9,3.6,4.4,5.8,1.33,redirect.fcgi?player=1&mlb_ID=596295
485,Yorman Gómez,23,CLE,6.8,0,0,0,,10.8,2,0,0,0,0,0,3.1,5,4,4,1,4,0,1,0,0,0,16,2.7,13.5,2.7,10.8,2.7,0.25,redirect.fcgi?player=1&mlb_ID=691414
486,Yoendrys Gómez,26,TB,7,0,0,1,0,4,8,0,3,0,0,0,9,7,5,4,2,5,0,9,2,0,1,41,1.333,7,2,5,9,1.8,redirect.fcgi?player=1&mlb_ID=672782
487,Ofreidy Gómez,30,NYM,6.7,0,0,0,,0,3,0,1,0,0,0,2.2,1,0,0,0,2,0,3,0,0,1,11,1.125,3.4,0,6.8,10.1,1.5,redirect.fcgi?player=1&mlb_ID=628709
488,Cristofer Gomez,23,NYM,6.8,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=805684
489,Sebastian Gongora*,24,BAL,7.1,0,0,0,,0,1,0,0,0,0,0,1.2,1,0,0,0,4,0,2,0,0,0,10,3,5.4,0,21.6,10.8,0.5,redirect.fcgi?player=1&mlb_ID=807792
490,Marco Gonzales*,34,SD,8,3,0,3,0,10.8,5,3,0,0,0,0,13.1,25,17,16,1,9,0,13,2,0,0,74,2.55,16.9,0.7,6.1,8.8,1.44,redirect.fcgi?player=1&mlb_ID=594835
491,Wikelman González,24,CWS,8,0,0,0,,8.1,4,0,0,0,0,0,3.1,5,3,3,1,6,0,4,0,0,0,19,3.3,13.5,2.7,16.2,10.8,0.67,redirect.fcgi?player=1&mlb_ID=682790
492,Jose Gonzalez,24,LAA,6.5,0,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,1,9,0,0,9,,redirect.fcgi?player=1&mlb_ID=683681
493,James Gonzalez*,25,ATH,6.5,0,0,0,,3,3,0,2,0,0,0,3,3,1,1,1,3,0,4,0,0,0,14,2,9,3,9,12,1.33,redirect.fcgi?player=1&mlb_ID=686857
494,Domingo González,26,SEA,7.2,0,0,0,,2.25,4,0,2,0,0,1,4,2,1,1,0,1,0,4,0,0,1,15,0.75,4.5,0,2.3,9,4,redirect.fcgi?player=1&mlb_ID=682445
495,Tanner Gordon,28,COL,8.1,3,1,0,1,1.64,4,3,0,0,0,0,11,8,2,2,1,2,0,12,0,1,0,43,0.909,6.5,0.8,1.6,9.8,6,redirect.fcgi?player=1&mlb_ID=685299
496,Colton Gordon*,27,HOU,7.9,2,1,0,1,1.69,3,2,0,0,0,0,5.1,4,1,1,1,3,0,2,0,0,0,21,1.313,6.8,1.7,5.1,3.4,0.67,redirect.fcgi?player=1&mlb_ID=676467
