"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Tyler Shough,90,56,4,0,Sun,1,1,2026-09-13,26-350,NOR,@,DET,L 30-31 (OT),35,56,21,62.5,410,3,2,0,5.4,3.6,87.6,5,32,8.20,7.3,6.8,5.7,11.7,44.3,4,8,2.0,0,1,50.0,0,0,0,,0,,,0,,90,100.0,0,0.0,0,0.0,QB,ShouTy00"
"2,Devaughn Vele,82,0,0,9,Sun,1,1,2026-09-13,28-275,NOR,@,DET,L 30-31 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,7,69,9.9,1,77.8,7.7,3,55.6,82,91.1,0,0.0,0,0.0,WR,VeleDe00"
"3,C.J. Stroud,79,38,2,0,Sun,1,1,2026-09-13,24-345,HOU,,BUF,L 31-36,26,38,12,68.4,274,2,0,0,5.3,0.0,106.7,3,17,7.32,7.2,8.3,7.2,10.5,48.8,2,15,7.5,0,1,50.0,0,0,0,,0,,,0,,79,100.0,0,0.0,0,0.0,QB,StroCJ00"
"4,Jared Goff,77,39,2,0,Sun,1,1,2026-09-13,31-334,DET,,NOR,W 31-30 (OT),26,39,13,66.7,206,2,0,0,5.1,0.0,96.7,1,2,2.50,5.3,6.3,6.1,7.9,50.0,2,2,1.0,0,0,0.0,0,0,0,,0,,,0,,77,100.0,0,0.0,0,0.0,QB,GoffJa00"
"5,Chris Olave,77,0,0,13,Sun,1,1,2026-09-13,26-078,NOR,@,DET,L 30-31 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,10,182,18.2,0,76.9,14.0,7,69.2,77,85.6,0,0.0,0,0.0,WR,OlavCh00"
"6,Juwan Johnson,76,0,0,7,Sun,1,1,2026-09-13,30-000,NOR,@,DET,L 30-31 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,3,54,18.0,1,42.9,7.7,3,42.9,76,84.4,0,0.0,4,11.8,TE,JohnJu02"
"7,Jacoby Brissett,75,37,6,0,Sun,1,1,2026-09-13,33-276,ARI,@,LAC,W 26-14,27,37,10,73.0,277,1,0,0,2.7,0.0,103.1,1,0,2.63,7.5,8.0,7.8,10.3,55.3,6,14,2.3,0,3,50.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,BrisJa00"
"8,Caleb Williams,75,29,10,0,Sun,1,1,2026-09-13,24-299,CHI,@,CAR,W 59-37,21,29,8,72.4,269,2,0,0,6.9,0.0,124.1,2,8,6.45,9.3,10.7,9.7,12.8,58.1,10,65,6.5,2,4,60.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,WillCa03"
"9,Drake Maye,71,33,7,0,Wed,1,1,2026-09-09,24-010,NWE,@,SEA,L 10-13,23,33,10,69.7,178,1,3,0,3.0,9.1,54.9,3,10,8.33,5.4,1.9,1.5,7.7,38.9,7,47,6.7,0,5,85.7,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,MayeDr00"
"10,Jayden Daniels,70,34,5,0,Sun,1,1,2026-09-13,25-269,WAS,@,PHI,L 22-24,18,34,16,52.9,164,2,0,0,5.9,0.0,85.9,1,1,2.86,4.8,6.0,5.8,9.1,37.1,5,31,6.2,0,1,20.0,0,0,0,,0,,,0,,70,100.0,0,0.0,0,0.0,QB,DaniJa02"
"11,Jaxson Dart,69,29,11,0,Sun,1,1,2026-09-13,23-123,NYG,,DAL,W 28-20,23,29,6,79.3,230,3,0,0,10.3,0.0,134.2,2,1,6.45,7.9,10.0,9.3,10.0,64.5,11,54,4.9,0,4,54.5,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,DartJa00"
"12,Patrick Mahomes,69,27,7,0,Mon,1,1,2026-09-14,30-362,KAN,,DEN,W 31-10,15,27,12,55.6,184,2,1,0,7.4,3.7,86.0,2,12,6.90,6.8,6.6,5.8,12.3,44.8,7,23,3.3,1,2,28.6,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,MahoPa00"
"13,Amon-Ra St. Brown,69,0,0,14,Sun,1,1,2026-09-13,26-324,DET,,NOR,W 31-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,14,10,67,6.7,2,71.4,4.8,4,50.0,69,89.6,0,0.0,0,0.0,WR,StxxAm00"
"14,Kirk Cousins,68,30,5,0,Sun,1,1,2026-09-13,38-025,LVR,,MIA,W 27-13,21,30,9,70.0,160,3,2,0,10.0,6.7,88.2,0,0,0.00,5.3,4.3,4.3,7.6,43.3,5,-6,-1.2,0,0,0.0,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,CousKi00"
"15,Lamar Jackson,68,25,7,0,Sun,1,1,2026-09-13,29-249,BAL,@,IND,W 41-23,17,25,8,68.0,324,1,0,0,4.0,0.0,124.2,2,20,7.41,13.0,13.8,12.0,19.1,55.6,7,40,5.7,1,3,42.9,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,JackLa00"
"16,Jordan Love,68,42,1,0,Sun,1,1,2026-09-13,27-315,GNB,@,MIN,L 22-39,21,42,21,50.0,387,2,1,0,4.8,2.4,88.1,4,34,8.70,9.2,9.1,7.6,18.4,41.3,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,LoveJo03"
"17,Aaron Rodgers,67,40,3,0,Sun,1,1,2026-09-13,42-285,PIT,,ATL,W 20-13,24,40,16,60.0,221,1,0,0,2.5,0.0,83.4,2,15,4.76,5.5,6.0,5.4,9.2,38.1,3,-3,-1.0,0,0,0.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,RodgAa00"
"18,Geno Smith,67,24,6,0,Sun,1,1,2026-09-13,35-338,NYJ,@,TEN,W 23-10,19,24,5,79.2,215,0,0,0,0.0,0.0,104.0,0,0,0.00,9.0,9.0,9.0,11.3,50.0,6,7,1.2,0,0,16.7,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,SmitGe00"
"19,Colston Loveland,65,0,0,2,Sun,1,1,2026-09-13,22-157,CHI,@,CAR,W 59-37,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,65,86.7,0,0.0,1,2.7,TE,LoveCo00"
"20,Brock Purdy,65,34,5,0,Thu,1,1,2026-09-10,26-257,SFO,@,LAR,W 27-7,25,34,9,73.5,205,3,1,0,8.8,2.9,105.6,0,0,0.00,6.0,6.5,6.5,8.2,58.8,5,29,5.8,0,4,80.0,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,PurdBr00"
"21,Jameson Williams,65,0,0,9,Sun,1,1,2026-09-13,25-171,DET,,NOR,W 31-30 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,4,45,11.3,0,44.4,5.0,2,44.4,65,84.4,0,0.0,0,0.0,WR,WillJa11"
