"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,WAS,2025-09-21,41,24,Sun,3,3,,LVR,W 41-24,41,24,17,65"
"2,TEN,2025-09-21,20,41,Sun,3,3,,IND,L 20-41,20,41,-21,61"
"3,TAM,2025-09-21,29,27,Sun,3,3,,NYJ,W 29-27,29,27,2,56"
"4,SFO,2025-09-21,16,15,Sun,3,3,,ARI,W 16-15,16,15,1,31"
"5,SEA,2025-09-21,44,13,Sun,3,3,,NOR,W 44-13,44,13,31,57"
"6,PIT,2025-09-21,21,14,Sun,3,3,@,NWE,W 21-14,21,14,7,35"
"7,PHI,2025-09-21,33,26,Sun,3,3,,LAR,W 33-26,33,26,7,59"
"8,NYJ,2025-09-21,27,29,Sun,3,3,@,TAM,L 27-29,27,29,-2,56"
"9,NYG,2025-09-21,9,22,Sun,3,3,,KAN,L 9-22,9,22,-13,31"
"10,NWE,2025-09-21,14,21,Sun,3,3,,PIT,L 14-21,14,21,-7,35"
"11,NOR,2025-09-21,13,44,Sun,3,3,@,SEA,L 13-44,13,44,-31,57"
"12,MIN,2025-09-21,48,10,Sun,3,3,,CIN,W 48-10,48,10,38,58"
"13,MIA,2025-09-18,21,31,Thu,3,3,@,BUF,L 21-31,21,31,-10,52"
"14,LVR,2025-09-21,24,41,Sun,3,3,@,WAS,L 24-41,24,41,-17,65"
"15,LAR,2025-09-21,26,33,Sun,3,3,@,PHI,L 26-33,26,33,-7,59"
"16,LAC,2025-09-21,23,20,Sun,3,3,,DEN,W 23-20,23,20,3,43"
"17,KAN,2025-09-21,22,9,Sun,3,3,@,NYG,W 22-9,22,9,13,31"
"18,JAX,2025-09-21,17,10,Sun,3,3,,HOU,W 17-10,17,10,7,27"
"19,IND,2025-09-21,41,20,Sun,3,3,@,TEN,W 41-20,41,20,21,61"
"20,HOU,2025-09-21,10,17,Sun,3,3,@,JAX,L 10-17,10,17,-7,27"
"21,GNB,2025-09-21,10,13,Sun,3,3,@,CLE,L 10-13,10,13,-3,23"
"22,DET,2025-09-22,38,30,Mon,3,3,@,BAL,W 38-30,38,30,8,68"
"23,DEN,2025-09-21,20,23,Sun,3,3,@,LAC,L 20-23,20,23,-3,43"
"24,DAL,2025-09-21,14,31,Sun,3,3,@,CHI,L 14-31,14,31,-17,45"
"25,CLE,2025-09-21,13,10,Sun,3,3,,GNB,W 13-10,13,10,3,23"
"26,CIN,2025-09-21,10,48,Sun,3,3,@,MIN,L 10-48,10,48,-38,58"
"27,CHI,2025-09-21,31,14,Sun,3,3,,DAL,W 31-14,31,14,17,45"
"28,CAR,2025-09-21,30,0,Sun,3,3,,ATL,W 30-0,30,0,30,30"
"29,BUF,2025-09-18,31,21,Thu,3,3,,MIA,W 31-21,31,21,10,52"
"30,BAL,2025-09-22,30,38,Mon,3,3,,DET,L 30-38,30,38,-8,68"
"31,ATL,2025-09-21,0,30,Sun,3,3,@,CAR,L 0-30,0,30,-30,30"
"32,ARI,2025-09-21,15,16,Sun,3,3,@,SFO,L 15-16,15,16,-1,31"
