"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Patrick Mahomes,96,46,4,0,Sun,11,12,2025-11-23,30-067,KAN,,IND,W 23-20 (OT),29,46,17,63.0,352,0,1,0,0.0,2.2,77.4,4,6,8.00,7.7,6.67,6.02,12.1,46.0,4,30,7.5,0,2,75.0,0,0,0,,0,,,0,,96,100.0,0,0.0,0,0.0,QB,MahoPa00"
"2,Travis Kelce,84,0,1,6,Sun,11,12,2025-11-23,36-049,KAN,,IND,W 23-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,1.0,0,0,0.0,6,4,43,10.8,0,66.7,7.2,2,66.7,84,87.5,0,0.0,0,0.0,TE,KelcTr00"
"3,Jacoby Brissett,82,49,3,0,Sun,11,12,2025-11-23,32-347,ARI,,JAX,L 24-27 (OT),33,49,16,67.3,317,1,0,0,2.0,0.0,92.0,6,44,10.91,6.5,6.88,5.33,9.6,45.5,3,20,6.7,0,2,66.7,0,0,0,,0,,,0,,82,97.6,0,0.0,0,0.0,QB,BrisJa00"
"4,Jameis Winston,82,36,4,1,Sun,12,12,2025-11-23,31-321,NYG,@,DET,L 27-34 (OT),18,36,18,50.0,366,2,1,0,5.6,2.8,93.1,1,4,2.70,10.2,10.03,9.65,20.3,43.2,4,13,3.3,0,1,25.0,1,1,33,33.0,1,100.0,33.0,1,100.0,82,100.0,0,0.0,0,0.0,QB,WinsJa00"
"5,Geno Smith,79,44,3,0,Sun,11,12,2025-11-23,35-044,LVR,,CLE,L 10-24,30,44,14,68.2,285,1,0,0,2.3,0.0,93.5,10,77,18.52,6.5,6.93,4.22,9.5,35.2,3,8,2.7,0,1,33.3,0,0,0,,0,,,0,,79,100.0,0,0.0,0,0.0,QB,SmitGe00"
"6,Brock Bowers,76,0,0,9,Sun,11,12,2025-11-23,22-345,LVR,,CLE,L 10-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,6,55,9.2,0,66.7,6.1,3,55.6,76,96.2,0,0.0,0,0.0,TE,BoweBr01"
"7,Tyler Shough,76,43,7,0,Sun,11,12,2025-11-23,26-056,NOR,,ATL,L 10-24,30,43,13,69.8,243,0,1,0,0.0,2.3,74.1,5,29,10.42,5.7,4.60,3.52,8.1,39.6,7,22,3.1,0,2,42.9,0,0,0,,0,,,0,,76,95.0,0,0.0,0,0.0,QB,ShouTy00"
"8,Cam Ward,76,42,6,0,Sun,11,12,2025-11-23,23-182,TEN,,SEA,L 24-30,28,42,14,66.7,256,1,0,0,2.4,0.0,91.0,4,24,8.70,6.1,6.57,5.48,9.1,39.1,6,37,6.2,1,4,83.3,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,WardCa00"
"9,Tre Tucker,75,0,0,10,Sun,11,12,2025-11-23,24-260,LVR,,CLE,L 10-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,3,28,9.3,0,30.0,2.8,1,10.0,75,94.9,0,0.0,0,0.0,WR,TuckTr00"
"10,Trey McBride,74,0,0,10,Sun,11,12,2025-11-23,26-001,ARI,,JAX,L 24-27 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,9,79,8.8,0,90.0,7.9,6,80.0,74,88.1,0,0.0,0,0.0,TE,McBrTr01"
"11,Dak Prescott,74,36,5,0,Sun,11,12,2025-11-23,32-117,DAL,,PHI,W 24-21,23,36,13,63.9,354,2,1,0,5.6,2.8,103.2,1,6,2.70,9.8,9.69,9.27,15.4,56.8,5,9,1.8,1,1,20.0,0,0,0,,0,,,0,,74,100.0,0,0.0,0,0.0,QB,PresDa01"
"12,Xavier Worthy,74,0,0,8,Sun,11,12,2025-11-23,22-210,KAN,,IND,W 23-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,4,59,14.8,0,50.0,7.4,2,50.0,74,77.1,0,0.0,0,0.0,WR,WortXa00"
"13,Mason Rudolph,72,31,3,0,Sun,11,12,2025-11-23,30-129,PIT,@,CHI,L 28-31,24,31,7,77.4,171,1,1,0,3.2,3.2,86.9,2,12,6.06,5.5,4.71,4.06,7.1,45.5,3,7,2.3,0,2,100.0,0,0,0,,0,,,0,,72,100.0,0,0.0,0,0.0,QB,RudoMa00"
"14,Drake Maye,71,35,5,0,Sun,12,12,2025-11-23,23-085,NWE,@,CIN,W 26-20,22,35,13,62.9,294,1,1,0,2.9,2.9,87.1,1,9,2.78,8.4,7.69,7.22,13.4,55.6,5,22,4.4,0,2,40.0,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,MayeDr00"
"15,Devaughn Vele,71,0,0,7,Sun,11,12,2025-11-23,27-346,NOR,,ATL,L 10-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,3,37,12.3,0,42.9,5.3,2,42.9,71,88.8,0,0.0,0,0.0,WR,VeleDe00"
"16,Brock Purdy,70,32,6,0,Mon,12,12,2025-11-24,25-332,SFO,,CAR,W 20-9,23,32,9,71.9,193,1,3,0,3.1,9.4,58.5,0,0,0.00,6.0,2.44,2.44,8.4,53.1,6,16,2.7,0,4,66.7,0,0,0,,0,,,0,,70,100.0,0,0.0,0,0.0,QB,PurdBr00"
"17,Van Jefferson,69,0,0,1,Sun,11,12,2025-11-23,29-120,TEN,,SEA,L 24-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,11,11.0,0,100.0,11.0,1,100.0,69,90.8,0,0.0,0,0.0,WR,JeffVa00"
"18,Michael Wilson,69,0,0,15,Sun,11,12,2025-11-23,25-273,ARI,,JAX,L 24-27 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,15,10,118,11.8,0,66.7,7.9,4,60.0,69,82.1,0,0.0,0,0.0,WR,WilsMi02"
"19,Jared Goff,68,42,0,0,Sun,11,12,2025-11-23,31-040,DET,,NYG,W 34-27 (OT),28,42,14,66.7,279,2,1,0,4.8,2.4,91.3,3,22,6.67,6.6,6.52,5.60,10.0,44.4,0,0,,0,0,,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,GoffJa00"
"20,Kareem Hunt,68,0,30,3,Sun,11,12,2025-11-23,30-109,KAN,,IND,W 23-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,30,104,3.5,1,10,50.0,3,3,26,8.7,0,100.0,8.7,1,66.7,68,70.8,0,0.0,0,0.0,RB,HuntKa00"
"21,Wan'Dale Robinson,68,0,1,14,Sun,12,12,2025-11-23,24-322,NYG,@,DET,L 27-34 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0.0,0,0,0.0,14,9,156,17.3,1,64.3,11.1,6,50.0,68,82.9,0,0.0,0,0.0,WR,RobiWa01"
"22,Josh Allen,66,34,5,0,Thu,11,12,2025-11-20,29-183,BUF,@,HOU,L 19-23,24,34,10,70.6,253,0,2,0,0.0,5.9,67.4,8,70,19.05,7.4,4.79,2.21,10.5,35.7,5,20,4.0,0,2,40.0,0,0,0,,0,,,0,,66,100.0,0,0.0,0,0.0,QB,AlleJo02"
"23,Amon-Ra St. Brown,66,0,0,13,Sun,11,12,2025-11-23,26-030,DET,,NYG,W 34-27 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,9,149,16.6,1,69.2,11.5,7,69.2,66,97.1,0,0.0,0,0.0,WR,StxxAm00"
"24,Jameson Williams,66,0,0,3,Sun,11,12,2025-11-23,24-242,DET,,NYG,W 34-27 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,0,0,,0,0.0,0.0,0,0.0,66,97.1,0,0.0,0,0.0,WR,WillJa11"
"25,Caleb Williams,65,35,4,0,Sun,11,12,2025-11-23,24-005,CHI,,PIT,W 31-28,19,35,16,54.3,239,3,0,0,8.6,0.0,104.3,1,10,2.78,6.8,8.54,8.03,12.6,41.7,4,21,5.3,0,1,75.0,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,WillCa03"
