Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
202,Noah Gray,KAN,TE,32.1,18.1,27.0,0.0,0.0,0.0,0.0,14.0,181.0,0.0,0.0,0.0,0.0
203,Jared Wiley,KAN,TE,1.4,1.4,25.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
204,Rashee Rice,KAN,WR,274.2,176.2,26.0,0.0,0.0,0.0,0.0,98.0,994.0,9.0,16.0,48.0,3.0
205,Xavier Worthy,KAN,WR,124.8,82.8,23.0,0.0,0.0,0.0,0.0,42.0,535.0,3.0,16.0,113.0,0.0
206,Cyrus Allen,KAN,WR,117.1,75.1,23.0,0.0,0.0,0.0,0.0,42.0,498.0,4.0,0.0,13.0,0.0
207,Tyquan Thornton,KAN,WR,105.3,77.3,26.0,0.0,0.0,0.0,0.0,28.0,533.0,4.0,0.0,0.0,0.0
208,Nikko Remigio,KAN,WR,8.8,8.8,26.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,32.0,0.0
209,Justin Herbert,LAC,QB,333.66,333.66,28.0,497.0,3739.0,35.0,13.0,0.0,0.0,0.0,75.0,521.0,3.0
210,Trey Lance,LAC,QB,4.24,4.24,26.0,10.0,46.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0
211,Omarion Hampton,LAC,RB,277.20000000000005,217.20000000000002,23.0,0.0,0.0,0.0,0.0,60.0,339.0,5.0,224.0,993.0,9.0
212,Kimani Vidal,LAC,RB,154.8,139.8,24.0,0.0,0.0,0.0,0.0,15.0,269.0,2.0,192.0,829.0,3.0
213,Keaton Mitchell,LAC,RB,110.60000000000001,95.60000000000001,24.0,0.0,0.0,0.0,0.0,15.0,92.0,0.0,80.0,444.0,7.0
214,David Njoku,LAC,TE,124.5,79.5,30.0,0.0,0.0,0.0,0.0,45.0,375.0,7.0,0.0,0.0,0.0
215,Charlie Kolar,LAC,TE,42.0,27.0,27.0,0.0,0.0,0.0,0.0,15.0,150.0,2.0,0.0,0.0,0.0
216,Evan Svoboda,LAC,TE,74.7,44.7,23.0,0.0,0.0,0.0,0.0,30.0,327.0,2.0,0.0,0.0,0.0
217,Quentin Johnston,LAC,WR,189.8,129.8,24.0,0.0,0.0,0.0,0.0,60.0,802.0,8.0,0.0,16.0,0.0
218,Ladd McConkey,LAC,WR,165.1,105.1,24.0,0.0,0.0,0.0,0.0,60.0,751.0,5.0,0.0,0.0,0.0
219,KeAndre Lambert-Smith,LAC,WR,37.6,22.6,24.0,0.0,0.0,0.0,0.0,15.0,106.0,2.0,0.0,0.0,0.0
220,Brenen Thompson,LAC,WR,117.80000000000001,72.80000000000001,23.0,0.0,0.0,0.0,0.0,45.0,537.0,3.0,0.0,11.0,0.0
221,Derius Davis,LAC,WR,4.2,4.2,25.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,16.0,0.0
222,Matthew Stafford,LAR,QB,348.1,348.1,38.0,573.0,4615.0,46.0,11.0,0.0,0.0,0.0,32.0,15.0,0.0
223,Ty Simpson,LAR,QB,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Kyren Williams,LAR,RB,268.1,237.10000000000002,25.0,0.0,0.0,0.0,0.0,31.0,278.0,3.0,240.0,1193.0,12.0
225,Blake Corum,LAR,RB,134.39999999999998,119.39999999999999,25.0,0.0,0.0,0.0,0.0,15.0,46.0,0.0,139.0,728.0,7.0
226,Ronnie Rivers,LAR,RB,13.3,13.3,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,133.0,0.0
227,Terrance Ferguson,LAR,TE,70.1,55.1,23.0,0.0,0.0,0.0,0.0,15.0,311.0,4.0,0.0,0.0,0.0
228,Colby Parkinson,LAR,TE,129.7,83.7,27.0,0.0,0.0,0.0,0.0,46.0,417.0,7.0,0.0,0.0,0.0
229,Tyler Higbee,LAR,TE,115.0,69.0,33.0,0.0,0.0,0.0,0.0,46.0,450.0,4.0,0.0,0.0,0.0
230,Puka Nacua,LAR,WR,373.0,251.0,25.0,0.0,0.0,0.0,0.0,122.0,1637.0,10.0,16.0,153.0,2.0
231,Davante Adams,LAR,WR,230.1,169.1,33.0,0.0,0.0,0.0,0.0,61.0,851.0,14.0,0.0,0.0,0.0
