"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,WAS,2025-09-11,18,27,Thu,2,2,@,GNB,L 18-27,18,27,-9,45"
"2,TEN,2025-09-14,19,33,Sun,2,2,,LAR,L 19-33,19,33,-14,52"
"3,TAM,2025-09-15,20,19,Mon,2,2,@,HOU,W 20-19,20,19,1,39"
"4,SFO,2025-09-14,26,21,Sun,2,2,@,NOR,W 26-21,26,21,5,47"
"5,SEA,2025-09-14,31,17,Sun,2,2,@,PIT,W 31-17,31,17,14,48"
"6,PIT,2025-09-14,17,31,Sun,2,2,,SEA,L 17-31,17,31,-14,48"
"7,PHI,2025-09-14,20,17,Sun,2,2,@,KAN,W 20-17,20,17,3,37"
"8,NYJ,2025-09-14,10,30,Sun,2,2,,BUF,L 10-30,10,30,-20,40"
"9,NYG,2025-09-14,37,40,Sun,2,2,@,DAL,L 37-40 (OT),37,40,-3,77"
"10,NWE,2025-09-14,33,27,Sun,2,2,@,MIA,W 33-27,33,27,6,60"
"11,NOR,2025-09-14,21,26,Sun,2,2,,SFO,L 21-26,21,26,-5,47"
"12,MIN,2025-09-14,6,22,Sun,2,2,,ATL,L 6-22,6,22,-16,28"
"13,MIA,2025-09-14,27,33,Sun,2,2,,NWE,L 27-33,27,33,-6,60"
"14,LVR,2025-09-15,9,20,Mon,2,2,,LAC,L 9-20,9,20,-11,29"
"15,LAR,2025-09-14,33,19,Sun,2,2,@,TEN,W 33-19,33,19,14,52"
"16,LAC,2025-09-15,20,9,Mon,2,2,@,LVR,W 20-9,20,9,11,29"
"17,KAN,2025-09-14,17,20,Sun,2,2,,PHI,L 17-20,17,20,-3,37"
"18,JAX,2025-09-14,27,31,Sun,2,2,@,CIN,L 27-31,27,31,-4,58"
"19,IND,2025-09-14,29,28,Sun,2,2,,DEN,W 29-28,29,28,1,57"
"20,HOU,2025-09-15,19,20,Mon,2,2,,TAM,L 19-20,19,20,-1,39"
"21,GNB,2025-09-11,27,18,Thu,2,2,,WAS,W 27-18,27,18,9,45"
"22,DET,2025-09-14,52,21,Sun,2,2,,CHI,W 52-21,52,21,31,73"
"23,DEN,2025-09-14,28,29,Sun,2,2,@,IND,L 28-29,28,29,-1,57"
"24,DAL,2025-09-14,40,37,Sun,2,2,,NYG,W 40-37 (OT),40,37,3,77"
"25,CLE,2025-09-14,17,41,Sun,2,2,@,BAL,L 17-41,17,41,-24,58"
"26,CIN,2025-09-14,31,27,Sun,2,2,,JAX,W 31-27,31,27,4,58"
"27,CHI,2025-09-14,21,52,Sun,2,2,@,DET,L 21-52,21,52,-31,73"
"28,CAR,2025-09-14,22,27,Sun,2,2,@,ARI,L 22-27,22,27,-5,49"
"29,BUF,2025-09-14,30,10,Sun,2,2,@,NYJ,W 30-10,30,10,20,40"
"30,BAL,2025-09-14,41,17,Sun,2,2,,CLE,W 41-17,41,17,24,58"
"31,ATL,2025-09-14,22,6,Sun,2,2,@,MIN,W 22-6,22,6,16,28"
"32,ARI,2025-09-14,27,22,Sun,2,2,,CAR,W 27-22,27,22,5,49"
