Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
265,Jacory Croskey-Merritt,WSH,RB,9.1,8.1,0,0.0,0.0,1,4,0.0,10,47,0.5
266,Jahan Dotson,PHI,WR,3.1,2.1,0,0.0,0.0,1,15,0.1,0,0,0.0
267,Jahdae Walker,CHI,WR,3.1,2.1,0,0.0,0.0,1,9,0.2,0,0,0.0
268,Jahmyr Gibbs,DET,RB,22.4,17.4,0,0.0,0.0,5,36,0.3,14,72,0.8
269,Jake Bobo,SEA,WR,0.2,0.2,0,0.0,0.0,0,2,0.0,0,0,0.0
270,Jake Browning,CIN,QB,13.0,13.0,155,1.2,1.6,0,0,0.0,2,8,0.2
271,Jake Ferguson,DAL,TE,11.5,6.5,0,0.0,0.0,5,35,0.5,0,0,0.0
272,Jake Tonges,SFO,TE,5.6,3.6,0,0.0,0.0,2,18,0.3,0,0,0.0
273,Jakob Johnson,HOU,FB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
274,Jakobi Meyers,JAX,WR,7.3,4.3,0,0.0,0.0,3,30,0.2,0,1,0.0
275,Jakobie Keeney-James,GNB,WR,3.5,1.5,0,0.0,0.0,2,15,0.0,0,0,0.0
276,Jaleel McLaughlin,DEN,RB,3.2,3.2,0,0.0,0.0,0,3,0.0,5,23,0.1
277,Jalen Brooks,ARI,WR,1.9,0.9,0,0.0,0.0,1,9,0.0,0,0,0.0
278,Jalen Coker,CAR,WR,8.4,5.4,0,0.0,0.0,3,36,0.3,0,0,0.0
279,Jalen Hurts,PHI,QB,20.0,20.0,201,1.6,0.4,0,0,0.0,7,26,0.5
280,Jalen McMillan,TAM,WR,7.4,4.4,0,0.0,0.0,3,44,0.0,0,0,0.0
281,Jalen Milroe,SEA,QB,0.1,0.1,0,0.0,0.0,0,0,0.0,1,1,0.0
282,Jalen Moreno-Cropper,DAL,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
283,Jalen Nailor,MIN,WR,5.9,3.9,0,0.0,0.0,2,26,0.2,0,1,0.0
284,Jalen Royals,KAN,WR,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
285,Jalen Tolbert,DAL,WR,3.2,2.2,0,0.0,0.0,1,16,0.1,0,0,0.0
286,Jalin Hyatt,NYG,WR,1.4,0.4,0,0.0,0.0,1,4,0.0,0,0,0.0
287,Jamal Agnew,ATL,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
288,Jamari Thrash,CLE,WR,2.2,1.2,0,0.0,0.0,1,12,0.0,0,0,0.0
289,Jameis Winston,NYG,QB,15.9,15.9,191,0.7,0.7,0,11,0.3,2,8,0.3
290,James Conner,ARI,RB,11.1,8.1,0,0.0,0.0,3,13,0.3,11,32,0.3
291,James Cook,BUF,RB,18.0,16.0,0,0.0,0.0,2,17,0.1,18,95,0.7
292,James Mitchell,CAR,TE,1.6,0.6,0,0.0,0.0,1,6,0.0,0,0,0.0
293,James Proche,TEN,WR,1.7,0.7,0,0.0,0.0,1,7,0.0,0,0,0.0
294,Jameson Williams,DET,WR,13.1,9.1,0,0.0,0.0,4,66,0.4,0,1,0.0
295,Jared Goff,DET,QB,19.1,19.1,269,2.0,0.5,0,0,0.0,1,3,0.0
296,Jared Wayne,HOU,WR,4.0,2.0,0,0.0,0.0,2,20,0.0,0,0,0.0
297,Jared Wiley,KAN,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
298,Jaret Patterson,LAC,RB,5.0,4.0,0,0.0,0.0,1,1,0.0,7,27,0.2
299,Jarquez Hunter,LAR,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
300,Jarrett Stidham,DEN,QB,-0.1,-0.1,0,0.0,0.0,0,0,0.0,1,0,0.0
301,Jason Brownlee,KAN,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
302,Jauan Jennings,SFO,WR,11.9,7.9,0,0.0,0.0,4,43,0.6,0,0,0.0
303,Javonte Williams,DAL,RB,15.3,13.3,0,0.0,0.0,2,9,0.1,16,76,0.7
304,Jawhar Jordan,HOU,RB,7.5,5.5,0,0.0,0.0,2,8,0.0,11,47,0.0
305,Jaxon Smith-Njigba,SEA,WR,21.3,14.3,0,0.0,0.0,7,105,0.6,0,2,0.0
306,Jaxson Dart,NYG,QB,18.0,18.0,163,1.1,0.4,0,0,0.0,6,35,0.6
307,Jayden Daniels,WSH,QB,17.4,17.4,180,1.1,0.4,0,0,0.0,8,40,0.3
308,Jayden Higgins,HOU,WR,7.5,5.5,0,0.0,0.0,2,31,0.4,0,0,0.0
309,Jayden Reed,GNB,WR,7.0,4.0,0,0.0,0.0,3,30,0.1,0,4,0.0
310,Jaydon Blue,DAL,RB,3.9,3.9,0,0.0,0.0,0,1,0.0,8,26,0.2
311,Jaylen Waddle,MIA,WR,12.3,8.3,0,0.0,0.0,4,57,0.4,0,2,0.0
312,Jaylen Warren,PIT,RB,14.1,11.1,0,0.0,0.0,3,21,0.1,13,60,0.4
313,Jaylen Wright,MIA,RB,4.5,4.5,0,0.0,0.0,0,4,0.0,7,29,0.2
314,Jaylin Lane,WSH,WR,2.5,1.5,0,0.0,0.0,1,15,0.0,0,0,0.0
315,Jaylin Noel,HOU,WR,4.4,2.4,0,0.0,0.0,2,17,0.1,0,1,0.0
316,Jeff Wilson,MIA,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
317,Jelani Woods,NYJ,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
318,Jeremy McNichols,WSH,RB,4.0,3.0,0,0.0,0.0,1,11,0.0,3,13,0.1
319,Jeremy Ruckert,NYJ,TE,2.7,1.7,0,0.0,0.0,1,11,0.1,0,0,0.0
320,Jermar Jefferson,ARI,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
321,Jerome Ford,CLE,RB,3.4,1.4,0,0.0,0.0,2,8,0.0,2,6,0.0
322,Jerry Jeudy,CLE,WR,7.1,4.1,0,0.0,0.0,3,35,0.1,0,0,0.0
323,Jeshaun Jones,MIN,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
324,Jimmy Garoppolo,LAR,QB,-0.3,-0.3,0,0.0,0.0,0,0,0.0,3,0,0.0
325,Jimmy Holiday,KAN,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
326,Jimmy Horn,CAR,WR,2.3,1.3,0,0.0,0.0,1,8,0.0,1,5,0.0
327,Joe Burrow,CIN,QB,17.9,17.9,226,2.1,0.6,0,0,0.0,2,5,0.0
328,Joe Flacco,CIN,QB,9.9,9.9,128,1.0,0.3,0,0,0.0,1,2,0.1
329,Joe Milton,DAL,QB,4.3,4.3,46,0.3,0.5,0,0,0.0,1,13,0.0
330,John Bates,WSH,TE,2.3,1.3,0,0.0,0.0,1,7,0.1,0,0,0.0
331,John FitzPatrick,GNB,TE,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
332,John Metchie,NYJ,WR,4.2,2.2,0,0.0,0.0,2,16,0.1,0,0,0.0
333,Johnny Mundt,JAX,TE,1.7,0.7,0,0.0,0.0,1,7,0.0,0,0,0.0
334,Jonathan Mingo,DAL,WR,0.4,0.4,0,0.0,0.0,0,4,0.0,0,0,0.0
335,Jonathan Taylor,IND,RB,21.6,18.6,0,0.0,0.0,3,22,0.1,19,92,1.1
336,Jonnu Smith,PIT,TE,4.9,2.9,0,0.0,0.0,2,13,0.1,1,4,0.1
337,Jordan Addison,MIN,WR,9.7,6.7,0,0.0,0.0,3,43,0.2,0,6,0.1
338,Jordan James,SFO,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
339,Jordan Love,GNB,QB,16.4,16.4,227,1.5,0.4,0,0,0.0,3,13,0.0
340,Jordan Mason,MIN,RB,8.4,7.4,0,0.0,0.0,1,3,0.0,10,47,0.4
341,Jordan Mims,TEN,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
342,Jordan Watkins,SFO,WR,0.7,0.7,0,0.0,0.0,0,7,0.0,0,0,0.0
343,Jordan Whittington,LAR,WR,2.1,1.1,0,0.0,0.0,1,10,0.0,0,1,0.0
344,Josh Allen,BUF,QB,22.8,22.8,216,1.5,0.6,0,0,0.0,7,34,0.8
345,Josh Downs,IND,WR,9.4,5.4,0,0.0,0.0,4,36,0.3,0,0,0.0
346,Josh Jacobs,GNB,RB,16.1,14.1,0,0.0,0.0,2,19,0.1,16,62,0.9
347,Josh Johnson,WSH,QB,6.0,6.0,73,0.2,0.4,0,0,0.0,2,11,0.2
348,Josh Oliver,MIN,TE,3.9,2.9,0,0.0,0.0,1,11,0.3,0,0,0.0
349,Josh Palmer,BUF,WR,4.5,2.5,0,0.0,0.0,2,25,0.0,0,0,0.0
350,Josh Reynolds,NYJ,WR,4.0,2.0,0,0.0,0.0,2,20,0.0,0,0,0.0
351,Josh Whyle,GNB,TE,2.0,1.0,0,0.0,0.0,1,4,0.1,0,0,0.0
352,Josh Williams,TAM,RB,0.4,0.4,0,0.0,0.0,0,0,0.0,1,4,0.0
353,Joshua Dobbs,NWE,QB,0.6,0.6,17,0.0,0.0,0,0,0.0,3,0,0.0
354,Josiah Deguara,ARI,TE,0.8,0.8,0,0.0,0.0,0,2,0.1,0,0,0.0
355,JuJu Smith-Schuster,KAN,WR,4.6,2.6,0,0.0,0.0,2,20,0.1,0,0,0.0
356,Julian Hill,MIA,TE,2.0,1.0,0,0.0,0.0,1,10,0.0,0,0,0.0
357,Julius Chestnut,TEN,RB,0.2,0.2,0,0.0,0.0,0,0,0.0,1,2,0.0
358,Justice Hill,BAL,RB,6.5,4.5,0,0.0,0.0,2,17,0.1,2,10,0.2
359,Justin Fields,NYJ,QB,15.5,15.5,140,0.8,0.1,0,0,0.0,8,43,0.4
360,Justin Herbert,LAC,QB,19.5,19.5,234,1.6,0.9,0,0,0.0,5,31,0.1
361,Justin Jefferson,MIN,WR,11.7,6.7,0,0.0,0.0,5,61,0.1,0,0,0.0
362,Justin Shorter,LVR,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
363,Justin Watson,HOU,WR,2.0,1.0,0,0.0,0.0,1,10,0.0,0,0,0.0
364,Juwan Johnson,NOR,TE,11.4,6.4,0,0.0,0.0,5,52,0.2,0,0,0.0
365,KaVontae Turpin,DAL,WR,5.8,3.8,0,0.0,0.0,2,26,0.1,1,6,0.0
366,Kaden Davis,CLE,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
367,Kaleb Johnson,PIT,RB,0.8,0.8,0,0.0,0.0,0,1,0.0,3,7,0.0
368,Kalel Mullings,TEN,RB,0.1,0.1,0,0.0,0.0,0,0,0.0,0,1,0.0
369,Kalif Raymond,DET,WR,4.6,2.6,0,0.0,0.0,2,19,0.1,0,1,0.0
370,Kameron Johnson,TAM,WR,1.1,1.1,0,0.0,0.0,0,4,0.1,0,1,0.0
371,Kareem Hunt,KAN,RB,9.0,8.0,0,0.0,0.0,1,8,0.1,9,36,0.5
372,Kayshon Boutte,NWE,WR,8.4,6.4,0,0.0,0.0,2,40,0.4,0,0,0.0
373,Ke'Shawn Williams,CIN,WR,0.1,0.1,0,0.0,0.0,0,0,0.0,0,1,0.0
374,KeAndre Lambert-Smith,LAC,WR,1.1,1.1,0,0.0,0.0,0,5,0.1,0,0,0.0
375,Keaton Mitchell,BAL,RB,4.7,3.7,0,0.0,0.0,1,5,0.0,5,26,0.1
376,Kedon Slovis,ARI,QB,-0.0,-0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
377,Keenan Allen,LAC,WR,10.8,5.8,0,0.0,0.0,5,46,0.2,0,0,0.0
378,Keleki Latu,BUF,TE,1.7,0.7,0,0.0,0.0,1,7,0.0,0,0,0.0
379,Kendall Milton,CIN,RB,0.2,0.2,0,0.0,0.0,0,0,0.0,2,2,0.0
380,Kendre Miller,NOR,RB,4.8,3.8,0,0.0,0.0,1,4,0.0,7,28,0.1
381,Kendrick Bourne,SFO,WR,5.4,3.4,0,0.0,0.0,2,34,0.0,0,0,0.0
382,Kene Nwangwu,NYJ,RB,0.4,0.4,0,0.0,0.0,0,0,0.0,1,4,0.0
383,Kenneth Gainwell,PIT,RB,12.9,8.9,0,0.0,0.0,4,28,0.2,7,31,0.3
384,Kenneth Walker III,SEA,RB,11.5,9.5,0,0.0,0.0,2,17,0.0,13,60,0.3
385,Kenny Pickett,LVR,QB,2.4,2.4,31,0.2,0.3,0,0,0.0,1,4,0.0
386,Keon Coleman,BUF,WR,7.9,4.9,0,0.0,0.0,3,31,0.3,0,0,0.0
387,Kevin Austin,NOR,WR,4.3,2.3,0,0.0,0.0,2,17,0.1,0,0,0.0
388,KhaDarel Hodge,ATL,WR,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
389,Khalil Herbert,NYJ,RB,0.8,0.8,0,0.0,0.0,0,1,0.0,2,7,0.0
390,Khalil Shakir,BUF,WR,9.7,5.7,0,0.0,0.0,4,45,0.2,0,0,0.0
391,Kimani Vidal,LAC,RB,8.7,7.7,0,0.0,0.0,1,10,0.1,12,49,0.2
392,Kirk Cousins,ATL,QB,11.7,11.7,175,1.0,0.5,0,0,0.0,1,1,0.1
393,Ko Kieft,TAM,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
394,Konata Mumpfield,LAR,WR,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
395,Kyle Allen,DET,QB,-0.1,-0.1,0,0.0,0.0,0,0,0.0,1,0,0.0
396,Kyle Juszczyk,SFO,FB,2.8,1.8,0,0.0,0.0,1,12,0.1,0,0,0.0
397,Kyle Monangai,CHI,RB,8.4,7.4,0,0.0,0.0,1,10,0.0,10,46,0.3
398,Kyle Pitts,ATL,TE,12.3,7.3,0,0.0,0.0,5,55,0.3,0,0,0.0
399,Kyle Williams,NWE,WR,3.4,2.4,0,0.0,0.0,1,12,0.2,0,0,0.0
400,Kylen Granson,PHI,TE,0.2,0.2,0,0.0,0.0,0,2,0.0,0,0,0.0
401,Kyler Murray,ARI,QB,17.2,17.2,193,1.2,0.6,0,0,0.0,6,35,0.2
402,Kyren Williams,LAR,RB,15.7,13.7,0,0.0,0.0,2,16,0.2,15,73,0.6
403,LaJohntay Wester,BAL,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
404,Ladd McConkey,LAC,WR,11.3,7.3,0,0.0,0.0,4,49,0.4,0,0,0.0
405,Lamar Jackson,BAL,QB,18.1,18.1,196,1.6,0.6,0,0,0.0,5,27,0.2
406,Laquon Treadwell,IND,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
407,Lawrence Cager,WSH,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
408,LeQuint Allen,JAX,RB,1.8,0.8,0,0.0,0.0,1,3,0.0,1,5,0.0
409,Lew Nichols,PIT,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
410,Lil'Jordan Humphrey,DEN,WR,2.6,1.6,0,0.0,0.0,1,10,0.1,0,0,0.0
411,Lucas Krull,DEN,TE,1.5,0.5,0,0.0,0.0,1,5,0.0,0,0,0.0
412,Luke Farrell,SFO,TE,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
413,Luke McCaffrey,WSH,WR,5.1,4.1,0,0.0,0.0,1,23,0.3,0,0,0.0
414,Luke Musgrave,GNB,TE,2.5,1.5,0,0.0,0.0,1,15,0.0,0,0,0.0
415,Luke Schoonmaker,DAL,TE,1.8,0.8,0,0.0,0.0,1,8,0.0,0,0,0.0
416,Luther Burden,CHI,WR,8.0,5.0,0,0.0,0.0,3,42,0.1,0,2,0.0
417,Mac Jones,SFO,QB,13.2,13.2,196,1.2,0.5,0,0,0.0,3,6,0.0
418,Mack Hollins,NWE,WR,7.3,4.3,0,0.0,0.0,3,37,0.1,0,0,0.0
419,Malachi Corley,CLE,WR,2.6,1.6,0,0.0,0.0,1,6,0.0,1,10,0.0
420,Malik Cunningham,DET,WR,0.1,0.1,0,0.0,0.0,0,0,0.0,1,1,0.0
421,Malik Davis,DAL,RB,3.9,3.9,0,0.0,0.0,0,2,0.0,5,25,0.2
422,Malik Heath,GNB,WR,1.8,0.8,0,0.0,0.0,1,8,0.0,0,0,0.0
423,Malik Nabers,NYG,WR,14.8,9.8,0,0.0,0.0,5,68,0.5,0,0,0.0
424,Malik Turner,SFO,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
425,Malik Washington,MIA,WR,7.4,4.4,0,0.0,0.0,3,19,0.2,1,7,0.1
426,Malik Willis,GNB,QB,13.1,13.1,105,0.7,0.0,0,0,0.0,6,31,0.5
427,Marcedes Lewis,DEN,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
428,Marcus Mariota,WSH,QB,13.1,13.1,154,0.9,0.6,0,0,0.0,5,27,0.1
429,Mark Andrews,BAL,TE,8.2,5.2,0,0.0,0.0,3,25,0.3,1,3,0.1
430,Marquez Valdes-Scantling,PIT,WR,2.4,1.4,0,0.0,0.0,1,8,0.1,0,0,0.0
431,Marquise Brown,KAN,WR,8.4,5.4,0,0.0,0.0,3,36,0.3,0,0,0.0
432,Marvin Harrison Jr.,ARI,WR,9.8,6.8,0,0.0,0.0,3,50,0.3,0,0,0.0
433,Marvin Mims,DEN,WR,5.9,3.9,0,0.0,0.0,2,22,0.1,1,5,0.1
434,Mason Kinsey,TEN,WR,0.5,0.5,0,0.0,0.0,0,5,0.0,0,0,0.0
435,Mason Rudolph,PIT,QB,4.2,4.2,63,0.4,0.4,0,0,0.0,1,1,0.0
436,Mason Taylor,NYJ,TE,6.5,3.5,0,0.0,0.0,3,29,0.1,0,0,0.0
437,Mason Tipton,NOR,WR,1.6,0.6,0,0.0,0.0,1,5,0.0,0,1,0.0
438,Matthew Golden,GNB,WR,4.9,2.9,0,0.0,0.0,2,26,0.0,1,3,0.0
439,Matthew Stafford,LAR,QB,21.9,21.9,277,2.7,0.5,0,0,0.0,2,0,0.0
440,Max Brosmer,MIN,QB,1.7,1.7,41,0.0,0.5,0,0,0.0,1,1,0.0
441,Mecole Hardman,BUF,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
442,Michael Bandy,DEN,WR,3.9,2.9,0,0.0,0.0,1,11,0.3,0,0,0.0
443,Michael Carter,ARI,RB,8.2,5.2,0,0.0,0.0,3,20,0.0,7,26,0.1
444,Michael Mayer,LVR,TE,6.1,3.1,0,0.0,0.0,3,25,0.1,0,0,0.0
445,Michael Penix,ATL,QB,14.2,14.2,220,1.0,0.3,0,0,0.0,2,8,0.1
446,Michael Pittman Jr.,IND,WR,12.0,7.0,0,0.0,0.0,5,46,0.4,0,0,0.0
447,Michael Wilson,ARI,WR,13.4,8.4,0,0.0,0.0,5,60,0.4,0,0,0.0
448,Mike Evans,TAM,WR,11.0,7.0,0,0.0,0.0,4,46,0.4,0,0,0.0
449,Mike Gesicki,CIN,TE,4.9,2.9,0,0.0,0.0,2,23,0.1,0,0,0.0
450,Miles Sanders,DAL,RB,6.9,4.9,0,0.0,0.0,2,8,0.0,5,29,0.2
451,Mitchell Evans,CAR,TE,2.6,1.6,0,0.0,0.0,1,10,0.1,0,0,0.0
452,Mitchell Tinsley,CIN,WR,1.3,1.3,0,0.0,0.0,0,7,0.1,0,0,0.0
453,Mitchell Trubisky,BUF,QB,7.3,7.3,80,1.0,0.0,0,0,0.0,2,1,0.0
454,Mo Alie-Cox,IND,TE,2.3,1.3,0,0.0,0.0,1,7,0.1,0,0,0.0
455,Moliki Matavao,NOR,TE,0.2,0.2,0,0.0,0.0,0,2,0.0,0,0,0.0
456,Myles Gaskin,SEA,RB,0.6,0.6,0,0.0,0.0,0,0,0.0,3,6,0.0
457,Myles Price,MIN,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
458,Najee Harris,LAC,RB,3.8,2.8,0,0.0,0.0,1,8,0.0,5,20,0.0
459,Nate Adkins,DEN,TE,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
460,Nathan Carter,ATL,RB,0.8,0.8,0,0.0,0.0,0,0,0.0,1,8,0.0
461,Nick Chubb,HOU,RB,6.1,5.1,0,0.0,0.0,1,5,0.0,8,34,0.2
462,Nick Kallerup,SEA,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
463,Nick Mullens,JAX,QB,-0.0,-0.0,4,0.0,0.0,0,0,0.0,2,0,0.0
464,Nick Vannett,LAR,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
465,Nick Westbrook-Ikhine,MIA,WR,1.6,0.6,0,0.0,0.0,1,6,0.0,0,0,0.0
466,Nico Collins,HOU,WR,15.6,10.6,0,0.0,0.0,5,75,0.4,0,1,0.1
467,Nikko Remigio,KAN,WR,0.3,0.3,0,0.0,0.0,0,2,0.0,0,1,0.0
468,Nikola Kalinic,CHI,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
469,Noah Brown,WSH,WR,3.1,2.1,0,0.0,0.0,1,21,0.0,0,0,0.0
470,Noah Fant,CIN,TE,5.1,3.1,0,0.0,0.0,2,19,0.2,0,0,0.0
471,Noah Gray,KAN,TE,2.1,1.1,0,0.0,0.0,1,11,0.0,0,0,0.0
472,Nyheim Hines,NOR,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
473,Olamide Zaccheaus,CHI,WR,4.7,2.7,0,0.0,0.0,2,19,0.1,0,2,0.0
474,Ollie Gordon,MIA,RB,3.2,3.2,0,0.0,0.0,0,2,0.1,4,12,0.2
475,Omarion Hampton,LAC,RB,15.1,11.1,0,0.0,0.0,4,21,0.1,14,60,0.4
476,Oronde Gadsden II,LAC,TE,8.6,5.6,0,0.0,0.0,3,44,0.2,0,0,0.0
477,Owen Wright,TAM,RB,0.2,0.2,0,0.0,0.0,0,0,0.0,1,2,0.0
478,Parker Washington,JAX,WR,11.0,7.0,0,0.0,0.0,4,52,0.3,0,0,0.0
479,Parris Campbell,DAL,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
480,Pat Bryant,DEN,WR,5.1,3.1,0,0.0,0.0,2,25,0.1,0,0,0.0
481,Pat Freiermuth,PIT,TE,6.1,4.1,0,0.0,0.0,2,29,0.2,0,0,0.0
482,Patrick Mahomes,KAN,QB,21.6,21.6,257,1.5,0.8,0,0,0.0,5,30,0.4
483,Patrick Ricard,BAL,FB,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
484,Payne Durham,TAM,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
485,Pharaoh Brown,ARI,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
486,Phil Mafah,DAL,RB,10.9,8.9,0,0.0,0.0,2,11,0.0,5,18,1.0
487,Philip Rivers,IND,QB,12.2,12.2,180,1.3,1.0,0,0,0.0,1,0,0.0
488,Puka Nacua,LAR,WR,23.5,15.5,0,0.0,0.0,8,107,0.6,1,6,0.1
489,Quentin Johnston,LAC,WR,12.9,8.9,0,0.0,0.0,4,53,0.6,0,0,0.0
490,Quentin Skinner,NYJ,WR,2.0,1.0,0,0.0,0.0,1,10,0.0,0,0,0.0
491,Quinn Ewers,MIA,QB,9.7,9.7,155,0.8,0.8,0,0,0.0,2,5,0.0
492,Quinshon Judkins,CLE,RB,12.1,10.1,0,0.0,0.0,2,12,0.0,16,59,0.5
493,Quintin Morris,JAX,TE,1.0,1.0,0,0.0,0.0,0,4,0.1,0,0,0.0
494,RJ Harvey,DEN,RB,12.5,9.5,0,0.0,0.0,3,21,0.3,9,32,0.4
495,Rachaad White,TAM,RB,7.9,5.9,0,0.0,0.0,2,13,0.0,8,34,0.2
496,Raheem Mostert,LVR,RB,2.5,1.5,0,0.0,0.0,1,6,0.0,2,9,0.0
497,Raheim Sanders,CLE,RB,5.0,4.0,0,0.0,0.0,1,5,0.0,7,23,0.2
498,Rashee Rice,KAN,WR,18.5,11.5,0,0.0,0.0,7,71,0.6,1,2,0.1
499,Rasheen Ali,BAL,RB,2.3,1.3,0,0.0,0.0,1,5,0.1,0,2,0.0
500,Rashid Shaheed,SEA,WR,2.4,1.4,0,0.0,0.0,1,11,0.0,0,3,0.0
501,Rashod Bateman,BAL,WR,3.9,2.9,0,0.0,0.0,1,17,0.2,0,0,0.0
502,Ray Davis,BUF,RB,3.7,2.7,0,0.0,0.0,1,5,0.1,3,16,0.0
503,Ray-Ray McCloud,NYG,WR,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
504,Reggie Gilliam,BUF,FB,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
505,Rhamondre Stevenson,NWE,RB,12.4,10.4,0,0.0,0.0,2,25,0.1,9,43,0.5
506,Ricky Pearsall,SFO,WR,9.9,5.9,0,0.0,0.0,4,59,0.0,0,0,0.0
507,Ricky White,SEA,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
508,Rico Dowdle,CAR,RB,13.2,11.2,0,0.0,0.0,2,18,0.1,14,64,0.4
509,Riley Leonard,IND,QB,7.7,7.7,83,0.4,0.6,0,0,0.0,1,5,0.4
510,River Cracraft,WSH,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
511,Robbie Chosen,WSH,WR,3.8,1.8,0,0.0,0.0,2,18,0.0,0,0,0.0
512,Robbie Ouzts,SEA,FB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
513,Robert Tonyan,KAN,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
514,Roman Wilson,PIT,WR,3.4,2.4,0,0.0,0.0,1,12,0.2,0,0,0.0
515,Rome Odunze,CHI,WR,12.5,8.5,0,0.0,0.0,4,55,0.5,0,0,0.0
516,Romeo Doubs,GNB,WR,9.9,6.9,0,0.0,0.0,3,45,0.4,0,0,0.0
517,Ronnie Bell,NOR,WR,5.1,4.1,0,0.0,0.0,1,11,0.5,0,0,0.0
518,Ronnie Rivers,LAR,RB,0.4,0.4,0,0.0,0.0,0,0,0.0,1,4,0.0
519,Roschon Johnson,CHI,RB,0.2,0.2,0,0.0,0.0,0,0,0.0,0,2,0.0
520,Ross Dwelley,DET,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
521,Russell Gage,SFO,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
522,Russell Wilson,NYG,QB,9.3,9.3,138,0.5,0.5,0,0,0.0,3,18,0.0
523,Ryan Flournoy,DAL,WR,6.4,4.4,0,0.0,0.0,2,30,0.2,0,2,0.0
524,Ryan Miller,TAM,WR,0.9,0.9,0,0.0,0.0,0,3,0.1,0,0,0.0
525,Sal Cannella,CLE,TE,1.5,0.5,0,0.0,0.0,1,5,0.0,0,0,0.0
526,Sam Darnold,SEA,QB,16.1,16.1,238,1.5,0.8,0,0,0.0,2,6,0.0
527,Sam LaPorta,DET,TE,11.2,7.2,0,0.0,0.0,4,54,0.3,0,0,0.0
528,Samaje Perine,CIN,RB,5.4,4.4,0,0.0,0.0,1,6,0.0,6,26,0.2
529,Samori Toure,NOR,WR,1.3,0.3,0,0.0,0.0,1,3,0.0,0,0,0.0
530,Saquon Barkley,PHI,RB,13.9,11.9,0,0.0,0.0,2,17,0.1,17,72,0.4
531,Savion Williams,GNB,WR,2.5,1.5,0,0.0,0.0,1,6,0.1,1,3,0.0
532,Scott Matlock,LAC,FB,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
