Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
53,Brandin Cooks,BUF,WR,0.8,0.8,0,0.0,0.0,0,8,0.0,0,0,0.0
54,Brandon Allen,TEN,QB,2.9,2.9,72,0.0,1.0,0,0,0.0,0,0,0.0
55,Brandon Smith,NYJ,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
56,Brashard Smith,KAN,RB,3.5,2.5,0,0.0,0.0,1,10,0.1,3,9,0.0
57,Braxton Berrios,HOU,WR,2.9,0.9,0,0.0,0.0,2,9,0.0,0,0,0.0
58,Brayden Willis,SFO,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
59,Breece Hall,NYJ,RB,13.6,11.6,0,0.1,0.0,2,22,0.1,15,66,0.3
60,Brenden Bates,CLE,TE,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
61,Brennan Presley,LAR,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
62,Brenton Strange,JAX,TE,10.3,6.3,0,0.0,0.0,4,45,0.3,0,0,0.0
63,Brett Rypien,CIN,QB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
64,Brevyn Spann-Ford,DAL,TE,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
65,Brian Robinson Jr.,SFO,RB,3.1,3.1,0,0.0,0.0,0,2,0.0,5,23,0.1
66,Brian Thomas,JAX,WR,9.3,6.3,0,0.0,0.0,3,50,0.1,0,1,0.1
67,Britain Covey,PHI,WR,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
68,British Brooks,HOU,RB,0.5,0.5,0,0.0,0.0,0,0,0.0,1,5,0.0
69,Brittain Brown,CHI,RB,3.0,3.0,0,0.0,0.0,0,0,0.0,2,12,0.3
70,Brock Bowers,LVR,TE,14.3,9.3,0,0.0,0.0,5,57,0.6,0,0,0.0
71,Brock Purdy,SFO,QB,21.9,21.9,239,2.2,1.1,0,0,0.0,4,17,0.3
72,Brock Wright,DET,TE,3.2,2.2,0,0.0,0.0,1,10,0.2,0,0,0.0
73,Bryce Oliver,TEN,WR,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
74,Bryce Young,CAR,QB,15.0,15.0,187,1.4,0.6,0,0,0.0,3,13,0.1
75,Brycen Tremayne,CAR,WR,2.0,1.0,0,0.0,0.0,1,10,0.0,0,0,0.0
76,Bucky Irving,TAM,RB,14.1,11.1,0,0.0,0.0,3,28,0.3,17,59,0.1
77,C.J. Ham,MIN,FB,1.3,1.3,0,0.0,0.0,0,1,0.0,0,0,0.2
78,C.J. Stroud,HOU,QB,16.4,16.4,217,1.4,0.6,0,0,0.0,3,15,0.1
79,CJ Dippre,NWE,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
80,Cade Otton,TAM,TE,8.2,4.2,0,0.0,0.0,4,36,0.1,0,0,0.0
81,Cade Stover,HOU,TE,1.8,0.8,0,0.0,0.0,1,8,0.0,0,0,0.0
82,Caleb Williams,CHI,QB,19.9,19.9,232,1.6,0.4,0,1,0.1,5,23,0.2
83,Calvin Austin III,PIT,WR,5.9,3.9,0,0.0,0.0,2,27,0.2,0,0,0.0
84,Calvin Ridley,TEN,WR,6.3,4.3,0,0.0,0.0,2,43,0.0,0,0,0.0
85,Cam Akers,SEA,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
86,Cam Grandy,CIN,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
87,Cam Skattebo,NYG,RB,16.2,13.2,0,0.0,0.0,3,26,0.3,13,52,0.6
88,Cam Ward,TEN,QB,12.5,12.5,186,0.9,0.4,0,0,0.0,2,9,0.1
89,Cameron Latu,PHI,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
90,Carlos Washington,ATL,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
91,Carson Wentz,MIN,QB,15.7,15.7,244,1.2,1.0,0,0,0.0,2,11,0.0
92,Carter Runyon,LVR,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
93,Casey Washington,ATL,WR,2.3,1.3,0,0.0,0.0,1,13,0.0,0,0,0.0
94,Cedric Tillman,CLE,WR,5.3,3.3,0,0.0,0.0,2,21,0.2,0,0,0.0
95,Cedrick Wilson Jr.,MIA,WR,1.4,0.4,0,0.0,0.0,1,4,0.0,0,0,0.0
96,CeeDee Lamb,DAL,WR,13.8,8.8,0,0.0,0.0,5,76,0.2,0,0,0.0
97,Charlie Jones,CIN,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
98,Charlie Kolar,BAL,TE,2.5,1.5,0,0.0,0.0,1,9,0.1,0,0,0.0
99,Charlie Woerner,ATL,TE,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
100,Chase Brown,CIN,RB,16.2,12.2,0,0.0,0.0,4,26,0.3,14,60,0.3
101,Chase Edmonds,WSH,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
102,Chig Okonkwo,TEN,TE,7.8,5.8,0,0.0,0.0,2,28,0.5,0,0,0.0
103,Chigoziem Okonkwo,TEN,TE,6.9,3.9,0,0.0,0.0,3,33,0.1,0,0,0.0
104,Chimere Dike,TEN,WR,6.8,3.8,0,0.0,0.0,3,25,0.2,1,1,0.0
105,Chris Blair,ATL,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
106,Chris Brooks,GNB,RB,2.1,1.1,0,0.0,0.0,1,5,0.0,2,6,0.0
107,Chris Godwin,TAM,WR,9.2,5.2,0,0.0,0.0,4,40,0.2,0,0,0.0
108,Chris Manhertz,NYG,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
109,Chris Moore,WSH,WR,3.2,2.2,0,0.0,0.0,1,15,0.1,0,1,0.0
110,Chris Oladokun,KAN,QB,5.0,5.0,79,0.3,0.0,0,0,0.0,2,6,0.0
111,Chris Olave,NOR,WR,16.8,10.8,0,0.0,0.1,6,72,0.6,0,0,0.0
112,Chris Rodriguez,WSH,RB,7.1,7.1,0,0.0,0.0,0,2,0.0,8,39,0.5
113,Christian Kirk,HOU,WR,4.4,2.4,0,0.0,0.0,2,18,0.1,0,0,0.0
114,Christian McCaffrey,SFO,RB,24.4,18.4,0,0.0,0.0,6,54,0.4,18,70,0.6
115,Christian Watson,GNB,WR,13.8,9.8,0,0.0,0.0,4,62,0.6,0,0,0.0
116,Chuba Hubbard,CAR,RB,8.7,6.7,0,0.0,0.0,2,15,0.2,9,34,0.1
117,Clayton Tune,GNB,QB,1.9,1.9,21,0.0,0.5,0,0,0.0,2,11,0.0
118,Clyde Edwards-Helaire,KAN,RB,2.1,1.1,0,0.0,0.0,1,4,0.0,3,7,0.0
119,Cody Schrader,LAR,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
120,Cody White,SEA,WR,1.5,1.5,0,0.0,0.0,0,9,0.1,0,0,0.0
121,Colby Parkinson,LAR,TE,8.8,5.8,0,0.0,0.0,3,28,0.5,0,0,0.0
122,Cole Kmet,CHI,TE,4.8,2.8,0,0.0,0.0,2,22,0.1,0,0,0.0
123,Cole Turner,TEN,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
