"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Bo Nix,81,50,5,0,Sun,7,7,2025-10-19,25-236,DEN,,NYG,W 33-32,27,50,23,54.0,279,2,0,0,4.0,0.0,83.7,2,14,3.85,5.6,6.38,5.87,10.3,38.5,5,48,9.6,2,4,80.0,0,0,0,,0,,,0,,81,100.0,0,0.0,0,0.0,QB,NixxBo00"
"2,Jaxson Dart,77,33,5,0,Sun,7,7,2025-10-19,22-159,NYG,@,DEN,L 32-33,15,33,18,45.5,283,3,1,0,9.1,3.0,93.4,4,15,10.81,8.6,9.03,7.65,18.9,40.5,5,11,2.2,1,2,60.0,0,0,0,,0,,,0,,77,100.0,0,0.0,0,0.0,QB,DartJa00"
"3,Trevor Lawrence,77,48,2,0,Sun,7,7,2025-10-19,26-013,JAX,,LAR,L 7-35,23,48,25,47.9,296,1,0,0,2.1,0.0,74.7,7,32,12.73,6.2,6.58,5.16,12.9,34.5,2,18,9.0,0,1,50.0,0,0,0,,0,,,0,,77,100.0,0,0.0,0,0.0,QB,LawrTr00"
"4,Jacoby Brissett,76,36,6,0,Sun,7,7,2025-10-19,32-312,ARI,,GNB,L 23-27,25,36,11,69.4,279,2,0,0,5.6,0.0,110.8,6,43,14.29,7.8,8.86,6.57,11.2,40.5,6,26,4.3,0,2,33.3,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,BrisJa00"
"5,Joe Flacco,76,47,5,0,Thu,7,7,2025-10-16,40-273,CIN,,PIT,W 33-31,31,47,16,66.0,342,3,0,0,6.4,0.0,108.6,2,14,4.08,7.3,8.55,7.92,11.0,51.0,5,3,0.6,0,2,40.0,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,FlacJo00"
"6,Justin Herbert,76,55,6,0,Sun,7,7,2025-10-19,27-223,LAC,,IND,L 24-38,37,55,18,67.3,420,3,2,0,5.5,3.6,93.0,3,29,5.17,7.6,7.09,6.22,11.4,50.0,6,31,5.2,0,4,100.0,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,HerbJu00"
"7,C.J. Stroud,76,49,2,0,Mon,6,7,2025-10-20,24-017,HOU,@,SEA,L 19-27,23,49,26,46.9,229,1,1,0,2.0,2.0,59.0,3,31,5.77,4.7,4.16,3.33,10.0,34.6,2,25,12.5,0,0,0.0,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,StroCJ00"
"8,Courtland Sutton,76,0,0,10,Sun,7,7,2025-10-19,30-009,DEN,,NYG,W 33-32,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,87,14.5,0,60.0,8.7,4,40.0,76,93.8,0,0.0,0,0.0,WR,SuttCo00"
"9,Ja'Marr Chase,75,0,0,23,Thu,7,7,2025-10-16,25-229,CIN,,PIT,W 33-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,23,16,161,10.1,1,69.6,7.0,9,60.9,75,98.7,0,0.0,0,0.0,WR,ChasJa00"
"10,Lil'Jordan Humphrey,74,0,0,2,Sun,7,7,2025-10-19,27-183,NYG,@,DEN,L 32-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,74,96.1,0,0.0,0,0.0,WR,HumpLi01"
"11,Sam Darnold,72,31,3,0,Mon,7,7,2025-10-20,28-137,SEA,,HOU,W 27-19,17,31,14,54.8,213,1,1,0,3.2,3.2,73.7,2,15,6.06,6.9,6.06,5.24,12.5,33.3,3,1,0.3,0,0,0.0,0,0,0,,0,,,0,,72,100.0,0,0.0,0,0.0,QB,DarnSa00"
"12,Wan'Dale Robinson,70,0,0,12,Sun,7,7,2025-10-19,24-287,NYG,@,DEN,L 32-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,12,6,95,15.8,0,50.0,7.9,5,50.0,70,90.9,0,0.0,0,0.0,WR,RobiWa01"
"13,Carson Wentz,69,42,4,0,Sun,6,7,2025-10-19,32-293,MIN,,PHI,L 22-28,26,42,16,61.9,313,0,2,0,0.0,4.8,64.9,2,15,4.55,7.5,5.31,4.73,12.0,45.5,4,28,7.0,0,2,50.0,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,WentCa00"
"14,Caleb Williams,69,26,4,0,Sun,6,7,2025-10-19,23-335,CHI,,NOR,W 26-14,15,26,11,57.7,172,0,1,0,0.0,3.8,61.7,1,8,3.70,6.6,4.88,4.41,11.5,44.4,4,-2,-0.5,0,0,0.0,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,WillCa03"
"15,Jared Goff,68,29,2,0,Mon,7,7,2025-10-20,31-006,DET,,TAM,W 24-9,20,29,9,69.0,241,1,1,0,3.4,3.4,91.3,4,26,12.12,8.3,7.45,5.76,12.1,39.4,2,7,3.5,0,1,100.0,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,QB,GoffJa00"
"16,Justin Jefferson,68,0,0,10,Sun,6,7,2025-10-19,26-125,MIN,,PHI,L 22-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,5,79,15.8,0,50.0,7.9,3,40.0,68,98.6,0,0.0,0,0.0,WR,JeffJu00"
"17,Quentin Johnston,68,0,0,6,Sun,7,7,2025-10-19,24-043,LAC,,IND,L 24-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,2,30,15.0,1,33.3,5.0,1,16.7,68,89.5,0,0.0,0,0.0,WR,JohnQu02"
"18,Theo Johnson,68,0,0,7,Sun,7,7,2025-10-19,24-235,NYG,@,DEN,L 32-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,3,66,22.0,1,42.9,9.4,2,42.9,68,88.3,0,0.0,0,0.0,TE,JohnTh00"
"19,Baker Mayfield,68,50,0,0,Mon,7,7,2025-10-20,30-189,TAM,@,DET,L 9-24,28,50,22,56.0,228,1,1,0,2.0,2.0,66.1,4,18,7.41,4.6,4.06,3.43,8.1,25.9,0,0,,0,0,,0,0,0,,0,,,0,,68,98.6,0,0.0,0,0.0,QB,MayfBa00"
"20,Parker Washington,68,0,3,10,Sun,7,7,2025-10-19,23-212,JAX,,LAR,L 7-35,0,0,0,,0,0,0,0,,,,0,0,,,,,,,3,10,3.3,0,1,66.7,10,4,52,13.0,0,40.0,5.2,2,30.0,68,88.3,0,0.0,11,44.0,WR,WashPa01"
"21,Travis Hunter,67,0,1,14,Sun,7,7,2025-10-19,22-154,JAX,,LAR,L 7-35,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0.0,0,0,0.0,14,8,101,12.6,1,57.1,7.2,5,42.9,67,87.0,14,20.0,0,0.0,WR,HuntTr00"
"22,Mac Jones,67,26,5,0,Sun,7,7,2025-10-19,27-044,SFO,,ATL,W 20-10,17,26,9,65.4,152,0,1,0,0.0,3.8,64.9,1,2,3.70,5.8,4.12,3.89,8.9,59.3,5,11,2.2,0,2,60.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,JoneMa05"
"23,Ladd McConkey,67,0,0,15,Sun,7,7,2025-10-19,23-342,LAC,,IND,L 24-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,15,9,67,7.4,0,60.0,4.5,3,46.7,67,88.2,0,0.0,0,0.0,WR,McCoLa00"
"24,Cade Otton,67,0,0,9,Mon,7,7,2025-10-20,26-188,TAM,@,DET,L 9-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,7,65,9.3,0,77.8,7.2,4,55.6,67,97.1,0,0.0,0,0.0,TE,OttoCa00"
"25,Dak Prescott,67,30,5,0,Sun,7,7,2025-10-19,32-082,DAL,,WAS,W 44-22,21,30,9,70.0,264,3,0,0,10.0,0.0,130.4,1,7,3.23,8.8,10.80,10.23,12.6,41.9,5,7,1.4,0,1,20.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,QB,PresDa01"
"26,Matthew Stafford,67,33,2,0,Sun,7,7,2025-10-19,37-254,LAR,@,JAX,W 35-7,21,33,12,63.6,182,5,0,0,15.2,0.0,117.7,0,0,0.00,5.5,8.55,8.55,8.7,54.5,2,1,0.5,0,0,0.0,0,0,0,,0,,,0,,67,95.7,0,0.0,0,0.0,QB,StafMa00"
"27,Tee Higgins,66,0,0,10,Thu,7,7,2025-10-16,26-271,CIN,,PIT,W 33-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,96,16.0,1,60.0,9.6,3,60.0,66,86.8,0,0.0,0,0.0,WR,HiggTe00"
"28,Sam LaPorta,66,0,0,3,Mon,7,7,2025-10-20,24-281,DET,,TAM,W 24-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,15,5.0,0,100.0,5.0,1,100.0,66,97.1,0,0.0,0,0.0,TE,LaPoSa01"
"29,Trey McBride,66,0,0,13,Sun,7,7,2025-10-19,25-331,ARI,,GNB,L 23-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,10,74,7.4,2,76.9,5.7,4,61.5,66,86.8,0,0.0,0,0.0,TE,McBrTr01"
"30,Marvin Harrison Jr.,65,0,0,6,Sun,7,7,2025-10-19,23-069,ARI,,GNB,L 23-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,2,58,29.0,0,33.3,9.7,2,33.3,65,85.5,0,0.0,0,0.0,WR,HarrMa09"
"31,Patrick Mahomes,65,35,4,0,Sun,7,7,2025-10-19,30-032,KAN,,LVR,W 31-0,26,35,9,74.3,286,3,0,0,8.6,0.0,126.6,1,4,2.78,8.2,9.89,9.50,11.0,61.1,4,28,7.0,0,2,75.0,0,0,0,,0,,,0,,65,80.2,0,0.0,0,0.0,QB,MahoPa00"
"32,Rome Odunze,65,0,0,6,Sun,6,7,2025-10-19,23-138,CHI,,NOR,W 26-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,2,31,15.5,0,33.3,5.2,2,33.3,65,94.2,0,0.0,0,0.0,WR,OdunRo00"
"33,Michael Penix,65,38,2,0,Sun,6,7,2025-10-19,25-164,ATL,@,SFO,L 10-20,21,38,17,55.3,241,1,0,0,2.6,0.0,83.3,2,11,5.00,6.3,6.87,6.25,11.5,45.0,2,6,3.0,0,0,0.0,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,QB,PeniMi00"
"34,Jordan Addison,64,0,0,12,Sun,6,7,2025-10-19,23-265,MIN,,PHI,L 22-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,12,9,128,14.2,0,75.0,10.7,6,75.0,64,92.8,0,0.0,0,0.0,WR,AddiJo00"
"35,Drake London,64,0,0,10,Sun,6,7,2025-10-19,24-087,ATL,@,SFO,L 10-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,4,42,10.5,0,40.0,4.2,2,30.0,64,98.5,0,0.0,0,0.0,WR,LondDr00"
"36,Jaxon Smith-Njigba,63,0,0,14,Mon,7,7,2025-10-20,23-248,SEA,,HOU,W 27-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,14,8,123,15.4,1,57.1,8.8,6,57.1,63,87.5,0,0.0,0,0.0,WR,SmitJa06"
"37,AJ Barner,62,0,1,3,Mon,7,7,2025-10-20,23-170,SEA,,HOU,W 27-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,2,2.0,0,1,100.0,3,1,7,7.0,0,33.3,2.3,0,0.0,62,86.1,0,0.0,0,0.0,TE,BarnAJ00"
"38,Tetairoa McMillan,62,0,0,5,Sun,7,7,2025-10-19,22-197,CAR,@,NYJ,W 13-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,3,33,11.0,0,60.0,6.6,2,40.0,62,87.3,0,0.0,0,0.0,WR,McMiTe00"
"39,Amon-Ra St. Brown,62,0,0,10,Mon,7,7,2025-10-20,25-361,DET,,TAM,W 24-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,86,14.3,1,60.0,8.6,3,50.0,62,91.2,0,0.0,0,0.0,WR,StxxAm00"
"40,Rachaad White,62,0,10,6,Mon,7,7,2025-10-20,26-281,TAM,@,DET,L 9-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,10,38,3.8,0,2,60.0,6,4,6,1.5,0,66.7,1.0,0,16.7,62,89.9,0,0.0,0,0.0,RB,WhitRa01"
"41,Michael Wilson,62,0,0,4,Sun,7,7,2025-10-19,25-238,ARI,,GNB,L 23-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,40,13.3,0,75.0,10.0,2,50.0,62,81.6,0,0.0,0,0.0,WR,WilsMi02"
"42,Oronde Gadsden II,60,0,0,9,Sun,7,7,2025-10-19,22-116,LAC,,IND,L 24-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,7,164,23.4,1,77.8,18.2,5,77.8,60,78.9,0,0.0,7,30.4,TE,GadsOr01"
"43,Daniel Jones,60,34,5,0,Sun,7,7,2025-10-19,28-145,IND,@,LAC,W 38-24,23,34,11,67.6,288,2,0,0,5.9,0.0,113.4,1,7,2.86,8.5,9.65,9.17,12.5,60.0,5,7,1.4,0,0,20.0,0,0,0,,0,,,0,,60,100.0,0,0.0,0,0.0,QB,JoneDa05"
"44,D.J. Moore,60,0,1,5,Sun,6,7,2025-10-19,28-188,CHI,,NOR,W 26-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,9,9.0,0,0,100.0,5,3,43,14.3,0,60.0,8.6,2,40.0,60,87.0,0,0.0,0,0.0,WR,MoorD.00"
"45,Xavier Hutchinson,59,0,0,4,Mon,6,7,2025-10-20,25-141,HOU,@,SEA,L 19-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,1,13,13.0,0,25.0,3.3,1,25.0,59,77.6,0,0.0,2,6.7,WR,HutcXa00"
"46,Josh Reynolds,58,0,0,9,Sun,7,7,2025-10-19,30-245,NYJ,,CAR,L 6-13,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,3,29,9.7,0,33.3,3.2,1,33.3,58,95.1,0,0.0,0,0.0,WR,ReynJo00"
"47,Jameson Williams,58,0,0,2,Mon,7,7,2025-10-20,24-208,DET,,TAM,W 24-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,58,85.3,0,0.0,0,0.0,WR,WillJa11"
"48,T.J. Hockenson,57,0,0,9,Sun,6,7,2025-10-19,28-108,MIN,,PHI,L 22-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,6,43,7.2,0,66.7,4.8,1,22.2,57,82.6,0,0.0,0,0.0,TE,HockTJ00"
"49,Jauan Jennings,57,0,0,7,Sun,7,7,2025-10-19,28-101,SFO,,ATL,W 20-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,31,7.8,0,57.1,4.4,2,57.1,57,85.1,0,0.0,0,0.0,WR,JennJa00"
"50,Xavier Legette,57,0,0,11,Sun,7,7,2025-10-19,24-263,CAR,@,NYJ,W 13-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,9,92,10.2,1,81.8,8.4,4,54.5,57,80.3,0,0.0,0,0.0,WR,LegeXa00"
