"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,WAS,2025-10-13,24,25,Mon,6,6,,CHI,L 24-25,24,25,-1,49"
"2,TEN,2025-10-12,10,20,Sun,6,6,@,LVR,L 10-20,10,20,-10,30"
"3,TAM,2025-10-12,30,19,Sun,6,6,,SFO,W 30-19,30,19,11,49"
"4,SFO,2025-10-12,19,30,Sun,6,6,@,TAM,L 19-30,19,30,-11,49"
"5,SEA,2025-10-12,20,12,Sun,6,6,@,JAX,W 20-12,20,12,8,32"
"6,PIT,2025-10-12,23,9,Sun,5,6,,CLE,W 23-9,23,9,14,32"
"7,PHI,2025-10-09,17,34,Thu,6,6,@,NYG,L 17-34,17,34,-17,51"
"8,NYJ,2025-10-12,11,13,Sun,6,6,,DEN,L 11-13,11,13,-2,24"
"9,NYG,2025-10-09,34,17,Thu,6,6,,PHI,W 34-17,34,17,17,51"
"10,NWE,2025-10-12,25,19,Sun,6,6,@,NOR,W 25-19,25,19,6,44"
"11,NOR,2025-10-12,19,25,Sun,6,6,,NWE,L 19-25,19,25,-6,44"
"12,MIA,2025-10-12,27,29,Sun,6,6,,LAC,L 27-29,27,29,-2,56"
"13,LVR,2025-10-12,20,10,Sun,6,6,,TEN,W 20-10,20,10,10,30"
"14,LAR,2025-10-12,17,3,Sun,6,6,@,BAL,W 17-3,17,3,14,20"
"15,LAC,2025-10-12,29,27,Sun,6,6,@,MIA,W 29-27,29,27,2,56"
"16,KAN,2025-10-12,30,17,Sun,6,6,,DET,W 30-17,30,17,13,47"
"17,JAX,2025-10-12,12,20,Sun,6,6,,SEA,L 12-20,12,20,-8,32"
"18,IND,2025-10-12,31,27,Sun,6,6,,ARI,W 31-27,31,27,4,58"
"19,GNB,2025-10-12,27,18,Sun,5,6,,CIN,W 27-18,27,18,9,45"
"20,DET,2025-10-12,17,30,Sun,6,6,@,KAN,L 17-30,17,30,-13,47"
"21,DEN,2025-10-12,13,11,Sun,6,6,@,NYJ,W 13-11,13,11,2,24"
"22,DAL,2025-10-12,27,30,Sun,6,6,@,CAR,L 27-30,27,30,-3,57"
"23,CLE,2025-10-12,9,23,Sun,6,6,@,PIT,L 9-23,9,23,-14,32"
"24,CIN,2025-10-12,18,27,Sun,6,6,@,GNB,L 18-27,18,27,-9,45"
"25,CHI,2025-10-13,25,24,Mon,5,6,@,WAS,W 25-24,25,24,1,49"
"26,CAR,2025-10-12,30,27,Sun,6,6,,DAL,W 30-27,30,27,3,57"
"27,BUF,2025-10-13,14,24,Mon,6,6,@,ATL,L 14-24,14,24,-10,38"
"28,BAL,2025-10-12,3,17,Sun,6,6,,LAR,L 3-17,3,17,-14,20"
"29,ATL,2025-10-13,24,14,Mon,5,6,,BUF,W 24-14,24,14,10,38"
"30,ARI,2025-10-12,27,31,Sun,6,6,@,IND,L 27-31,27,31,-4,58"
