"Rk,Team,Date,Pts,PtsO,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC"
"1,JAX,2025-12-14,48,20,Sun,14,15,,NYJ,W 48-20,48,20,28,68"
"2,LAR,2025-12-14,41,34,Sun,14,15,,DET,W 41-34,41,34,7,75"
"3,HOU,2025-12-14,40,20,Sun,14,15,,ARI,W 40-20,40,20,20,60"
"4,SFO,2025-12-14,37,24,Sun,14,15,,TEN,W 37-24,37,24,13,61"
"5,BUF,2025-12-14,35,31,Sun,14,15,@,NWE,W 35-31,35,31,4,66"
"6,DEN,2025-12-14,34,26,Sun,14,15,,GNB,W 34-26,34,26,8,60"
"7,DET,2025-12-14,34,41,Sun,14,15,@,LAR,L 34-41,34,41,-7,75"
"8,MIN,2025-12-14,34,26,Sun,14,15,@,DAL,W 34-26,34,26,8,60"
"9,CHI,2025-12-14,31,3,Sun,14,15,,CLE,W 31-3,31,3,28,34"
"10,NWE,2025-12-14,31,35,Sun,14,15,,BUF,L 31-35,31,35,-4,66"
"11,PHI,2025-12-14,31,0,Sun,14,15,,LVR,W 31-0,31,0,31,31"
"12,WAS,2025-12-14,29,21,Sun,14,15,@,NYG,W 29-21,29,21,8,50"
"13,ATL,2025-12-11,29,28,Thu,14,15,@,TAM,W 29-28,29,28,1,57"
"14,PIT,2025-12-15,28,15,Mon,14,15,,MIA,W 28-15,28,15,13,43"
"15,TAM,2025-12-11,28,29,Thu,14,15,,ATL,L 28-29,28,29,-1,57"
"16,DAL,2025-12-14,26,34,Sun,14,15,,MIN,L 26-34,26,34,-8,60"
"17,GNB,2025-12-14,26,34,Sun,14,15,@,DEN,L 26-34,26,34,-8,60"
"18,TEN,2025-12-14,24,37,Sun,14,15,@,SFO,L 24-37,24,37,-13,61"
"19,BAL,2025-12-14,24,0,Sun,14,15,@,CIN,W 24-0,24,0,24,24"
"20,NYG,2025-12-14,21,29,Sun,14,15,,WAS,L 21-29,21,29,-8,50"
"21,ARI,2025-12-14,20,40,Sun,14,15,@,HOU,L 20-40,20,40,-20,60"
"22,NOR,2025-12-14,20,17,Sun,14,15,,CAR,W 20-17,20,17,3,37"
"23,NYJ,2025-12-14,20,48,Sun,14,15,@,JAX,L 20-48,20,48,-28,68"
"24,SEA,2025-12-14,18,16,Sun,14,15,,IND,W 18-16,18,16,2,34"
"25,CAR,2025-12-14,17,20,Sun,14,15,@,NOR,L 17-20,17,20,-3,37"
"26,IND,2025-12-14,16,18,Sun,14,15,@,SEA,L 16-18,16,18,-2,34"
"27,LAC,2025-12-14,16,13,Sun,14,15,@,KAN,W 16-13,16,13,3,29"
"28,MIA,2025-12-15,15,28,Mon,14,15,@,PIT,L 15-28,15,28,-13,43"
"29,KAN,2025-12-14,13,16,Sun,14,15,,LAC,L 13-16,13,16,-3,29"
"30,CLE,2025-12-14,3,31,Sun,14,15,@,CHI,L 3-31,3,31,-28,34"
"31,CIN,2025-12-14,0,24,Sun,14,15,,BAL,L 0-24,0,24,-24,24"
"32,LVR,2025-12-14,0,31,Sun,14,15,@,PHI,L 0-31,0,31,-31,31"
